	0
R_EX_etha_e	-9.981635556003746e-09
R_EX_drib_e	-9.991007048669136e-09
R_EX_csn_e	-9.98936409843085e-09
R_EX_5mtr_e	-9.99470535442074e-09
R_EX_dtmp_e	-9.996025328045589e-09
R_EX_6pgc_e	-9.992162223068347e-09
R_EX_ctbt_e	1.0195125809549168e-06
R_EX_cu2_e	2.019594840795426e-06
R_EX_Larab_e	-9.997359596853409e-09
R_EX_ectoine_e	1.0195125809549168e-06
R_EX_cys__D_e	1.0098210306994312e-06
R_EX_cys__L_e	-9.989465019340605e-09
R_EX_eths_e	-9.980430846897452e-09
R_EX_cyst__L_e	-9.994985663446425e-09
R_EX_Lcyst_e	-9.982262760307221e-09
R_EX_cytd_e	-9.99547481601269e-09
R_EX_abt__L_e	-9.99197990614017e-09
R_EX_etoh_e	9.998422572441424e-07
R_EX_dad_2_e	-9.995893535308768e-09
R_EX_dcyt_e	-9.995576288237126e-09
R_EX_fe2_e	3.7918125211502133e-07
R_EX_dextrin_e	-9.996618038573309e-09
R_EX_dha_e	-9.985311235861116e-09
R_EX_ac_e	-9.965864337473675e-09
R_EX_acac_e	-9.986549071830448e-09
R_EX_fe3_e	-0.0001370138457069905
R_EX_ferrich_e	1.0194777760106574e-06
R_EX_diact_e	1.0098210306994312e-06
R_EX_djenk_e	1.0195144661885484e-06
R_EX_ferxa_e	1.0195205676817596e-06
R_EX_fol_e	-9.99777463890304e-09
R_EX_acgam_e	-9.99469115210872e-09
R_EX_acmana_e	-9.995010671830342e-09
R_EX_acnam_e	-9.996220050654173e-09
R_EX_for_e	-9.76425694562614e-09
R_EX_fru_e	-9.993012612686828e-09
R_EX_actn__R_e	-9.989650027646925e-09
R_EX_ade_e	-9.991265135851776e-09
R_EX_adn_e	-9.995752377111035e-09
R_EX_akg_e	-9.989212322140507e-09
R_EX_ala_B_e	9.936387762686377e-07
R_EX_ala__D_e	-9.983721719058686e-09
R_EX_ala_L_Thr__L_e	1.0195125818398685e-06
R_EX_ala_L_asp__L_e	1.0195125818398685e-06
R_EX_ala__L_e	-9.983835272560645e-09
R_EX_ala_L_gln__L_e	1.0195125801801235e-06
R_EX_ala_L_glu__L_e	1.0195125818398685e-06
R_EX_L_alagly_e	1.019512580180848e-06
R_EX_ala_L_his__L_e	1.019512580179939e-06
R_EX_ala_L_leu__L_e	1.0195125801799293e-06
R_EX_g6p_e	-9.993030382617655e-09
R_EX_gal_e	-9.992957570749804e-09
R_EX_galctr__D_e	-9.991106291901254e-09
R_EX_galt_e	-9.993464400121529e-09
R_EX_galur_e	-9.992080377493875e-09
R_EX_gam6p_e	-9.993068619194876e-09
R_EX_gam_e	-9.992968219753861e-09
R_EX_gbbtn_e	1.0195125809549168e-06
R_EX_glc__D_e	-9.99291465278176e-09
R_EX_glcn__D_e	-0.47792998699593076
R_EX_glcr_e	-9.991091839198836e-09
R_EX_glcur_e	-9.992080068141855e-09
R_EX_gln__L_e	-9.990289816679687e-09
R_EX_glu__D_e	-9.990243049988938e-09
R_EX_alaala_e	-9.992774080635887e-09
R_EX_alltn_e	-9.976006034512542e-09
R_EX_amp_e	-9.995815506355912e-09
R_EX_amylase_e	1.0098210306994312e-06
R_EX_fum_e	-9.984185366693879e-09
R_EX_antim_e	2.0197189133246824e-06
R_EX_g1p_e	-9.993030444176592e-09
R_EX_glu__L_e	-9.990305896976746e-09
R_EX_arab__D_e	-9.991263717762777e-09
R_EX_arab__L_e	-9.991484976395039e-09
R_EX_arbt_e	-9.993388998556916e-09
R_EX_arg__L_e	-9.993707483988393e-09
R_EX_argp_e	-9.99375951955828e-09
R_EX_arsenb_e	1.0066329588997217e-06
R_EX_arsna_e	2.0197189133246824e-06
R_EX_arsni2_e	2.0197226524121365e-06
R_EX_asn__L_e	-9.988019093307913e-09
R_EX_asp__L_e	-9.985466448842778e-09
R_EX_bilea_e	8.319450128551513e-07
R_EX_btd_RR_e	-9.990542453132884e-09
R_EX_glx_e	-9.96167318838724e-09
R_EX_buts_e	-9.991615192175797e-09
R_EX_ca2_e	-0.000127427244357455
R_EX_cbl2_e	1.0195220966934123e-06
R_EX_pur_e	2.019579121924945e-06
R_EX_pyr_e	-9.978265649760011e-09
R_EX_cd2_e	2.019703558985068e-06
R_EX_gly_asn__L_e	1.0195125818398685e-06
R_EX_cellb_e	-9.996644865466365e-09
R_EX_cgly_e	3.996715239666631e-06
R_EX_raffin_e	-9.997773357179689e-09
R_EX_rib__D_e	-9.990788330417787e-09
R_EX_gly_asp__L_e	1.0195125818398685e-06
R_EX_ribflv_e	3.0442810354498975e-06
R_EX_chitob_e	1.0098210306994312e-06
R_EX_gly_e	-9.959572375791506e-09
R_EX_chol_e	-9.952404184316902e-09
R_EX_rmn_e	-9.993366989804256e-09
R_EX_gly_gln__L_e	1.0195125801803243e-06
R_EX_chols_e	1.0195125809549168e-06
R_EX_chor_e	-9.995665145889823e-09
R_EX_cit_e	-9.989933825597206e-09
R_EX_salcn_e	-9.993388998556916e-09
R_EX_gly_glu__L_e	1.0195125818398685e-06
R_EX_sbt__D_e	-9.993600880305985e-09
R_EX_ser__D_e	-9.980189460326188e-09
R_EX_citr__L_e	-9.993155323713348e-09
R_EX_cmp_e	-9.995422631225e-09
R_EX_ser__L_e	-9.982321087997478e-09
R_EX_gly_met__L_e	1.0195125801799607e-06
R_EX_so4_e	-0.006615981216335975
R_EX_spmd_e	2.029684737094912e-06
R_EX_co2_e	1.5581520633602925
R_EX_cobalt2_e	6.496762827822881e-07
R_EX_crn_e	1.0195125809549168e-06
R_EX_cro4_e	2.01970661608242e-06
R_EX_srb__L_e	-9.993123977335022e-09
R_EX_starch_e	-9.996679801662218e-09
R_EX_subtilisin_e	1.0098210306994312e-06
R_EX_succ_e	-9.985737601708626e-09
R_EX_sucr_e	-9.996582709053174e-09
R_EX_gly_pro__L_e	1.0195125818398685e-06
R_EX_sula_e	-9.968936937441973e-09
R_EX_taur_e	-9.980560195521587e-09
R_EX_glyb_e	6.069465991858123e-06
R_EX_thiog_e	1.0195144661885484e-06
R_EX_glyc3p_e	-9.987867052422598e-09
R_EX_glyc_e	-9.987000835113457e-09
R_EX_glyclt_e	-9.961268718599898e-09
R_EX_glycogen_e	-9.993283251877317e-09
R_EX_gmp_e	-9.995715732176256e-09
R_EX_gsn_e	-9.995469829297507e-09
R_EX_thr__L_e	-9.989772435324565e-09
R_EX_gthox_e	-9.99587623113671e-09
R_EX_thym_e	-9.991553947647505e-09
R_EX_gthrd_e	-9.99118147725467e-09
R_EX_thymd_e	-9.99605532091787e-09
R_EX_gua_e	-9.990004547238374e-09
R_EX_tmp_e	1.4160863983814587e-08
R_EX_tre_e	-9.996577996938267e-09
R_EX_trp__L_e	-9.996650151299691e-09
R_EX_h2o2_e	2.029803615223754e-06
R_EX_tyr__L_e	-9.995546741313385e-09
R_EX_h2o_e	2.1682960231237054
R_EX_ump_e	-9.995323798727166e-09
R_EX_ura_e	-9.988024486407107e-09
R_3UMPt6	1.0199907336527758e-06
