	0
R_EX_etha_e	-9.995722040549732e-09
R_EX_drib_e	-9.998096530659933e-09
R_EX_csn_e	-9.822936450671462e-09
R_EX_5mtr_e	-9.998747415905212e-09
R_EX_dtmp_e	-9.998631268972525e-09
R_EX_6pgc_e	-9.998339547228152e-09
R_EX_ctbt_e	1.0197664582950237e-06
R_EX_cu2_e	9.999599500021838e-07
R_EX_Larab_e	-9.999385391292694e-09
R_EX_ectoine_e	1.0197664582950237e-06
R_EX_cys__D_e	1.0098212453397254e-06
R_EX_cys__L_e	-9.997797190574951e-09
R_EX_eths_e	-9.995964781680197e-09
R_EX_cyst__L_e	-9.998889194224658e-09
R_EX_Lcyst_e	-9.99575940053902e-09
R_EX_cytd_e	-9.998235995125715e-09
R_EX_abt__L_e	-9.998287178740022e-09
R_EX_etoh_e	9.998250262378563e-07
R_EX_dad_2_e	-9.999017473535881e-09
R_EX_dcyt_e	-9.998314637150472e-09
R_EX_fe2_e	5.05993991006905e-07
R_EX_dextrin_e	-9.999234997746859e-09
R_EX_dha_e	-9.996959166540255e-09
R_EX_ac_e	-9.993932003338339e-09
R_EX_acac_e	-9.997243430533405e-09
R_EX_fe3_e	-5.965350197858093e-06
R_EX_ferrich_e	1.0197653668865778e-06
R_EX_diact_e	1.0098212453397254e-06
R_EX_djenk_e	1.0197664818295273e-06
R_EX_ferxa_e	1.0197667523851654e-06
R_EX_fol_e	7.649924476381296e-06
R_EX_acgam_e	-9.998815008506982e-09
R_EX_acmana_e	-9.998887518112057e-09
R_EX_acnam_e	-9.999147505121474e-09
R_EX_for_e	-9.974063876752277e-09
R_EX_fru_e	-9.998410924526788e-09
R_EX_actn__R_e	-9.997804939433025e-09
R_EX_ade_e	-9.997749215744618e-09
R_EX_adn_e	-9.999000948650733e-09
R_EX_akg_e	-9.997570134229301e-09
R_EX_ala_B_e	1.0194072781218909e-06
R_EX_ala__D_e	-9.996447181832982e-09
R_EX_ala_L_Thr__L_e	1.0197664582433568e-06
R_EX_ala_L_asp__L_e	1.0197664582433568e-06
R_EX_ala__L_e	-9.996452674187522e-09
R_EX_ala_L_gln__L_e	1.0197664581859932e-06
R_EX_ala_L_glu__L_e	1.0197664582433568e-06
R_EX_L_alagly_e	1.0197664581859981e-06
R_EX_ala_L_his__L_e	1.019766458185992e-06
R_EX_ala_L_leu__L_e	1.0197664581859915e-06
R_EX_g6p_e	-9.998486648185543e-09
R_EX_gal_e	-9.998454885979619e-09
R_EX_galctr__D_e	-9.997840694275794e-09
R_EX_galt_e	-9.998523898928258e-09
R_EX_galur_e	-9.998101266506875e-09
R_EX_gam6p_e	-9.998527274826468e-09
R_EX_gam_e	-9.998482976463548e-09
R_EX_gbbtn_e	1.0197664582950237e-06
R_EX_glc__D_e	-9.998453443573287e-09
R_EX_glcn__D_e	-9.998289015680022e-09
R_EX_glcr_e	-9.997839931205527e-09
R_EX_glcur_e	-9.998101233503509e-09
R_EX_gln__L_e	-9.997791879279653e-09
R_EX_glu__D_e	-9.997793326169435e-09
R_EX_alaala_e	-9.99826886435263e-09
R_EX_alltn_e	-9.99100350660222e-09
R_EX_amp_e	-9.99900691472194e-09
R_EX_amylase_e	1.0098212453397254e-06
R_EX_fum_e	-9.996691490917153e-09
R_EX_antim_e	2.0197197161290995e-06
R_EX_g1p_e	-9.99848664819746e-09
R_EX_glu__L_e	-9.997806123143715e-09
R_EX_arab__D_e	-9.998133209942134e-09
R_EX_arab__L_e	-9.998129387591554e-09
R_EX_arbt_e	-9.998487869970882e-09
R_EX_arg__L_e	-9.998490102759842e-09
R_EX_argp_e	-9.998529182974161e-09
R_EX_arsenb_e	1.0293587916959995e-06
R_EX_arsna_e	2.0197197161290995e-06
R_EX_arsni2_e	2.0197229931098227e-06
R_EX_asn__L_e	-9.997223888839976e-09
R_EX_asp__L_e	-9.996734566894033e-09
R_EX_bilea_e	1.0166305554715537e-06
R_EX_btd_RR_e	-9.998045265560233e-09
R_EX_glx_e	-9.990099506082088e-09
R_EX_buts_e	-9.998095819613172e-09
R_EX_ca2_e	-5.685158513145909e-06
R_EX_cbl2_e	1.0197667680653233e-06
R_EX_pur_e	9.999537864170416e-07
R_EX_pyr_e	-9.995728242286942e-09
R_EX_cd2_e	2.019627299877668e-06
R_EX_gly_asn__L_e	1.0197664582433568e-06
R_EX_cellb_e	-9.999236003274065e-09
R_EX_cgly_e	4.089227666416346e-06
R_EX_raffin_e	-9.999492508761069e-09
R_EX_rib__D_e	-9.998054396712626e-09
R_EX_gly_asp__L_e	1.0197664582433568e-06
R_EX_ribflv_e	3.044590129368734e-06
R_EX_chitob_e	1.0098212453397254e-06
R_EX_gly_e	-9.993427319610288e-09
R_EX_chol_e	-9.985323411452862e-09
R_EX_rmn_e	-9.998466332944393e-09
R_EX_gly_gln__L_e	1.0197664581859947e-06
R_EX_chols_e	1.0197664582950237e-06
R_EX_chor_e	-9.999035087294968e-09
R_EX_cit_e	-9.99782288824611e-09
R_EX_salcn_e	-9.99848786997088e-09
R_EX_gly_glu__L_e	1.0197664582433568e-06
R_EX_sbt__D_e	-9.99856464417513e-09
R_EX_ser__D_e	-9.995781473068373e-09
R_EX_citr__L_e	-9.99839493564507e-09
R_EX_cmp_e	-9.99823581230766e-09
R_EX_ser__L_e	-9.996139838592671e-09
R_EX_gly_met__L_e	1.0197664581859918e-06
R_EX_so4_e	-0.00014650958850849523
R_EX_spmd_e	2.0296134128967707e-06
R_EX_co2_e	0.026060574632452347
R_EX_cobalt2_e	6.280496806281448e-07
R_EX_crn_e	1.0197664582950237e-06
R_EX_cro4_e	2.0196297699650386e-06
R_EX_srb__L_e	-9.998491153938248e-09
R_EX_starch_e	-9.999238219362398e-09
R_EX_subtilisin_e	1.0098212453397254e-06
R_EX_succ_e	-9.997026363957061e-09
R_EX_sucr_e	-9.999235739394963e-09
R_EX_gly_pro__L_e	1.0197664582433568e-06
R_EX_sula_e	-9.991909992390627e-09
R_EX_taur_e	-9.99563265601801e-09
R_EX_glyb_e	6.069641146218696e-06
R_EX_thiog_e	1.0197664818295273e-06
R_EX_glyc3p_e	-9.99733350512852e-09
R_EX_glyc_e	-0.01778404690833282
R_EX_glyclt_e	-9.99042912186938e-09
R_EX_glycogen_e	-9.998517061254467e-09
R_EX_gmp_e	-9.998993292100955e-09
R_EX_gsn_e	-9.998947676492088e-09
R_EX_thr__L_e	-9.99770946574854e-09
R_EX_gthox_e	-9.998939225661696e-09
R_EX_thym_e	-9.99277567479117e-09
