	0
R_EX_etha_e	-9.967290599294135e-09
R_EX_drib_e	-9.96683408397752e-09
R_EX_csn_e	-9.97023230950773e-09
R_EX_5mtr_e	-9.988958628013348e-09
R_EX_dtmp_e	-9.987366408609939e-09
R_EX_6pgc_e	-9.970789241914828e-09
R_EX_ctbt_e	1.016523735288814e-06
R_EX_cu2_e	2.0198899596084306e-06
R_EX_Larab_e	-9.9955450156154e-09
R_EX_ectoine_e	1.016523735288814e-06
R_EX_cys__D_e	1.0099349493053083e-06
R_EX_cys__L_e	-9.959504853900863e-09
R_EX_eths_e	-9.926245974616044e-09
R_EX_cyst__L_e	-9.985487830252994e-09
R_EX_Lcyst_e	-9.975726706545806e-09
R_EX_cytd_e	-9.989608148763003e-09
R_EX_abt__L_e	-9.976683556892254e-09
R_EX_etoh_e	4.102803891717836e-05
R_EX_dad_2_e	-9.991014802157821e-09
R_EX_dcyt_e	-9.98931387181131e-09
R_EX_fe2_e	-9.89282043382809e-09
R_EX_dextrin_e	-9.992746150480213e-09
R_EX_dha_e	-9.916850032042306e-09
R_EX_ac_e	0.00018231540386055457
R_EX_acac_e	-9.765405712051464e-09
R_EX_fe3_e	-0.00013643399413653125
R_EX_ferrich_e	1.0123133028852022e-06
R_EX_diact_e	1.0099349493053083e-06
R_EX_djenk_e	1.0165933493252753e-06
R_EX_ferxa_e	1.017110606983847e-06
R_EX_fol_e	-9.990472357358464e-09
R_EX_acgam_e	-9.987812322801284e-09
R_EX_acmana_e	-9.988406512751966e-09
R_EX_acnam_e	-9.991352976530927e-09
R_EX_for_e	0.07399643040602401
R_EX_fru_e	-9.984043839481398e-09
R_EX_actn__R_e	-9.934561936857764e-09
R_EX_ade_e	-9.981763822209079e-09
R_EX_adn_e	-9.990118893662465e-09
R_EX_akg_e	-9.961138158476485e-09
R_EX_ala_B_e	1.6340052814173726e-09
R_EX_ala__D_e	-9.92871283787726e-09
R_EX_ala_L_Thr__L_e	1.017181902514772e-06
R_EX_ala_L_asp__L_e	1.017181902514772e-06
R_EX_ala__L_e	-9.933898432274391e-09
R_EX_ala_L_gln__L_e	1.0171818657504546e-06
R_EX_ala_L_glu__L_e	1.017181902514772e-06
R_EX_L_alagly_e	1.0171818658359647e-06
R_EX_ala_L_his__L_e	1.0171818657301008e-06
R_EX_ala_L_leu__L_e	1.0171818657460107e-06
R_EX_g6p_e	-9.982569288579216e-09
R_EX_gal_e	-9.98417424194506e-09
R_EX_galctr__D_e	-9.982030368907058e-09
R_EX_galt_e	-9.984680660221009e-09
R_EX_galur_e	-9.986087213478892e-09
R_EX_gam6p_e	-9.978969220364293e-09
R_EX_gam_e	-9.981734559783668e-09
R_EX_gbbtn_e	1.016523735288814e-06
R_EX_glc__D_e	-0.3080486483655784
R_EX_glcn__D_e	-9.976968287195066e-09
R_EX_glcr_e	-9.981868083945757e-09
R_EX_glcur_e	-9.986076980280842e-09
R_EX_gln__L_e	-9.967069283192107e-09
R_EX_glu__D_e	-9.965766166209877e-09
R_EX_alaala_e	-9.985434185538442e-09
R_EX_alltn_e	-9.932270704381673e-09
R_EX_amp_e	-9.990399927271346e-09
R_EX_amylase_e	1.0099349493053083e-06
R_EX_fum_e	-9.572007303805367e-09
R_EX_antim_e	2.019897886814742e-06
R_EX_g1p_e	-9.982570350711738e-09
R_EX_glu__L_e	-9.966545493386484e-09
R_EX_arab__D_e	-9.974983816557624e-09
R_EX_arab__L_e	-9.980319173043828e-09
R_EX_arbt_e	-9.987911140398267e-09
R_EX_arg__L_e	-9.98569570817234e-09
R_EX_argp_e	-9.983352439980927e-09
R_EX_arsenb_e	7.908057741594931e-07
R_EX_arsna_e	2.019897886814742e-06
R_EX_arsni2_e	2.019899165014859e-06
R_EX_asn__L_e	-9.96189013846411e-09
R_EX_asp__L_e	-9.937987398603645e-09
R_EX_bilea_e	5.415191306940434e-07
R_EX_btd_RR_e	-9.9387209508842e-09
R_EX_glx_e	-9.65472786825727e-09
R_EX_buts_e	-9.980110779345005e-09
R_EX_ca2_e	-0.00012688860603389
R_EX_cbl2_e	1.0171057246212167e-06
R_EX_pur_e	2.019888506119897e-06
R_EX_pyr_e	1.7597069378555423e-09
R_EX_cd2_e	2.019896698945592e-06
R_EX_gly_asn__L_e	1.017181902514772e-06
R_EX_cellb_e	-9.992609460530596e-09
R_EX_cgly_e	3.095171312540425e-06
R_EX_raffin_e	-9.995624783363381e-09
R_EX_rib__D_e	-9.9626752380164e-09
R_EX_gly_asp__L_e	1.017181902514772e-06
R_EX_ribflv_e	2.973441687214074e-06
R_EX_chitob_e	1.0099349493053083e-06
R_EX_gly_e	2.436573338831105e-06
R_EX_chol_e	-9.96513877319183e-09
R_EX_rmn_e	-9.986372896636636e-09
R_EX_gly_gln__L_e	1.0171818657654016e-06
R_EX_chols_e	1.016523735288814e-06
R_EX_chor_e	-9.987401357130206e-09
R_EX_cit_e	-9.92369642641417e-09
R_EX_salcn_e	-9.987911140398268e-09
R_EX_gly_glu__L_e	1.017181902514772e-06
R_EX_sbt__D_e	-9.985522513842258e-09
R_EX_ser__D_e	-9.868866505969502e-09
R_EX_citr__L_e	-9.981772880793346e-09
R_EX_cmp_e	-9.987792542576137e-09
R_EX_ser__L_e	-9.935808165789256e-09
R_EX_gly_met__L_e	1.01718186574134e-06
R_EX_so4_e	-0.006589384600384615
R_EX_spmd_e	4.050911943037067e-06
R_EX_co2_e	3.4966073769544765
R_EX_cobalt2_e	6.893214559478756e-07
R_EX_crn_e	1.016523735288814e-06
R_EX_cro4_e	2.019897274160046e-06
R_EX_srb__L_e	-9.981854101235786e-09
R_EX_starch_e	-9.993452793004568e-09
R_EX_subtilisin_e	1.0099349493053083e-06
R_EX_succ_e	-9.599707677038668e-09
R_EX_sucr_e	-9.992558036871823e-09
R_EX_gly_pro__L_e	1.017181902514772e-06
R_EX_sula_e	-9.894496629453204e-09
R_EX_taur_e	-9.966022399728434e-09
R_EX_glyb_e	6.06974089743485e-06
R_EX_thiog_e	1.0165933493252753e-06
R_EX_glyc3p_e	-9.963174293123026e-09
R_EX_glyc_e	-9.955176035342635e-09
R_EX_glyclt_e	-8.458761082335834e-09
R_EX_glycogen_e	-9.984324705752316e-09
R_EX_gmp_e	-9.98984548334193e-09
R_EX_gsn_e	-9.988570253249761e-09
R_EX_thr__L_e	-9.966358128106488e-09
R_EX_gthox_e	-9.99373137294471e-09
R_EX_thym_e	-9.950107441142434e-09
R_EX_gthrd_e	-9.98280163259458e-09
R_EX_thymd_e	-9.98917190935483e-09
R_EX_gua_e	-9.976124295514313e-09
R_EX_tmp_e	1.556752274309214e-07
R_EX_tre_e	-9.992495886561854e-09
R_EX_trp__L_e	-9.991786172522265e-09
R_EX_h2o2_e	2.0299199670884497e-06
R_EX_tyr__L_e	-9.985687106405364e-09
R_EX_h2o_e	3.3602935278823263
R_EX_ump_e	-9.987047163513226e-09
R_EX_ura_e	-9.927848468006231e-09
R_3UMPt6	1.0199766977692093e-06
R_EX_h_e	-1.1730313968909758
R_5MTRt2	1.019980520933217e-06
R_6PGCt6	1.019954425807157e-06
R_EX_urate_e	-9.952855645471609e-09
R_2HXMPt6	-3.0399029022909474e-06
R_EX_hexs_e	5.658671624535741e-10
R_2PGLYCt6	1.0198872881783672e-06
R_2PGt6	1.0194582904521354e-06
R_3AMPt6	1.0199823394785312e-06
R_3CMPt6	1.0199781632636018e-06
R_EX_urea_e	0.00732530566518348
R_EX_uri_e	-9.988964252974939e-09
R_EX_val__L_e	-9.973921072000605e-09
R_EX_xan_e	-9.940454831238306e-09
R_EX_xtsn_e	-9.987099068802199e-09
R_EX_xyl__D_e	-9.981189318091485e-09
R_EX_zn2_e	2.019861965873276e-06
R_3GMPt6	1.0199798472498856e-06
R_3PGt6	1.019446358219156e-06
