	0
R_EX_etha_e	-9.941322365989139e-09
R_EX_drib_e	-9.95575000621634e-09
R_EX_csn_e	-9.955005773646046e-09
R_EX_5mtr_e	-9.979988421668948e-09
R_EX_dtmp_e	-9.981183330608494e-09
R_EX_6pgc_e	-9.96217537706139e-09
R_EX_ctbt_e	1.0166832917294525e-06
R_EX_cu2_e	2.0196922703192696e-06
R_EX_Larab_e	-9.991572920315527e-09
R_EX_ectoine_e	1.0166832917294525e-06
R_EX_cys__D_e	1.0098203861054438e-06
R_EX_cys__L_e	-9.949443519777612e-09
R_EX_eths_e	-9.895471365365149e-09
R_EX_cyst__L_e	-9.977963503484765e-09
R_EX_Lcyst_e	-9.951062989539849e-09
R_EX_cytd_e	-9.982601036134782e-09
R_EX_abt__L_e	-9.966231238906298e-09
R_EX_etoh_e	1.0017646740143316e-06
R_EX_dad_2_e	-9.984244941927815e-09
R_EX_dcyt_e	-9.982268923640348e-09
R_EX_fe2_e	-8.759334570886417e-09
R_EX_dextrin_e	-9.988468914551586e-09
R_EX_dha_e	-9.915116603692662e-09
R_EX_ac_e	2.2891273617671464e-08
R_EX_acac_e	-9.87929104922319e-09
R_EX_fe3_e	-0.00013060861613143287
R_EX_ferrich_e	1.0142192989979896e-06
R_EX_diact_e	1.0098203861054438e-06
R_EX_djenk_e	1.0167315342749473e-06
R_EX_ferxa_e	1.017054705113562e-06
R_EX_fol_e	-9.987855331938727e-09
R_EX_acgam_e	-9.979688090766695e-09
R_EX_acmana_e	-9.980712742049389e-09
R_EX_acnam_e	-9.985296247057757e-09
R_EX_for_e	0.00533829681406072
R_EX_fru_e	-9.972792549579778e-09
R_EX_actn__R_e	-9.932424475705403e-09
R_EX_ade_e	-9.96813351030343e-09
R_EX_adn_e	-9.983522143776948e-09
R_EX_akg_e	-9.939684064663744e-09
R_EX_ala_B_e	5.093919890403875e-11
R_EX_ala__D_e	-9.916784835768959e-09
R_EX_ala_L_Thr__L_e	1.0167222269480688e-06
R_EX_ala_L_asp__L_e	1.0167222269480688e-06
R_EX_ala__L_e	-9.919591220293306e-09
R_EX_ala_L_gln__L_e	1.0167221431263209e-06
R_EX_ala_L_glu__L_e	1.0167222269480688e-06
R_EX_L_alagly_e	1.0167221433207535e-06
R_EX_ala_L_his__L_e	1.0167221430695477e-06
R_EX_ala_L_leu__L_e	1.0167221430968683e-06
R_EX_g6p_e	-9.972323837951386e-09
R_EX_gal_e	-9.973920031974018e-09
R_EX_galctr__D_e	-9.966997724062603e-09
R_EX_galt_e	-9.974129359196423e-09
R_EX_galur_e	-9.973358434996901e-09
R_EX_gam6p_e	-9.970546943334071e-09
R_EX_gam_e	-9.972289534376481e-09
R_EX_gbbtn_e	1.0166832917294525e-06
R_EX_glc__D_e	-9.973286914047394e-09
R_EX_glcn__D_e	-9.96641890650047e-09
R_EX_glcr_e	-9.966801399703883e-09
R_EX_glcur_e	-9.973379181636074e-09
R_EX_gln__L_e	-9.953712164690237e-09
R_EX_glu__D_e	-9.950028639689744e-09
R_EX_alaala_e	-9.974184624054743e-09
R_EX_alltn_e	-9.92313383150972e-09
