,Lagrange_coef
2aobut_c,-0.19203897767110883
2cpr5p_c,-0.7516008701008671
2dda7p_c,-0.37193758558923307
2ddg6p_c,-0.3315563523324287
2ddglcn_c,-0.3452550626114367
2ddglcn_e,-0.34194404557203245
2dhp_c,-0.21701458117203404
2dmmq7_c,-3.4578042933842483
2dr1p_c,-0.29799154252316534
2dr5p_c,-0.29799154252226784
2h3k5m_c,-0.5573931684308969
2h3opp_c,-0.10264162928460675
2hbut_c,-0.25825935807616457
2hxmp_c,-0.057931858091400314
2hxmp_e,-0.05462084105199595
2ins_c,-0.3902055235741898
2ippm_c,-0.37414495105358075
2kmb_c,-0.4418497636467318
4r5au_c,-0.16719756115473092
5aizc_c,-0.5220369849131667
10fthf_c,-1.2681188834443828
2maacoa_c,-0.9005877080029226
5aop_c,10.030589103063683
5aprbu_c,-0.278256771704729
5apru_c,-0.3628278425411018
2mahmp_c,-0.16378006093605216
12d3k5m_c,-0.5128655317711814
2mb2coa_c,-0.9237648280680197
12dag3p_BS_c,-260.06056148448954
12dgr_BS_c,-259.7294596891054
2mbcoa_c,-0.9878667265106416
13dpg_c,-0.15561780377792211
14bxyl_c,-0.42863717379976185
5d4dglcr_c,-0.2681710407941064
5dh4dglcn_c,-0.4205275893545348
2mcit_c,-0.30792459299133695
2me4p_c,-0.3211686525446072
2mecdp_c,-0.3575898143875067
2mp2coa_c,-0.8734846397805103
14glun_c,-0.44924876355966425
2o3mpt_c,-0.3807670042134736
15dap_c,-0.2790063042307284
2obut_c,-0.2350822375693274
1ag3p_BS_c,-139.96333213740553
5mcsn_c,-0.3178575756276438
2p4c2me_c,-0.8961819179572971
1p3h5c_c,-0.9422676646312788
2pcpgc_c,-0.5199831485003493
1pyr5c_c,-0.27812543988342603
2pg_c,-0.14237373469907968
2pg_e,-0.1390627176596717
23camp_c,-0.571702237922991
2pglyc_c,-0.13492315858053855
23ccmp_c,-0.522037290069075
2pglyc_e,-0.13161214154113435
23cgmp_c,-0.5485251128023866
2shchc_c,-0.6335078740689076
23cump_c,-0.5187260024366473
5mdr1p_c,-0.5986097927070761
34hpp_c,-0.5176223467546093
5mdru1p_c,-0.5986097927070712
23ddhb_c,-0.3198421393312745
36dahx_c,-0.3807669869779224
23dhb_c,-0.2966650188244378
23dhba_c,-0.7930947005614961
5mta_c,-0.9832467725425192
5mthf_c,-1.3111621260443918
3amba_c,-0.003311015002623023
5mtr_c,-0.6265823506451998
23dhdp_c,-0.32779070144735095
3amba_e,-0.09844966158090837
23dhmb_c,-0.27150341854009397
23dhmp_c,-0.38076700478004166
5mtr_e,-0.6232713336057958
3amp_c,-0.5750132530405023
25aics_c,-0.7008319065074974
3amp_e,-0.5717022360010986
25dhpp_c,-0.4738870600952444
6ampenc_c,0.2655574809808811
3c2hmp_c,-0.3741449516762272
25dop_c,-0.166410359787795
3c3hmp_c,-0.37414495131442554
6pgc_c,-0.31675397252216403
3c4mop_c,-0.35096783125551195
6pgc_e,-0.31344295548275863
26dap_LL_c,-0.38407800076159765
26dap__M_c,-0.38407800079348337
3cmp_c,-0.5253483051865864
3cmp_e,-0.5220372881471824
26dapime_c,-0.47347546513270977
2ahbut_c,-0.3575898755883489
3dhq_c,-0.3686265678597726
2ahhmd_c,-0.5352806367027354
2ahhmp_c,-0.5054815305808298
6pgg_c,-0.7584982166239306
6pgl_c,-0.318961310745371
6pthp_c,-0.46663046911221945
3dhsk_c,-0.368626567418018
8aonn_c,-0.13839415644120556
3gmp_c,-0.551836127919898
ACP_c,-0.14936657538679513
DPA_c,-0.20616391339059276
3gmp_e,-0.5485251108804942
L_alagly_c,-0.09821453702448217
ala_L_leu__L_c,-0.24350557828542277
ala_L_leu__L_e,-0.2895681025713254
3hbycoa_c,-0.8554260143610047
ala_L_met__L_c,-0.48428941468912073
L_alagly_e,-0.15673374656904573
3hdcoa_c,-1.292480290765439
L_sergly_c,-0.14656557379839646
ala_L_phe__L_c,-0.6277667439569757
3hddcoa_c,-1.4381650495801845
L_thrgly_c,-0.24258509310411455
3hhcoa_c,-1.0011107731359457
Larab_e,-1.0173302162956266
3hhdcoa_c,-1.729534567142348
3hmbcoa_c,-0.9237648285097643
3hmp_c,-0.23780858696991514
ala_L_ser__L_c,-0.20285288157355372
ala_L_trp__L_c,-0.7756588193903068
3hocoa_c,-1.1467955319506917
ala_L_tyr__L_c,-0.604589624279292
ala_L_val__L_c,-0.3584707003899477
Lcyst_c,-0.3005600518806494
3htdcoa_c,-1.5838498083949273
3ig3p_c,-0.7482898555320021
3mob_c,-0.27150341824385604
Lcyst_e,-0.34474032802383936
3mop_c,-0.3807670028111388
Lglyald_c,-0.15892881675062123
3mtp_c,-1.526343684965944
3odcoa_c,-1.2693031701105113
N1aspmd_c,-0.14471485065467843
alaala_c,-0.3112356059544121
3oddcoa_c,-1.4149879289252578
aacoa_c,-0.832248893807307
abt__L_c,-0.3162202308005403
3ohcoa_c,-0.9779336524810196
abt__L_e,-0.31622023080054035
alaala_e,-0.4134720318612575
3ohdcoa_c,-1.706357446521601
alac__S_c,-0.2483262894372036
ac_c,-0.08939746484352669
3oocoa_c,-1.1236184112957643
alltn_c,-0.12014621843303055
3otdcoa_c,-1.560672687740002
alltn_e,-0.1840341849367363
ac_e,-0.08608644780410787
3pg_c,-0.1423737338963436
acac_c,-0.1887279834511523
alltt_c,-0.09434221054719324
3pg_e,-0.13906271685693558
acac_e,-0.1854169664117443
acald_c,-0.12250763669336177
altrn_c,-0.4008443499626067
3php_c,-0.11919661342594998
acamoxm_c,-0.45029834866694035
3psme_c,-0.5474214990097171
accoa_c,-0.7329183756999395
amacald_c,-0.15735520184554244
3ump_c,-0.5220370175541588
amet_c,-1.0067417098133822
ametam_c,-1.0034306960281258
acg5p_c,-0.35096781379298403
3ump_e,-0.5187260005147547
acg5sa_c,-0.37083392536173193
amob_c,64.19635088294082
46dh25dohxn_c,-0.42052758935453477
amp_c,-0.5750132538483079
acgam1p_c,-0.46354237610221677
acgam6p_c,-0.5044400901516847
4abut_c,-0.23162477390745972
acgam_c,-18.32504924219419
