,0
R_EX_etha_e,-4.710454248879614e-11
R_EX_drib_e,-6.981615285894804e-11
R_EX_csn_e,-6.617018044607903e-11
R_EX_5mtr_e,-8.420464325809007e-11
R_EX_dtmp_e,-8.384049010601302e-11
R_EX_6pgc_e,-6.859135481818157e-11
R_EX_ctbt_e,0.0
R_EX_cu2_e,0.0
R_EX_Larab_e,-9.032241621298454e-11
R_EX_ectoine_e,0.0
R_EX_cys__D_e,0.0
R_EX_cys__L_e,-6.724576451233588e-11
R_EX_eths_e,-6.401990049198503e-11
R_EX_cyst__L_e,-8.146106011963639e-11
R_EX_Lcyst_e,-7.144240754541897e-11
R_EX_cytd_e,-8.280576224706238e-11
R_EX_abt__L_e,-6.886669012828861e-11
R_EX_etoh_e,3.2151170614724833e-11
R_EX_dad_2_e,-8.43609626599573e-11
R_EX_dcyt_e,-8.36646307789124e-11
R_EX_fe2_e,5.573319583618286e-12
R_EX_dextrin_e,-8.688427755032535e-11
R_EX_dha_e,-4.281908161374304e-11
R_EX_ac_e,1.4360956868131325e-11
R_EX_acac_e,-4.6903814165943913e-11
R_EX_fe3_e,-0.0018285000000002327
R_EX_ferrich_e,0.0
R_EX_diact_e,0.0
R_EX_djenk_e,0.0
R_EX_ferxa_e,0.0
R_EX_fol_e,-9.174083714924564e-11
R_EX_acgam_e,-8.183675959116954e-11
R_EX_acmana_e,-8.122924555209465e-11
R_EX_acnam_e,-8.51372305987752e-11
R_EX_for_e,3.247713209475478e-10
R_EX_fru_e,-5.719999999999999
R_EX_actn__R_e,-5.973177508167282e-11
R_EX_ade_e,-7.09610148419415e-11
R_EX_adn_e,-8.267964091146496e-11
R_EX_akg_e,-6.422151699325696e-11
R_EX_ala_B_e,-1.7639223415244487e-11
R_EX_ala__D_e,-4.4938275323147536e-11
R_EX_ala_L_Thr__L_e,0.0
R_EX_ala_L_asp__L_e,0.0
R_EX_ala__L_e,-5.311484585490689e-11
R_EX_ala_L_gln__L_e,-5.7777782558332547e-11
R_EX_ala_L_glu__L_e,0.0
R_EX_L_alagly_e,-3.718625407600484e-11
