,Reaction_ID,forward,reverse
R_EX_etha_e,R_EX_etha_e,4.522098942506836,4.52209894255394
R_EX_drib_e,R_EX_drib_e,4.5220989424954805,4.522098942565297
R_EX_csn_e,R_EX_csn_e,4.522098942497295,4.522098942563465
R_EX_5mtr_e,R_EX_5mtr_e,4.522098942488278,4.522098942572483
R_EX_dtmp_e,R_EX_dtmp_e,4.52209894248846,4.522098942572301
R_EX_6pgc_e,R_EX_6pgc_e,4.522098942496084,4.522098942564675
R_EX_ctbt_e,R_EX_ctbt_e,4.522098942530389,4.522098942530389
R_EX_cu2_e,R_EX_cu2_e,4.522098942530387,4.522098942530387
R_EX_Larab_e,R_EX_Larab_e,4.522098942485215,4.522098942575537
R_EX_ectoine_e,R_EX_ectoine_e,4.522098942530389,4.522098942530389
R_EX_cys__D_e,R_EX_cys__D_e,4.52209894253039,4.52209894253039
R_EX_cys__L_e,R_EX_cys__L_e,4.522098942496762,4.522098942564008
R_EX_eths_e,R_EX_eths_e,4.52209894249837,4.52209894256239
R_EX_cyst__L_e,R_EX_cyst__L_e,4.522098942489658,4.522098942571119
R_EX_Lcyst_e,R_EX_Lcyst_e,4.522098942494664,4.522098942566107
R_EX_cytd_e,R_EX_cytd_e,4.52209894248898,4.522098942571786
R_EX_abt__L_e,R_EX_abt__L_e,4.522098942495955,4.5220989425648215
R_EX_etoh_e,R_EX_etoh_e,4.522098942546451,4.5220989425143
R_EX_dad_2_e,R_EX_dad_2_e,4.522098942488205,4.522098942572566
R_EX_dcyt_e,R_EX_dcyt_e,4.5220989424885545,4.522098942572219
R_EX_fe2_e,R_EX_fe2_e,4.522098942533154,4.522098942527581
R_EX_dextrin_e,R_EX_dextrin_e,4.522098942486937,4.522098942573821
R_EX_dha_e,R_EX_dha_e,4.522098942508972,4.522098942551791
R_EX_ac_e,R_EX_ac_e,4.522096824483435,4.522096824469074
R_EX_acac_e,R_EX_acac_e,4.522098942506932,4.522098942553836
R_EX_fe3_e,R_EX_fe3_e,4.521184784948455,4.523013284948456
R_EX_ferrich_e,R_EX_ferrich_e,4.522098942530389,4.522098942530389
R_EX_diact_e,R_EX_diact_e,4.52209894253039,4.52209894253039
R_EX_djenk_e,R_EX_djenk_e,4.522098942530389,4.522098942530389
R_EX_ferxa_e,R_EX_ferxa_e,4.522098942530389,4.522098942530389
R_EX_fol_e,R_EX_fol_e,4.522098942484512,4.522098942576253
R_EX_acgam_e,R_EX_acgam_e,4.522098942489468,4.522098942571305
R_EX_acmana_e,R_EX_acmana_e,4.522098942489772,4.522098942571001
R_EX_acnam_e,R_EX_acnam_e,4.522098942487808,4.522098942572946
R_EX_for_e,R_EX_for_e,4.522098909903166,4.5220989095783946
R_EX_fru_e,R_EX_fru_e,2.4906029915858983,8.210602991585898
R_EX_actn__R_e,R_EX_actn__R_e,4.52209894250052,4.522098942560252
R_EX_ade_e,R_EX_ade_e,4.522098942494899,4.52209894256586
R_EX_adn_e,R_EX_adn_e,4.522098942489039,4.522098942571719
R_EX_akg_e,R_EX_akg_e,4.522098942498275,4.522098942562496
R_EX_ala_B_e,R_EX_ala_B_e,4.522098942521566,4.5220989425392055
R_EX_ala__D_e,R_EX_ala__D_e,4.522098942507909,4.522098942552847
R_EX_ala_L_Thr__L_e,R_EX_ala_L_Thr__L_e,4.522098942530389,4.522098942530389
R_EX_ala_L_asp__L_e,R_EX_ala_L_asp__L_e,4.522098942530389,4.522098942530389
R_EX_ala__L_e,R_EX_ala__L_e,4.522098942503822,4.522098942556937
R_EX_ala_L_gln__L_e,R_EX_ala_L_gln__L_e,4.5220989425015015,4.522098942559279
R_EX_ala_L_glu__L_e,R_EX_ala_L_glu__L_e,4.522098942530389,4.522098942530389
R_EX_L_alagly_e,R_EX_L_alagly_e,4.522098942511786,4.522098942548972
R_EX_ala_L_his__L_e,R_EX_ala_L_his__L_e,4.5220989424972275,4.522098942563543
R_EX_ala_L_leu__L_e,R_EX_ala_L_leu__L_e,4.522098942497384,4.522098942563385
R_EX_g6p_e,R_EX_g6p_e,4.522098942492781,4.522098942567997
R_EX_gal_e,R_EX_gal_e,4.522098942492512,4.522098942568268
R_EX_galctr__D_e,R_EX_galctr__D_e,4.522098942493407,4.522098942567365
R_EX_galt_e,R_EX_galt_e,4.52209894249128,4.522098942569476
R_EX_galur_e,R_EX_galur_e,4.522098942491835,4.522098942568937
R_EX_gam6p_e,R_EX_gam6p_e,4.52209894249402,4.522098942566742
R_EX_gam_e,R_EX_gam_e,4.522098942492671,4.522098942568087
R_EX_gbbtn_e,R_EX_gbbtn_e,4.522098942530389,4.522098942530389
R_EX_glc__D_e,R_EX_glc__D_e,4.522098942493602,4.5220989425671565
R_EX_glcn__D_e,R_EX_glcn__D_e,4.522098942494283,4.522098942566477
R_EX_glcr_e,R_EX_glcr_e,4.522098942493405,4.5220989425673634
R_EX_glcur_e,R_EX_glcur_e,4.5220989424918345,4.522098942568936
R_EX_gln__L_e,R_EX_gln__L_e,4.522098942496764,4.52209894256401
R_EX_glu__D_e,R_EX_glu__D_e,4.522098942496933,4.522098942563828
R_EX_alaala_e,R_EX_alaala_e,4.522098942492288,4.522098942568478
