,0
R_EX_etha_e,-6.6664895825852e-11
R_EX_drib_e,-3.33333360913457e-11
R_EX_csn_e,-3.3332447912926e-11
R_EX_5mtr_e,-8.314859911706662e-11
R_EX_dtmp_e,-9.992451310836259e-11
R_EX_6pgc_e,-9.967671132926625e-11
R_EX_ctbt_e,-3.999911513119514e-11
R_EX_cu2_e,-7.999823026239028e-11
R_EX_Larab_e,-1.2281731187613332e-11
R_EX_ectoine_e,-3.999911513119514e-11
R_EX_cys__D_e,-4.999911595859885e-11
R_EX_cys__L_e,-3.33333360913457e-11
R_EX_eths_e,-3.5579539314767317e-11
R_EX_cyst__L_e,-3.3332447912926e-11
R_EX_Lcyst_e,-2.773692386881521e-11
R_EX_cytd_e,-3.3332447912926e-11
R_EX_abt__L_e,-9.473311024521536e-11
R_EX_etoh_e,-9.819700608204585e-11
R_EX_dad_2_e,-3.33493233029003e-11
R_EX_dcyt_e,-3.3332447912926e-11
R_EX_fe2_e,-1.525712889360875e-11
R_EX_dextrin_e,-4.999911595859885e-11
R_EX_dha_e,-9.949729928848683e-11
R_EX_ac_e,3.7024186632806897
R_EX_acac_e,-9.892531238619995e-11
R_EX_fe3_e,-0.002035499999999857
R_EX_ferrich_e,-3.999911513119514e-11
R_EX_diact_e,-4.999911595859885e-11
R_EX_djenk_e,-3.999911513119514e-11
R_EX_ferxa_e,-3.999911513119514e-11
R_EX_fol_e,-9.99724747430264e-11
R_EX_acgam_e,-2.4999557979299425e-11
R_EX_acmana_e,-3.3332447912926e-11
R_EX_acnam_e,-3.33333360913457e-11
R_EX_for_e,0.004665721416549751
R_EX_fru_e,-3.3332447912926e-11
R_EX_actn__R_e,-9.910294807013997e-11
R_EX_ade_e,-3.33493233029003e-11
R_EX_adn_e,-9.99893501330007e-11
R_EX_akg_e,-3.3332447912926e-11
R_EX_ala_B_e,-3.601119402674158e-11
R_EX_ala__D_e,-7.646860922250198e-11
R_EX_ala_L_Thr__L_e,-3.999911513119514e-11
R_EX_ala_L_asp__L_e,-3.999911513119514e-11
R_EX_ala__L_e,-3.33333360913457e-11
R_EX_ala_L_gln__L_e,-4.999911595859885e-11
R_EX_ala_L_glu__L_e,-3.999911513119514e-11
R_EX_L_alagly_e,-4.999911595859885e-11
R_EX_ala_L_his__L_e,-4.999822778017915e-11
R_EX_ala_L_leu__L_e,-4.999911595859885e-11
R_EX_g6p_e,-3.3332447912926e-11
R_EX_gal_e,-4.957367849556249e-11
R_EX_galctr__D_e,-2.5647928225680516e-11
R_EX_galt_e,-2.7272406555312045e-11
R_EX_galur_e,-2.9032776183157694e-11
R_EX_gam6p_e,-9.980194448644397e-11
R_EX_gam_e,-3.3332447912926e-11
R_EX_gbbtn_e,-3.999911513119514e-11
R_EX_glc__D_e,-7.630000000000001
R_EX_glcn__D_e,-3.33333360913457e-11
R_EX_glcr_e,-3.212452526213383e-11
R_EX_glcur_e,-2.9032776183157694e-11
R_EX_gln__L_e,-3.33333360913457e-11
R_EX_glu__D_e,-3.3332447912926e-11
R_EX_alaala_e,-1.7647217021021788e-11
R_EX_alltn_e,-3.8895109355507884e-11
