,Reaction_ID,forward,reverse
R_EX_etha_e,R_EX_etha_e,4.490960689012823,4.490960689079488
R_EX_drib_e,R_EX_drib_e,4.490960689029488,4.490960689062821
R_EX_csn_e,R_EX_csn_e,4.490960689029488,4.49096068906282
R_EX_5mtr_e,R_EX_5mtr_e,4.490960689004582,4.49096068908773
R_EX_dtmp_e,R_EX_dtmp_e,4.490960688996193,4.490960689096117
R_EX_6pgc_e,R_EX_6pgc_e,4.490960688996317,4.490960689095994
R_EX_ctbt_e,R_EX_ctbt_e,4.4909606890261555,4.490960689066155
R_EX_cu2_e,R_EX_cu2_e,4.490960689006156,4.490960689086155
R_EX_Larab_e,R_EX_Larab_e,4.490960689040016,4.490960689052298
R_EX_ectoine_e,R_EX_ectoine_e,4.4909606890261555,4.490960689066155
R_EX_cys__D_e,R_EX_cys__D_e,4.490960689021156,4.490960689071155
R_EX_cys__L_e,R_EX_cys__L_e,4.490960689029488,4.490960689062821
R_EX_eths_e,R_EX_eths_e,4.490960689028365,4.490960689063945
R_EX_cyst__L_e,R_EX_cyst__L_e,4.49096068902949,4.490960689062822
R_EX_Lcyst_e,R_EX_Lcyst_e,4.4909606890322875,4.490960689060024
R_EX_cytd_e,R_EX_cytd_e,4.490960689029489,4.490960689062821
R_EX_abt__L_e,R_EX_abt__L_e,4.490960688998789,4.490960689093522
R_EX_etoh_e,R_EX_etoh_e,4.490960688997057,4.490960689095254
R_EX_dad_2_e,R_EX_dad_2_e,4.490960689029481,4.49096068906283
R_EX_dcyt_e,R_EX_dcyt_e,4.490960689029489,4.490960689062821
R_EX_fe2_e,R_EX_fe2_e,4.490960689038525,4.490960689053782
R_EX_dextrin_e,R_EX_dextrin_e,4.490960689021156,4.490960689071155
R_EX_dha_e,R_EX_dha_e,4.490960688996407,4.490960689095904
R_EX_ac_e,R_EX_ac_e,6.708750263029073,3.0063315997483837
R_EX_acac_e,R_EX_acac_e,4.490960688996693,4.490960689095618
R_EX_fe3_e,R_EX_fe3_e,4.489943054368369,4.491978554368369
R_EX_ferrich_e,R_EX_ferrich_e,4.4909606890261555,4.490960689066155
R_EX_diact_e,R_EX_diact_e,4.490960689021156,4.490960689071155
R_EX_djenk_e,R_EX_djenk_e,4.4909606890261555,4.490960689066155
R_EX_ferxa_e,R_EX_ferxa_e,4.4909606890261555,4.490960689066155
R_EX_fol_e,R_EX_fol_e,4.490960688996169,4.490960689096141
R_EX_acgam_e,R_EX_acgam_e,4.490960689033656,4.490960689058656
R_EX_acmana_e,R_EX_acmana_e,4.490960689029489,4.490960689062821
R_EX_acnam_e,R_EX_acnam_e,4.490960689029488,4.490960689062821
R_EX_for_e,R_EX_for_e,4.493294155664735,4.488628434248185
R_EX_fru_e,R_EX_fru_e,4.490960689029489,4.490960689062821
R_EX_actn__R_e,R_EX_actn__R_e,4.490960688996604,4.490960689095707
R_EX_ade_e,R_EX_ade_e,4.490960689029481,4.49096068906283
R_EX_adn_e,R_EX_adn_e,4.490960688996161,4.49096068909615
R_EX_akg_e,R_EX_akg_e,4.490960689029489,4.490960689062821
R_EX_ala_B_e,R_EX_ala_B_e,4.4909606890281495,4.490960689064161
