,Lagrange_coef
2aobut_c,-0.1954032985067093
2cpr5p_c,-0.7512920135027892
2dda7p_c,-0.3739614971530509
2ddg6p_c,-0.334123676340902
2ddglcn_c,-0.3448211942504356
2ddglcn_e,-0.34145217178485643
2dhp_c,-0.22146357277045708
2dmmq7_c,-3.513888917909943
2dr1p_c,-0.3032120223626882
2dr5p_c,-0.30321202236269257
2h3k5m_c,-0.5614438741285467
2h3opp_c,-0.10443981551684907
2hbut_c,-0.2627837576453772
2hxmp_c,-0.053605675195853124
2hxmp_e,-0.05023665273027392
2ins_c,-0.38624200304524775
2ippm_c,-0.38069954468728967
2kmb_c,-0.44768570312748807
4r5au_c,-0.18246781027976627
5aizc_c,-0.5221984773662186
10fthf_c,-1.2768588090724786
2maacoa_c,-0.9407597957364865
5aop_c,-0.020348912178140617
5aprbu_c,-0.29014136708149457
5apru_c,-0.3708627497173387
2mahmp_c,-0.18545952437699362
12d3k5m_c,-0.5180408783559876
2mb2coa_c,-0.9643429531714965
12dag3p_BS_c,-264.61650743624483
12dgr_BS_c,-264.279605169559
2mbcoa_c,-1.0295201717628581
13dpg_c,-0.15834405645096994
14bxyl_c,-0.4122554881164239
5d4dglcr_c,-0.2687202961773758
5dh4dglcn_c,-0.4121471125358679
2mcit_c,-0.3133190925626378
2me4p_c,-0.3267951606171445
2mecdp_c,-0.36385437183928954
2mp2coa_c,-0.9131470788055576
14glun_c,-0.4343573236003761
2o3mpt_c,-0.3874375915022202
15dap_c,-0.29315947256109304
2obut_c,-0.23920060014904582
1ag3p_BS_c,-142.4153211822941
5mcsn_c,-0.3166880373627537
2p4c2me_c,-0.9028979770292253
1p3h5c_c,-0.6897150297415958
2pcpgc_c,1.1789967980241836
1pyr5c_c,-0.2829978890471286
2pg_c,-0.14486796678714545
2pg_e,-0.1414989443215663
23camp_c,-0.5690663970402052
2pglyc_c,-0.12862032587254738
23ccmp_c,-0.5221987257363792
2pglyc_e,-0.1252513034069682
23cgmp_c,-0.5491506593703753
2shchc_c,-0.6401141945400812
23cump_c,-0.5149666933775695
5mdr1p_c,-0.60147785251667
34hpp_c,-0.5221984884047146
5mdru1p_c,-0.6014778525166699
23ddhb_c,-0.3302186998060169
36dahx_c,-0.3874375887519317
23dhb_c,-0.3066355423096856
23dhba_c,-0.8120434150799033
5mta_c,-0.9874141176782025
5mthf_c,-1.32065610396036
3amba_c,-0.003369020851577163
5mtr_c,-0.6280357460231899
23dhdp_c,-0.33353322775153527
3amba_e,-0.0909090878481455
23dhmb_c,-0.2762598467213651
23dhmp_c,-0.38743759187019355
5mtr_e,-0.6246667235576108
3amp_c,-0.5724354191473954
25aics_c,-0.704125691627307
3amp_e,-0.5690663966818164
25dhpp_c,-0.4785363193549408
6ampenc_c,1.2320826163602523
3c2hmp_c,-0.38069954478298673
25dop_c,-0.17444218188748414
3c3hmp_c,-0.3806995447142345
6pgc_c,-0.31331909307085004
3c4mop_c,-0.3571163872580235
6pgc_e,-0.3099500706052709
26dap_LL_c,-0.3908066107453694
26dap__M_c,-0.39080661075183415
3cmp_c,-0.5255677478435693
3cmp_e,-0.5221987253779903
26dapime_c,-0.4817702189064185
2ahbut_c,-0.3638544332296008
3dhq_c,-0.3705924751424436
2ahhmd_c,-0.5356740914262469
2ahhmp_c,-0.5053529494885448
6pgg_c,-0.736969589344304
6pgl_c,-0.31331909257458046
6pthp_c,-0.4750866114703298
3dhsk_c,-0.37059247508109255
8aonn_c,-0.1686140733742988
3gmp_c,-0.5525196814775655
ACP_c,1.3956766268494254
DPA_c,-0.21904097722823102
3gmp_e,-0.5491506590119865
L_alagly_c,-0.10429778114277442
ala_L_leu__L_c,-0.25101661626116234
ala_L_leu__L_e,-0.2913959147278328
3hbycoa_c,-0.8947592706177517
ala_L_met__L_c,-0.5020388724417219
L_alagly_e,-0.15511693011970035
3hdcoa_c,-1.3394702435154862
L_sergly_c,-0.15839856435031907
ala_L_phe__L_c,-0.6435378037436293
3hddcoa_c,-1.4877072344837567
L_thrgly_c,-0.25610021838893576
3hhcoa_c,-1.042996261578945
Larab_e,-0.9866345057103253
3hhdcoa_c,-1.7841812164089021
3hmbcoa_c,-0.9643429532328176
3hmp_c,-0.24197108733388684
ala_L_ser__L_c,-0.21567195230341954
ala_L_trp__L_c,-0.7850367413369888
3hocoa_c,-1.1912332525472153
ala_L_tyr__L_c,-0.61995464662632
ala_L_val__L_c,-0.3740160088776299
Lcyst_c,-0.28969649726048435
3htdcoa_c,-1.6359442254520271
3ig3p_c,-0.7479229911043412
3mob_c,-0.27625984666261866
Lcyst_e,-0.328962627246079
3mop_c,-0.3874375902095047
Lglyald_c,-0.16171316641759867
3mtp_c,1.8669049061791025
3odcoa_c,-1.315887085993463
N1aspmd_c,-0.15678118876582392
alaala_c,-0.31668811078606685
3oddcoa_c,-1.4641240769617336
aacoa_c,-0.8711761131132297
abt__L_c,-0.3107894186955056
3ohcoa_c,-1.019413104056922
abt__L_e,-0.3107894186955056
alaala_e,-0.4073813563214918
3ohdcoa_c,-1.7605980588928085
alac__S_c,-0.25267668809762334
ac_c,-0.0909636082283576
3oocoa_c,-1.1676500950251922
alltn_c,-0.12141188092371093
3otdcoa_c,-1.6123610679300042
alltn_e,-0.17897191011425415
ac_e,-0.08759458576277843
3pg_c,-0.14486796678045516
acac_c,-0.19203428437250278
alltt_c,-0.09600994557753899
3pg_e,-0.141498944314876
acac_e,-0.18866526190692365
acald_c,-0.124653830162604
altrn_c,-0.3957947664150776
3php_c,-0.12128480929120085
acamoxm_c,-0.45818706228893763
3psme_c,-0.552519690122376
accoa_c,-0.7701054371000419
amacald_c,-0.15585097223889524
3ump_c,-0.5183357154847598
amet_c,-1.0120001605522786
ametam_c,-1.0086311386135118
acg5p_c,-0.35711638441050375
3ump_e,-0.5149666930191807
acg5sa_c,-0.37733052134670564
amob_c,271.15615876288433
46dh25dohxn_c,-0.4121471125358679
amp_c,-0.5761028412080097
acgam1p_c,-0.45818705877658383
acgam6p_c,-0.4944529844893146
4abut_c,-0.23566125992391035
acgam_c,2.520948670759532
amp_e,-0.5727338187424307
4abut_e,-0.2863245019892553
acgam_e,-0.5273498907808642
4abutn_c,-0.3467844789875388
acglu_c,-0.3436402945735973
amylase_e,-0.09090908790383179
4abz_c,-0.4379728053140975
acmalt_c,-0.7329699386847556
4adcho_c,-0.5626266972583616
acmam_c,2.770835223068779
anth_c,-0.43797292287224887
4ahmmp_c,-0.3369565068010927
antim_c,-0.18181817129977543
acmama_c,2.528320125632348
4ampm_c,-0.26289252443327565
acmana_c,-0.46829412617344285
antim_e,-0.09090908489857305
4c2me_c,-0.8860528769274799
apoACP_c,1.5744193239539033
acmana_e,-0.5147819347124218
acnam_c,-0.6097930710200374
aps_c,-0.5996859978096202
acnam_e,-0.6552667057617677
4hglu_c,-0.5752227839076632
acorn_c,-0.40091367828437596
arab__D_c,-0.3224357464446321
4izp_c,-0.348693826910063
arab__D_e,-0.3224357464446321
acser_c,-0.24256962003525495
4mhetz_c,-2.4924999952238642
arab__L_c,-0.2872062601023963
4mop_c,-0.3537473652998876
arab__L_e,-0.31299490991031087
actn__R_c,-0.24930766489542266
4mpetz_c,-2.4184360225824744
arbt6p_c,-0.444113601174666
4pasp_c,-0.18192721416504654
arbt_e,-0.47750514495007895
4ppan_c,-0.03127804168965274
arg__L_c,-0.37733051602578377
actn__R_e,-0.24867537702965775
arg__L_e,-0.43444795354617866
4ppcys_c,-0.21326443074370485
argp_c,-0.394175627752111
actp_c,-0.10443969791430052
cmp_e,-0.5356745710997775
ade_c,-0.2860685066673365
ade_e,-0.3352827847709634
adn_c,-0.5690663972614747
adn_e,-0.5656973747958959
argp_e,-0.39080660528653194
argsuc_c,-0.5457816407294952
arsenb_c,-0.008142496972763754
arsenb_e,-0.0909090877692451
co2_c,1.0710224762773237e-10
arsna_c,-0.18181817129977543
adp_c,-0.5895789303976402
adpglc_c,-0.9365882484809074
arsna_e,-0.09090908489857305
co2_e,5.3268679680274926e-11
arsni2_c,-0.18181817129978792
adprib_c,-0.9466407833558266
agm_c,-0.30065164846883075
co_c,-2.2670845084250897
ahcys_c,-0.9378819805988992
ahdt_c,-0.58284082035243
arsni2_e,-0.09090908489858587
asn__L_c,-0.20887939100391942
coa_c,-0.6690347611269847
asn__L_e,-0.2605696106651036
asp__L_c,-0.1684511244819305
aicar_c,-0.5356745669236979
air_c,-0.505353365705765
cobalt2_c,1.4060774663606206e-09
akg_c,-0.2223554847511438
asp__L_e,-0.22222478634022177
akg_e,-0.27350106652742134
cobalt2_e,-0.09090908790383165
aspsa_c,-0.20214135086229718
cpppg3_c,0.4735944939326403
atp_c,-0.603055020078098
b2coa_c,-0.8947592705627783
ala_B_c,-0.037263664635372645
crn_c,-0.013476087892286864
ala_B_e,-0.1109129680679
betald_c,-0.1347625360099245
crn_e,-0.09090908768108659
bilea_c,-0.00219510659995548
ala__D_c,-0.151606010503495
cro4_c,-0.17844914894556713
ala__D_e,-0.1781090796575046
bilea_e,-0.09090908786754905
btal_c,-0.3100909441081944
cro4_e,-0.09090908495425763
btcoa_c,-0.9183424280601828
ala_L_Thr__L_c,-0.013476087892286864
ala_L_Thr__L_e,-0.09090908768108659
csn_c,-0.23920083536350878
ala_L_asn__L_c,-0.28305239813141464
btd_RR_c,-0.2728908223917541
csn_e,-0.28974400845981596
btd_RR_e,-0.269521799926175
ala_L_asp__L_c,-0.013476087892286864
ctbt_c,-0.013476087892286864
ala_L_asp__L_e,-0.09090908768108659
btn_c,357.2370104712702
ctbt_e,-0.09090908768108659
but_c,-0.23920059919998185
ala__L_c,-0.15160601143342117
ctp_c,-0.5659957724141271
ala__L_e,-0.20651938207722967
cu2_c,-0.1683420819048817
ala_L_gln__L_c,-0.19077206302500457
ala_L_gln__L_e,-0.23372472134836356
cu2_e,-0.09090908512134122
butpi_c,-0.2526766888804395
ala_L_glu__L_c,-0.013476087892286864
cys__D_e,-0.09090908790383179
ala_L_glu__L_e,-0.09090908768108659
buts_c,-0.40393526941621544
buts_e,-0.44113539249386485
cys__L_c,-0.25941473435155543
ca2_c,0.0033690292190966136
ala_L_his__L_c,-0.24930362813697754
ala_L_his__L_e,-0.2897398769014192
cys__L_e,-0.29952523675783715
ala_L_ile__L_c,-0.4851937507306912
ca2_e,6.753516616935883e-09
cbasp_c,-0.21561743668317307
cysam_c,0.09410067567509366
etha_e,-0.1818835941410729
cyst__L_c,-0.49861533287656745
eths_c,-0.2227239470340908
cbl2_c,-0.013476087892286864
cyst__L_e,-0.5348158489282481
cbl2_e,-0.09090908768108659
cbp_c,-0.047166312274236365
eths_e,-0.26414986121236117
etoh_c,-0.1482369887557133
etoh_e,-0.07580300517507482
f1p_c,-0.34027135853811585
cd2_c,-0.17367567433152922
cd2_e,-0.09090908503315889
cytd_c,-0.5221987259576486
cdlp_BS_c,-555.1744743984923
f6p_c,-0.34027127270239155
cytd_e,-0.5682363996557994
f6p_e,-0.3850714352650045
cdp_c,-0.552519682968483
cdpdag_BS_c,-320.54228020653863
d12dg_BS_c,-334.35527305230517
dad_2_c,-0.5859115070827832
fa10_c,-1.2196405444376024
dad_2_e,-0.6315224102149095
fa10coa_c,-1.9122584620013368
cdpglyc_c,-0.7613990770854658
dadp_c,-0.6131620878941123
fa11_c,-1.3004427115077803
damp_c,-0.5996859982136558
fa11coa_c,-1.9930606290722492
cellb_e,-0.784196658300588
dann_c,-272.33677299681085
fa12_c,-1.3341329371296313
datp_c,-0.6266381775775742
fa12coa_c,-2.026750854695149
cgly_c,0.056563146931154155
db4p_c,-0.14045394278909748
cgly_e,-0.026203443332207164
fa1_c,-1.0612420980442019
dc2coa_c,-1.3394702434605128
fa1coa_c,-1.753860015608041
dca_c,-1.0309758747560023
fa3_c,-1.1387296283258095
ch4s_c,-0.27957435490564647
dcal_c,-1.1420990986330046
chitob_c,4.950988252130743
fa3coa_c,-1.8313475458916424
fa4_c,-1.1724198532940637
dcamp_c,-0.7445539659116227
fa4coa_c,-1.8650377708613652
chitob_e,-0.09090908790383179
dccoa_c,-1.3630534009649942
chol_c,-0.20719733897278653
fa5_c,-1.1084629641835548
dcdp_c,-0.5761028401613815
fa5coa_c,-1.8010808817472894
chol_e,-0.24931094374834312
dcmp_c,-0.562626750480924
chols_c,-0.013476087892286864
fa6_c,-1.222955190517569
fa6coa_c,-1.9155731080818281
