,0
R_EX_etha_e,-5.001776770541255e-11
R_EX_drib_e,-7.208988961338036e-11
R_EX_csn_e,-6.862421741971048e-11
R_EX_5mtr_e,-8.544720486725055e-11
R_EX_dtmp_e,-8.517364591398291e-11
R_EX_6pgc_e,-7.066969232027986e-11
R_EX_ctbt_e,0.0
R_EX_cu2_e,0.0
R_EX_Larab_e,-9.0786045348068e-11
R_EX_ectoine_e,0.0
R_EX_cys__D_e,0.0
R_EX_cys__L_e,-6.964917531604442e-11
R_EX_eths_e,-6.558398268907695e-11
R_EX_cyst__L_e,-8.30020496778161e-11
R_EX_Lcyst_e,-7.23652249234874e-11
R_EX_cytd_e,-8.400125039997874e-11
R_EX_abt__L_e,-7.074874019963318e-11
R_EX_etoh_e,1.992805920281171e-11
R_EX_dad_2_e,-8.560441244753747e-11
R_EX_dcyt_e,-8.482636815188016e-11
R_EX_fe2_e,8.881784197001252e-16
R_EX_dextrin_e,-8.750955515779424e-11
R_EX_dha_e,-4.810818410305728e-11
R_EX_ac_e,3.7836400679225335e-12
R_EX_acac_e,-5.1814552648465906e-11
R_EX_fe3_e,-0.0014490000000000336
R_EX_ferrich_e,0.0
R_EX_diact_e,0.0
R_EX_djenk_e,0.0
R_EX_ferxa_e,0.0
R_EX_fol_e,-9.242029364031623e-11
R_EX_acgam_e,-8.276135332607737e-11
R_EX_acmana_e,-8.234035675513951e-11
R_EX_acnam_e,-8.612666135832114e-11
R_EX_for_e,2.8548274855211275e-10
R_EX_fru_e,-7.576694827093888e-11
R_EX_actn__R_e,-6.344258451917995e-11
R_EX_ade_e,-7.288569747743168e-11
R_EX_adn_e,-8.393019612640273e-11
R_EX_akg_e,-6.676081909517961e-11
R_EX_ala_B_e,-1.8035350990430743e-11
R_EX_ala__D_e,-4.895905902913e-11
R_EX_ala_L_Thr__L_e,0.0
R_EX_ala_L_asp__L_e,0.0
R_EX_ala__L_e,-5.598010943685949e-11
R_EX_ala_L_gln__L_e,-6.110401074010952e-11
R_EX_ala_L_glu__L_e,0.0
R_EX_L_alagly_e,-4.1393555250124336e-11
R_EX_ala_L_his__L_e,-6.862421741971048e-11
R_EX_ala_L_leu__L_e,-6.88018531036505e-11
R_EX_g6p_e,-7.639133769998807e-11
R_EX_gal_e,-7.680345248672893e-11
R_EX_galctr__D_e,-7.536549162523443e-11
R_EX_galt_e,-7.971578952492564e-11
R_EX_galur_e,-7.834533022332835e-11
R_EX_gam6p_e,-7.430145387843368e-11
R_EX_gam_e,-7.659295420126e-11
R_EX_gbbtn_e,0.0
R_EX_glc__D_e,-7.482281461079765e-11
R_EX_glcn__D_e,-5.13
R_EX_glcr_e,-7.536549162523443e-11
R_EX_glcur_e,-7.834533022332835e-11
R_EX_gln__L_e,-6.964917531604442e-11
R_EX_glu__D_e,-6.931433205181747e-11
R_EX_alaala_e,-7.768452547907145e-11
R_EX_alltn_e,-4.920508445138694e-11
R_EX_amp_e,-8.412737173557616e-11
R_EX_amylase_e,0.0
R_EX_fum_e,-4.4931169895789935e-11
R_EX_antim_e,0.0
R_EX_g1p_e,-7.639133769998807e-11
R_EX_glu__L_e,-6.73594513500575e-11
R_EX_arab__D_e,-7.180567251907632e-11
R_EX_arab__L_e,-7.09547975930036e-11
R_EX_arbt_e,-8.096190384776492e-11
R_EX_arg__L_e,-7.907452470590215e-11
R_EX_argp_e,-7.673772728367112e-11
R_EX_arsenb_e,0.0
R_EX_arsna_e,0.0
R_EX_arsni2_e,0.0
R_EX_asn__L_e,-6.511147176979648e-11
R_EX_asp__L_e,-5.909139844106903e-11
R_EX_bilea_e,0.0
R_EX_btd_RR_e,-6.627054460750514e-11
R_EX_glx_e,-2.5925928071046656e-11
R_EX_buts_e,-7.93916044017351e-11
R_EX_ca2_e,-0.0013461000000001277
R_EX_cbl2_e,0.0
R_EX_pur_e,0.0
R_EX_pyr_e,-2.7070790054040117e-11
R_EX_cd2_e,0.0
R_EX_gly_asn__L_e,0.0
R_EX_cellb_e,-8.840750354011107e-11
R_EX_cgly_e,2.469358051371273e-10
R_EX_raffin_e,-9.197620443046617e-11
R_EX_rib__D_e,-6.618794401447303e-11
R_EX_gly_asp__L_e,0.0
R_EX_ribflv_e,-1.284217177044411e-11
R_EX_chitob_e,0.0
R_EX_gly_e,-5.950795411990839e-14
R_EX_chol_e,-6.353584325324846e-11
R_EX_rmn_e,-8.109068971862143e-11
R_EX_gly_gln__L_e,-5.587708074017428e-11
R_EX_chols_e,0.0
R_EX_chor_e,-8.334311019098095e-11
R_EX_cit_e,-6.303579880295729e-11
R_EX_salcn_e,-8.096190384776492e-11
R_EX_gly_glu__L_e,0.0
R_EX_sbt__D_e,-7.930012202450598e-11
R_EX_ser__D_e,-4.61133353724108e-11
R_EX_citr__L_e,-7.717648742300298e-11
R_EX_cmp_e,-8.302869503040711e-11
R_EX_ser__L_e,-5.38999955779218e-11
R_EX_gly_met__L_e,-6.844391720051135e-11
R_EX_so4_e,-0.07153271899454339
R_EX_spmd_e,2.4006574506074685e-11
R_EX_co2_e,16.09065237988405
R_EX_cobalt2_e,0.0
R_EX_crn_e,0.0
R_EX_cro4_e,0.0
R_EX_srb__L_e,-7.575806648674188e-11
R_EX_starch_e,-8.828671127503185e-11
R_EX_subtilisin_e,0.0
R_EX_succ_e,-5.0030202203288354e-11
R_EX_sucr_e,-8.79243344797942e-11
R_EX_gly_pro__L_e,0.0
R_EX_sula_e,-5.4785509462362825e-11
R_EX_taur_e,-6.727862711386479e-11
R_EX_glyb_e,6.353584325324846e-11
R_EX_thiog_e,0.0
R_EX_glyc3p_e,-6.422684606377516e-11
R_EX_glyc_e,-5.093880872664158e-11
R_EX_glyclt_e,7.989164885202626e-11
R_EX_glycogen_e,-7.697398274331135e-11
R_EX_gmp_e,-8.421974229122497e-11
R_EX_gsn_e,-8.334311019098095e-11
R_EX_thr__L_e,-6.862421741971048e-11
R_EX_gthox_e,-8.72031336029977e-11
R_EX_thym_e,-7.066969232027986e-11
R_EX_gthrd_e,-7.252864975271223e-11
R_EX_thymd_e,-8.619682745347745e-11
R_EX_gua_e,-7.122036294049394e-11
R_EX_tmp_e,-5.5422333389287814e-12
R_EX_tre_e,-8.79243344797942e-11
R_EX_trp__L_e,-8.79731842928777e-11
R_EX_h2o2_e,8.72031336029977e-11
R_EX_tyr__L_e,-8.324008149429574e-11
R_EX_h2o_e,22.727421229441173
R_EX_ump_e,-8.247802441019303e-11
R_EX_ura_e,-6.023181953196399e-11
R_3UMPt6,8.234657400407741e-11
R_EX_h_e,-2.3897992335105362
R_5MTRt2,8.544720486725055e-11
R_6PGCt6,7.066969232027986e-11
R_EX_urate_e,-5.67350610936046e-11
R_2HXMPt6,-8.096190384776492e-11
R_EX_hexs_e,0.0
R_2PGLYCt6,2.7418955994562566e-11
R_2PGt6,3.575273410660884e-11
R_3AMPt6,8.402523121731065e-11
R_3CMPt6,8.259082306949495e-11
R_EX_urea_e,1.5704149092243824e-10
R_EX_uri_e,-8.379696936344772e-11
R_EX_val__L_e,-7.393197165583842e-11
R_EX_xan_e,-5.848654893725325e-11
R_EX_xtsn_e,-8.189005029635155e-11
R_EX_xyl__D_e,-7.541700597357703e-11
R_EX_zn2_e,0.0
R_3GMPt6,8.344525070924647e-11
R_3PGt6,3.575273410660884e-11
R_ABTt_1,7.074874019963318e-11
R_F6Pt6_2,7.639133769998807e-11
R_EX_hg2_e,0.0
R_EX_his__L_e,-7.843414806529836e-11
R_EX_hqn_e,8.096190384776492e-11
R_EX_hxan_e,-6.931433205181747e-11
R_PHEt2r,8.393818973218004e-11
R_ACACt2,5.1814552648465906e-11
R_EX_icit_e,-6.303579880295729e-11
R_2S6HCCi,0.00011172000000048143
R_26DPAi,0.0
R_3AMBAt2,0.0
R_FDH,0.003321366334682274
R_FDMO_1,6.27999874325269e-11
R_EX_ile__L_e,-8.01554378426772e-11
R_AAMYL_1,8.8286267185822e-11
R_EX_inost_e,-8.204548151979907e-11
R_EX_ins_e,-8.270273355037716e-11
R_EX_istnt_e,-5.841105377157874e-11
R_ABTA,6.824940612659702e-11
R_EX_k_e,-0.29665103999999953
R_EX_lac__L_e,-3.867306475058285e-11
R_EX_lanth_e,0.0
R_FBA,3.024472413745073
R_EX_lcts_e,-8.803358042541731e-11
R_FBA2,-0.0001058038116710236
R_FBP,5.745954823055399e-10
R_FCLT_2,-8.881784197001252e-16
R_FDMO1,6.558398268907695e-11
R_FDMO2_1,7.939204849094494e-11
R_FDMO3_1,0.0
R_AB6PGH,8.096101566934522e-11
R_ABUTD,0.0
R_MACCOAT,-6.052003342915668e-11
R_ACACT2r,0.011383243412649957
R_ACACT3r,0.011383243412650845
R_ACACT4r,0.01138324341265129
R_ACACT5r_1,0.01138324341265129
R_ACACT6r_1,0.011383243412652178
R_ACACT7r,0.008756341080377261
R_FDMO4_1,1.3964340794814234e-10
R_FDMO5_1,5.4785065373152975e-11
R_FDMO6_1,5.841060968236889e-11
R_ACACT1r,0.011383243281442912
R_ACCOAC,0.4141749316478611
R_EX_leu__L_e,-7.569056492684467e-11
R_ACGApts,8.276135332607737e-11
R_ACGK,0.08534754187440363
R_FE2abc,-8.881784197001252e-16
R_EX_lipt_e,0.0
R_ACGS,1.249190972885117e-09
R_EX_lys__L_e,-7.673772728367112e-11
R_FOLD3,0.00015413990757906504
R_ACMANAt2,8.234035675513951e-11
R_ACNAMt2,8.612666135832114e-11
R_EX_madg_e,-7.965095250028753e-11
R_ACNPLYS,-8.612666135832114e-11
R_EX_mal__D_e,-6.52526921385288e-11
R_ALLTNt2r,4.920508445138694e-11
R_EX_mal__L_e,-6.202238722607945e-11
R_ACt2r,-3.7836400679225335e-12
R_ADEt2,7.288569747743168e-11
R_ACKr,0.17938620182535647
R_ACLDC,0.007195444524074723
R_ALLTAHr,2.1597479360480065e-10
R_EX_malt_e,-8.828315856135305e-11
R_AMPt6,8.412737173557616e-11
R_ACODA_1,1.249190972885117e-09
R_ACOAD20,-3.0260238759183267e-11
R_EX_malttr_e,-9.200196160463747e-11
R_EX_man1p_e,-7.30162597051276e-11
R_ACONT,3.585178142338162
R_ACOAD2,0.011383243412650401
R_EX_man6p_e,-7.30162597051276e-11
R_ACOAD1,0.011383243333256132
R_ACOADH2,7.749090258357683e-10
R_ARABDI,7.180567251907632e-11
R_ARAB_Dt,7.180567251907632e-11
R_ACOTA,-0.08534754187440274
