,Reaction_ID,forward,reverse
R_EX_etha_e,R_EX_etha_e,4.5156313014256995,4.515631301475717
R_EX_drib_e,R_EX_drib_e,4.515631301414657,4.515631301486747
R_EX_csn_e,R_EX_csn_e,4.51563130141639,4.515631301485014
R_EX_5mtr_e,R_EX_5mtr_e,4.5156313014079785,4.515631301493426
R_EX_dtmp_e,R_EX_dtmp_e,4.515631301408123,4.515631301493297
R_EX_6pgc_e,R_EX_6pgc_e,4.515631301415367,4.515631301486037
R_EX_ctbt_e,R_EX_ctbt_e,4.515631301450702,4.515631301450702
R_EX_cu2_e,R_EX_cu2_e,4.5156313014507035,4.5156313014507035
R_EX_Larab_e,R_EX_Larab_e,4.515631301405313,4.515631301496099
R_EX_ectoine_e,R_EX_ectoine_e,4.515631301450702,4.515631301450702
R_EX_cys__D_e,R_EX_cys__D_e,4.515631301450698,4.515631301450698
R_EX_cys__L_e,R_EX_cys__L_e,4.515631301415877,4.515631301485526
R_EX_eths_e,R_EX_eths_e,4.515631301417904,4.515631301483488
R_EX_cyst__L_e,R_EX_cyst__L_e,4.515631301409206,4.515631301492208
R_EX_Lcyst_e,R_EX_Lcyst_e,4.5156313014145075,4.515631301486873
R_EX_cytd_e,R_EX_cytd_e,4.515631301408709,4.51563130149271
R_EX_abt__L_e,R_EX_abt__L_e,4.5156313014153335,4.515631301486082
R_EX_etoh_e,R_EX_etoh_e,4.515631301460669,4.515631301440741
R_EX_dad_2_e,R_EX_dad_2_e,4.515631301407896,4.5156313014935
R_EX_dcyt_e,R_EX_dcyt_e,4.515631301408293,4.515631301493119
R_EX_fe2_e,R_EX_fe2_e,4.515631301450696,4.5156313014506955
R_EX_dextrin_e,R_EX_dextrin_e,4.515631301406942,4.515631301494452
R_EX_dha_e,R_EX_dha_e,4.515631301426648,4.515631301474756
R_EX_ac_e,R_EX_ac_e,4.515631301452599,4.515631301448815
R_EX_acac_e,R_EX_acac_e,4.515631301424797,4.515631301476612
R_EX_fe3_e,R_EX_fe3_e,4.514906859570517,4.516355859570517
R_EX_ferrich_e,R_EX_ferrich_e,4.515631301450702,4.515631301450702
R_EX_diact_e,R_EX_diact_e,4.515631301450698,4.515631301450698
R_EX_djenk_e,R_EX_djenk_e,4.515631301450702,4.515631301450702
R_EX_ferxa_e,R_EX_ferxa_e,4.515631301450702,4.515631301450702
R_EX_fol_e,R_EX_fol_e,4.515631301404484,4.515631301496905
R_EX_acgam_e,R_EX_acgam_e,4.515631301409312,4.515631301492073
R_EX_acmana_e,R_EX_acmana_e,4.515631301409533,4.515631301491873
R_EX_acnam_e,R_EX_acnam_e,4.515631301407632,4.515631301493759
R_EX_for_e,R_EX_for_e,4.515631301593447,4.515631301307964
R_EX_fru_e,R_EX_fru_e,4.515631301412818,4.515631301488585
R_EX_actn__R_e,R_EX_actn__R_e,4.515631301418985,4.515631301482427
R_EX_ade_e,R_EX_ade_e,4.51563130141426,4.515631301487145
R_EX_adn_e,R_EX_adn_e,4.5156313014087415,4.515631301492672
R_EX_akg_e,R_EX_akg_e,4.51563130141732,4.515631301484081
R_EX_ala_B_e,R_EX_ala_B_e,4.515631301441683,4.5156313014597185
R_EX_ala__D_e,R_EX_ala__D_e,4.515631301426219,4.515631301475178
R_EX_ala_L_Thr__L_e,R_EX_ala_L_Thr__L_e,4.515631301450702,4.515631301450702
R_EX_ala_L_asp__L_e,R_EX_ala_L_asp__L_e,4.515631301450702,4.515631301450702
R_EX_ala__L_e,R_EX_ala__L_e,4.515631301422716,4.515631301478696
R_EX_ala_L_gln__L_e,R_EX_ala_L_gln__L_e,4.515631301420151,4.515631301481255
R_EX_ala_L_glu__L_e,R_EX_ala_L_glu__L_e,4.515631301450702,4.515631301450702
R_EX_L_alagly_e,R_EX_L_alagly_e,4.515631301430005,4.515631301471399
R_EX_ala_L_his__L_e,R_EX_ala_L_his__L_e,4.515631301416395,4.515631301485019
R_EX_ala_L_leu__L_e,R_EX_ala_L_leu__L_e,4.5156313014163025,4.515631301485104
R_EX_g6p_e,R_EX_g6p_e,4.5156313014125065,4.515631301488898
R_EX_gal_e,R_EX_gal_e,4.515631301412297,4.5156313014891
R_EX_galctr__D_e,R_EX_galctr__D_e,4.515631301413021,4.515631301488386
R_EX_galt_e,R_EX_galt_e,4.515631301410832,4.515631301490548
R_EX_galur_e,R_EX_galur_e,4.5156313014115295,4.515631301489875
R_EX_gam6p_e,R_EX_gam6p_e,4.5156313014135545,4.515631301487856
R_EX_gam_e,R_EX_gam_e,4.515631301412408,4.515631301489001
R_EX_gbbtn_e,R_EX_gbbtn_e,4.515631301450702,4.515631301450702
R_EX_glc__D_e,R_EX_glc__D_e,4.515631301413293,4.515631301488116
R_EX_glcn__D_e,R_EX_glcn__D_e,2.628276755058536,7.758276755058536
R_EX_glcr_e,R_EX_glcr_e,4.515631301413012,4.515631301488377
R_EX_glcur_e,R_EX_glcur_e,4.5156313014115295,4.515631301489875
R_EX_gln__L_e,R_EX_gln__L_e,4.515631301415873,4.515631301485522
R_EX_glu__D_e,R_EX_glu__D_e,4.515631301416045,4.515631301485359
R_EX_alaala_e,R_EX_alaala_e,4.515631301411863,4.515631301489548
R_EX_alltn_e,R_EX_alltn_e,4.515631301426102,4.515631301475307
R_EX_amp_e,R_EX_amp_e,4.515631301408635,4.515631301492762
R_EX_amylase_e,R_EX_amylase_e,4.515631301450698,4.515631301450698
R_EX_fum_e,R_EX_fum_e,4.515631301428238,4.515631301473169
R_EX_antim_e,R_EX_antim_e,4.5156313014507035,4.5156313014507035
R_EX_g1p_e,R_EX_g1p_e,4.515631301412507,4.515631301488899
R_EX_glu__L_e,R_EX_glu__L_e,4.515631301417019,4.515631301484379
R_EX_arab__D_e,R_EX_arab__D_e,4.5156313014148,4.515631301486605
R_EX_arab__L_e,R_EX_arab__L_e,4.515631301415226,4.515631301486181
R_EX_arbt_e,R_EX_arbt_e,4.515631301410224,4.515631301491186
R_EX_arg__L_e,R_EX_arg__L_e,4.515631301411156,4.515631301490231
R_EX_argp_e,R_EX_argp_e,4.5156313014123315,4.515631301489069
R_EX_arsenb_e,R_EX_arsenb_e,4.515631301450701,4.515631301450701
R_EX_arsna_e,R_EX_arsna_e,4.5156313014507035,4.5156313014507035
R_EX_arsni2_e,R_EX_arsni2_e,4.5156313014507035,4.5156313014507035
R_EX_asn__L_e,R_EX_asn__L_e,4.515631301418148,4.51563130148326
R_EX_asp__L_e,R_EX_asp__L_e,4.515631301421157,4.515631301480249
R_EX_bilea_e,R_EX_bilea_e,4.515631301450702,4.515631301450702
R_EX_btd_RR_e,R_EX_btd_RR_e,4.515631301417569,4.51563130148384
R_EX_glx_e,R_EX_glx_e,4.515631301437733,4.515631301463659
R_EX_buts_e,R_EX_buts_e,4.515631301411,4.515631301490392
R_EX_ca2_e,R_EX_ca2_e,4.514958301608921,4.516304401608921
R_EX_cbl2_e,R_EX_cbl2_e,4.515631301450702,4.515631301450702
R_EX_pur_e,R_EX_pur_e,4.515631301450703,4.515631301450703
R_EX_pyr_e,R_EX_pyr_e,4.5156313014371685,4.515631301464239
R_EX_cd2_e,R_EX_cd2_e,4.515631301450706,4.515631301450706
R_EX_gly_asn__L_e,R_EX_gly_asn__L_e,4.515631301450702,4.515631301450702
R_EX_cellb_e,R_EX_cellb_e,4.515631301406496,4.515631301494904
R_EX_cgly_e,R_EX_cgly_e,4.51563130157417,4.515631301327234
R_EX_raffin_e,R_EX_raffin_e,4.515631301404706,4.515631301496682
R_EX_rib__D_e,R_EX_rib__D_e,4.515631301417608,4.515631301483796
R_EX_gly_asp__L_e,R_EX_gly_asp__L_e,4.515631301450702,4.515631301450702
