,Lagrange_coef
2aobut_c,-0.5370370032551502
2cpr5p_c,-2.064815042572731
2dda7p_c,-1.027777886047304
2ddg6p_c,-82.8585353786157
2ddglcn_c,-150.683615727066
2ddglcn_e,-150.67435646490298
2dhp_c,-0.5635989780433275
2dmmq7_c,-9.65740800422011
2dr1p_c,-0.8333334474451722
2dr5p_c,-0.833333448962172
2h3k5m_c,-1.4464587489462173
2h3opp_c,-0.28703714855200907
2hbut_c,-0.7222225091137788
2hxmp_c,-33.965860140853444
2hxmp_e,-33.95660087869041
2ins_c,-135.51435990982608
2ippm_c,-1.0462965436318592
2kmb_c,-1.1982029124205542
4r5au_c,-1.0232110580647362
5aizc_c,-1.435185099251866
10fthf_c,-3.5092586570524738
2maacoa_c,144.6423177977225
5aop_c,68.16584838789018
5aprbu_c,-1.1887045411750028
5apru_c,-1.280123909601056
2mahmp_c,334.1137476981193
12d3k5m_c,-1.3593679923318678
2mb2coa_c,144.5775029611736
12dag3p_BS_c,-727.2596160965902
12dgr_BS_c,-726.3336894155299
2mbcoa_c,144.4009879856376
13dpg_c,-0.43518523541778387
14bxyl_c,-47.59010594825697
5d4dglcr_c,-50.4993835993784
5dh4dglcn_c,-150.80489624104274
2mcit_c,-0.8611112176183866
2me4p_c,-0.8981483343461569
2mecdp_c,-1.0000002139593736
2mp2coa_c,144.7201814882897
14glun_c,-1.0336550092449674
2o3mpt_c,-1.0648152335381127
15dap_c,-0.9646467638427002
2obut_c,-0.6574076696164763
1ag3p_BS_c,-391.407590346814
5mcsn_c,-0.870370480312482
2p4c2me_c,-2.4814817842341923
1p3h5c_c,-0.031586462806198014
2pcpgc_c,5.935238264436424
1pyr5c_c,-0.7777779085284194
2pg_c,-0.3981481875629627
2pg_e,-0.3888889253999314
23camp_c,-1.562926315769968
2pglyc_c,-0.21569651376087934
23ccmp_c,-1.4351855188749263
2pglyc_e,-0.20643725159784482
23cgmp_c,-1.5092590995906114
2shchc_c,-1.7592594564907917
23cump_c,-1.4145958952055526
5mdr1p_c,-1.5242892406785813
34hpp_c,-1.4351854171819642
5mdru1p_c,-1.5242892406785742
23ddhb_c,95.65659358715418
36dahx_c,-1.0648150917867276
23dhb_c,95.72140842665148
23dhba_c,94.20359538550218
5mta_c,-3.240393197677478
5mthf_c,-3.6296291913044105
3amba_c,-0.009259260354315908
5mtr_c,-1.565083050288533
23dhdp_c,-0.916666818411214
3amba_e,-0.09090908775078704
23dhmb_c,-0.7592594562152323
23dhmp_c,-1.0648152353697222
5mtr_e,-1.5558237881255024
3amp_c,-1.5721855628701835
25aics_c,-1.935185137211754
3amp_e,-1.5629263007071648
25dhpp_c,-1.445617388371176
6ampenc_c,-8.488148307411754
3c2hmp_c,-1.0462965479041266
25dop_c,-50.414740010459646
3c3hmp_c,-1.046296545256273
6pgc_c,-0.8611112263087208
3c4mop_c,-0.9814817093025008
6pgc_e,-0.8518519641456946
26dap_LL_c,-1.0740743142994182
26dap__M_c,-1.0740743143808005
3cmp_c,-1.4444447659751427
3cmp_e,-1.4351855038121224
26dapime_c,-1.3240743525843095
2ahbut_c,-1.0000003427823323
3dhq_c,-1.0185186186091963
2ahhmd_c,-1.4722216296126418
2ahhmp_c,-1.3888883045309242
6pgg_c,-98.60427693009167
6pgl_c,-0.8611111825062032
6pthp_c,-1.4646462208146802
3dhsk_c,-1.0185186156617378
8aonn_c,236.30394093529543
