,0
R_EX_etha_e,-5.8132165747792897e-11
R_EX_drib_e,-8.86108963982224e-11
R_EX_csn_e,-8.695266728864226e-11
R_EX_5mtr_e,-9.415401791557088e-11
R_EX_dtmp_e,-9.460521255277854e-11
R_EX_6pgc_e,-8.93285445613401e-11
R_EX_ctbt_e,0.0
R_EX_cu2_e,-6.699352184114105e-11
R_EX_Larab_e,-9.614442575411886e-11
R_EX_ectoine_e,0.0
R_EX_cys__D_e,0.0
R_EX_cys__L_e,-8.745093538209403e-11
R_EX_eths_e,-7.068390317499507e-11
R_EX_cyst__L_e,-9.341416529196067e-11
R_EX_Lcyst_e,-7.073985841543617e-11
R_EX_cytd_e,-9.382805643554093e-11
R_EX_abt__L_e,-8.893508152141294e-11
R_EX_etoh_e,-5.636380251416995e-11
R_EX_dad_2_e,-9.447909121718112e-11
R_EX_dcyt_e,-9.415757062924968e-11
R_EX_fe2_e,-8.310685473134072e-11
R_EX_dextrin_e,-7.114842048849823e-11
R_EX_dha_e,-8.111911142805184e-11
R_EX_ac_e,-6.223732640364688e-11
R_EX_acac_e,-8.246736626915663e-11
R_EX_fe3_e,-0.0013800000000001589
R_EX_ferrich_e,0.0
R_EX_diact_e,0.0
R_EX_djenk_e,0.0
R_EX_ferxa_e,0.0
R_EX_fol_e,-9.724132610244851e-11
R_EX_acgam_e,-9.262812739052606e-11
R_EX_acmana_e,-9.29407661942605e-11
R_EX_acnam_e,-9.457679084334814e-11
R_EX_for_e,4.0259351408167277e-11
R_EX_fru_e,-9.029399450355413e-11
R_EX_actn__R_e,-8.660805406179861e-11
R_EX_ade_e,-8.896705594452214e-11
R_EX_adn_e,-9.414868884505267e-11
R_EX_akg_e,-8.602896173215413e-11
R_EX_ala_B_e,-6.8967054289714724e-12
R_EX_ala__D_e,-7.899103593445034e-11
R_EX_ala_L_Thr__L_e,0.0
R_EX_ala_L_asp__L_e,0.0
R_EX_ala__L_e,-8.01456678800605e-11
R_EX_ala_L_gln__L_e,-8.457767819436413e-11
R_EX_ala_L_glu__L_e,0.0
R_EX_L_alagly_e,-7.501999021997108e-11
R_EX_ala_L_his__L_e,-8.782041760468928e-11
R_EX_ala_L_leu__L_e,-8.789502459194409e-11
R_EX_g6p_e,-9.057288252733997e-11
R_EX_gal_e,-8.57847126667366e-11
R_EX_galctr__D_e,-7.922551503725117e-11
R_EX_galt_e,-9.137757217558828e-11
R_EX_galur_e,-7.439737714776129e-11
R_EX_gam6p_e,-9.027889547041923e-11
R_EX_gam_e,-9.029488268197383e-11
R_EX_gbbtn_e,0.0
R_EX_glc__D_e,-8.544009943989295e-11
R_EX_glcn__D_e,-8.93498608434129e-11
R_EX_glcr_e,-5.594813501375029e-11
R_EX_glcur_e,-7.439648896934159e-11
R_EX_gln__L_e,-8.745093538209403e-11
R_EX_glu__D_e,-8.728928690970861e-11
R_EX_alaala_e,-9.00461927244578e-11
R_EX_alltn_e,-7.243450284022401e-11
R_EX_amp_e,-9.422507218914689e-11
R_EX_amylase_e,0.0
R_EX_fum_e,-7.996270312560227e-11
R_EX_antim_e,-6.656275530758649e-11
R_EX_g1p_e,-9.057288252733997e-11
R_EX_glu__L_e,-8.702460974063797e-11
R_EX_arab__D_e,-8.51301251714176e-11
R_EX_arab__L_e,-8.820055796832094e-11
R_EX_arbt_e,-6.66302568674837e-11
R_EX_arg__L_e,-9.157652414160111e-11
R_EX_argp_e,-9.15356679342949e-11
R_EX_arsenb_e,0.0
R_EX_arsna_e,-6.656275530758649e-11
R_EX_arsni2_e,-6.656541984284559e-11
R_EX_asn__L_e,-8.519140948237691e-11
R_EX_asp__L_e,-8.195044642889115e-11
R_EX_bilea_e,0.0
R_EX_btd_RR_e,-8.772715887062077e-11
R_EX_glx_e,-5.406253222872692e-11
R_EX_buts_e,-7.070344310022847e-11
R_EX_ca2_e,-0.0012819999999997833
R_EX_cbl2_e,0.0
R_EX_pur_e,-6.66968702489612e-11
R_EX_pyr_e,-7.346478980707616e-11
R_EX_cd2_e,-6.66622312905929e-11
R_EX_gly_asn__L_e,0.0
R_EX_cellb_e,-7.121592204839544e-11
R_EX_cgly_e,2.7609203812062333e-10
R_EX_raffin_e,-5.695266480643113e-11
R_EX_rib__D_e,-8.762057746025675e-11
R_EX_gly_asp__L_e,0.0
R_EX_ribflv_e,4.391953467575149e-11
R_EX_chitob_e,0.0
R_EX_gly_e,-6.363620741467457e-11
R_EX_chol_e,-6.5231375856456e-11
R_EX_rmn_e,-7.132516799401856e-11
R_EX_gly_gln__L_e,-8.221157088428299e-11
R_EX_chols_e,0.0
R_EX_chor_e,-9.393996691642315e-11
R_EX_cit_e,-8.65503224645181e-11
R_EX_salcn_e,-6.674660824046441e-11
R_EX_gly_glu__L_e,0.0
R_EX_sbt__D_e,-8.545253393776875e-11
R_EX_ser__D_e,-7.596057116643351e-11
R_EX_citr__L_e,-9.092104846786242e-11
R_EX_cmp_e,-9.382539190028183e-11
R_EX_ser__L_e,-7.888090181040752e-11
R_EX_gly_met__L_e,-8.774492243901477e-11
R_EX_so4_e,-0.0681263991419696
R_EX_spmd_e,4.32480717904582e-11
R_EX_co2_e,9.312409178948636
R_EX_cobalt2_e,0.0
R_EX_crn_e,0.0
R_EX_cro4_e,-6.656364348600619e-11
R_EX_srb__L_e,-8.546852114932335e-11
R_EX_starch_e,-7.121947476207424e-11
R_EX_subtilisin_e,0.0
R_EX_succ_e,-8.181810784435584e-11
R_EX_sucr_e,-8.545608665144755e-11
R_EX_gly_pro__L_e,0.0
R_EX_sula_e,-7.075851016224988e-11
R_EX_taur_e,-7.072387120388157e-11
R_EX_glyb_e,-9.125145083999087e-11
R_EX_thiog_e,0.0
R_EX_glyc3p_e,-8.473399759623135e-11
R_EX_glyc_e,-6.22
R_EX_glyclt_e,-3.454569963423637e-11
R_EX_glycogen_e,-9.08206843064363e-11
R_EX_gmp_e,-9.425793479067579e-11
R_EX_gsn_e,-9.393996691642315e-11
R_EX_thr__L_e,-8.695266728864226e-11
R_EX_gthox_e,-9.411493806510407e-11
R_EX_thym_e,-8.93276563829204e-11
R_EX_gthrd_e,-8.786216199041519e-11
R_EX_thymd_e,-9.472245210417896e-11
R_EX_gua_e,-8.820144614674064e-11
R_EX_tmp_e,-1.4936496484097006e-11
R_EX_tre_e,-8.545164575934905e-11
R_EX_trp__L_e,-9.543388301835876e-11
R_EX_h2o2_e,9.411493806510407e-11
R_EX_tyr__L_e,-9.390177524437604e-11
R_EX_h2o_e,20.245247223226983
R_EX_ump_e,-9.36246635774296e-11
R_EX_ura_e,-8.551381824872806e-11
R_3UMPt6,9.35740374075067e-11
R_EX_h_e,2.297280224558999
R_5MTRt2,9.415312973715118e-11
R_6PGCt6,8.93276563829204e-11
R_EX_urate_e,-7.7309714185958e-11
R_2HXMPt6,3.324540642779539e-11
R_EX_hexs_e,5.851052975458515e-11
R_2PGLYCt6,5.596234586846549e-11
R_2PGt6,7.66231522675298e-11
R_3AMPt6,9.418421598184068e-11
R_3CMPt6,9.366640796315551e-11
R_EX_urea_e,9.448442028769932e-12
R_EX_uri_e,-9.374012677199062e-11
R_EX_val__L_e,-8.946354768113451e-11
R_EX_xan_e,-8.489475789019707e-11
R_EX_xtsn_e,-9.341061257828187e-11
R_EX_xyl__D_e,-6.66506849711368e-11
R_EX_zn2_e,-6.658318341123959e-11
R_3GMPt6,9.397727041005055e-11
R_3PGt6,7.66240404459495e-11
R_ABTt_1,8.893508152141294e-11
R_F6Pt6_2,9.057288252733997e-11
R_EX_hg2_e,-6.650768824556508e-11
R_EX_his__L_e,-9.14717190880765e-11
R_EX_hqn_e,-6.660272333647299e-11
R_EX_hxan_e,-8.728928690970861e-11
R_PHEt2r,9.415579427241028e-11
R_ACACt2,8.246736626915663e-11
R_EX_icit_e,-8.65503224645181e-11
R_2S6HCCi,0.00010639999859396454
R_26DPAi,0.0
R_3AMBAt2,0.0
R_FDH,0.0031632037971247584
R_FDMO_1,-4.239808504280518e-11
R_EX_ile__L_e,-9.22142362469458e-11
R_AAMYL_1,4.241584861119918e-11
R_EX_inost_e,-6.468425794992072e-11
R_EX_ins_e,-9.370637599204201e-11
R_EX_istnt_e,-7.072031849020277e-11
R_ABTA,8.674660989527183e-11
R_EX_k_e,-0.2825248
R_EX_lac__L_e,-7.768541365749115e-11
R_EX_lanth_e,0.0
R_FBA,1.556900066988665
R_EX_lcts_e,-7.139444591075517e-11
R_FBA2,-1.4337203320958807
R_FBP,1.454543152590304e-10
R_FCLT_2,4.100275674545628e-11
R_FDMO1,1.2208012378778221e-11
R_FDMO2_1,1.220090695142062e-11
R_FDMO3_1,-5.856914953028536e-11
R_AB6PGH,-2.042810365310288e-14
R_ABUTD,0.0
R_MACCOAT,-1.4429879513500055e-10
R_ACACT2r,0.008777600010152042
R_ACACT3r,0.008777600015799525
R_ACACT4r,0.00877760002143635
R_ACACT5r_1,0.008777600027065624
R_ACACT6r_1,0.008777600032665589
R_ACACT7r,0.0067519999916232365
R_FDMO4_1,2.462074988329732e-11
R_FDMO5_1,1.2256862191861728e-11
R_FDMO6_1,1.2284839812082282e-11
R_ACACT1r,0.008777599908589284
R_ACCOAC,0.3193695948852673
R_EX_leu__L_e,-9.115463939224355e-11
R_ACGApts,9.262901556894576e-11
R_ACGK,0.08148002184927172
R_FE2abc,6.613998237980923e-11
R_EX_lipt_e,0.0
R_ACGS,3.9090242154316e-10
R_EX_lys__L_e,-9.15356679342949e-11
R_FOLD3,0.00014679990275734411
R_ACMANAt2,9.29407661942605e-11
R_ACNAMt2,9.457679084334814e-11
R_EX_madg_e,-8.547473839826125e-11
R_ACNPLYS,-9.457767902176784e-11
R_EX_mal__D_e,-8.239364746032152e-11
R_ALLTNt2r,7.243539101864371e-11
R_EX_mal__L_e,-8.260148121053135e-11
R_ACt2r,6.223821458206658e-11
R_ADEt2,8.896705594452214e-11
