,Reaction_ID,forward,reverse
R_EX_etha_e,R_EX_etha_e,4.502443217280084,4.502443217338216
R_EX_drib_e,R_EX_drib_e,4.502443217252411,4.502443217341022
R_EX_csn_e,R_EX_csn_e,4.502443217253254,4.502443217340207
R_EX_5mtr_e,R_EX_5mtr_e,4.502443217249658,4.502443217343812
R_EX_dtmp_e,R_EX_dtmp_e,4.502443217249392,4.502443217343997
R_EX_6pgc_e,R_EX_6pgc_e,4.502443217252026,4.502443217341354
R_EX_ctbt_e,R_EX_ctbt_e,4.502443217296727,4.502443217296727
R_EX_cu2_e,R_EX_cu2_e,4.502443217273499,4.502443217340493
R_EX_Larab_e,R_EX_Larab_e,4.502443217248655,4.5024432173447995
R_EX_ectoine_e,R_EX_ectoine_e,4.502443217296727,4.502443217296727
R_EX_cys__D_e,R_EX_cys__D_e,4.502443217296727,4.502443217296727
R_EX_cys__L_e,R_EX_cys__L_e,4.502443217252995,4.502443217340446
R_EX_eths_e,R_EX_eths_e,4.5024432172704945,4.502443217341178
R_EX_cyst__L_e,R_EX_cyst__L_e,4.502443217250047,4.502443217343461
R_EX_Lcyst_e,R_EX_Lcyst_e,4.5024432172704465,4.502443217341186
R_EX_cytd_e,R_EX_cytd_e,4.50244321724984,4.502443217343668
R_EX_abt__L_e,R_EX_abt__L_e,4.50244321725226,4.502443217341195
R_EX_etoh_e,R_EX_etoh_e,4.5024432172685485,4.502443217324912
R_EX_dad_2_e,R_EX_dad_2_e,4.502443217249507,4.502443217343986
R_EX_dcyt_e,R_EX_dcyt_e,4.50244321724965,4.502443217343807
R_EX_fe2_e,R_EX_fe2_e,4.5024432172604225,4.502443217343529
R_EX_dextrin_e,R_EX_dextrin_e,4.502443217270111,4.502443217341259
R_EX_dha_e,R_EX_dha_e,4.50244321725618,4.502443217337299
R_EX_ac_e,R_EX_ac_e,4.502443217265609,4.502443217327846
R_EX_acac_e,R_EX_acac_e,4.5024432172554825,4.50244321733795
R_EX_fe3_e,R_EX_fe3_e,4.501753270167889,4.503133270167889
R_EX_ferrich_e,R_EX_ferrich_e,4.502443217296727,4.502443217296727
R_EX_diact_e,R_EX_diact_e,4.502443217296727,4.502443217296727
R_EX_djenk_e,R_EX_djenk_e,4.502443217296727,4.502443217296727
R_EX_ferxa_e,R_EX_ferxa_e,4.502443217296727,4.502443217296727
R_EX_fol_e,R_EX_fol_e,4.5024432172481275,4.502443217345369
R_EX_acgam_e,R_EX_acgam_e,4.502443217250416,4.502443217343044
R_EX_acmana_e,R_EX_acmana_e,4.502443217250254,4.5024432173431945
R_EX_acnam_e,R_EX_acnam_e,4.502443217249432,4.502443217344009
R_EX_for_e,R_EX_for_e,4.502443217316858,4.502443217276599
R_EX_fru_e,R_EX_fru_e,4.502443217251579,4.502443217341873
R_EX_actn__R_e,R_EX_actn__R_e,4.50244321725345,4.502443217340058
R_EX_ade_e,R_EX_ade_e,4.502443217252251,4.502443217341218
R_EX_adn_e,R_EX_adn_e,4.502443217249715,4.502443217343863
R_EX_akg_e,R_EX_akg_e,4.5024432172537,4.502443217339729
R_EX_ala_B_e,R_EX_ala_B_e,4.502443217293279,4.502443217300176
R_EX_ala__D_e,R_EX_ala__D_e,4.5024432172572295,4.5024432173362205
R_EX_ala_L_Thr__L_e,R_EX_ala_L_Thr__L_e,4.502443217296727,4.502443217296727
R_EX_ala_L_asp__L_e,R_EX_ala_L_asp__L_e,4.502443217296727,4.502443217296727
R_EX_ala__L_e,R_EX_ala__L_e,4.502443217256657,4.502443217336802
R_EX_ala_L_gln__L_e,R_EX_ala_L_gln__L_e,4.502443217254436,4.502443217339014
R_EX_ala_L_glu__L_e,R_EX_ala_L_glu__L_e,4.502443217296727,4.502443217296727
R_EX_L_alagly_e,R_EX_L_alagly_e,4.50244321725922,4.50244321733424
R_EX_ala_L_his__L_e,R_EX_ala_L_his__L_e,4.50244321725283,4.502443217340651
R_EX_ala_L_leu__L_e,R_EX_ala_L_leu__L_e,4.502443217252777,4.502443217340672
R_EX_g6p_e,R_EX_g6p_e,4.50244321725144,4.502443217342013
R_EX_gal_e,R_EX_gal_e,4.502443217258235,4.50244321734402
R_EX_galctr__D_e,R_EX_galctr__D_e,4.5024432172635285,4.502443217342754
R_EX_galt_e,R_EX_galt_e,4.502443217252443,4.502443217343821
R_EX_galur_e,R_EX_galur_e,4.5024432172674995,4.502443217341897
R_EX_gam6p_e,R_EX_gam6p_e,4.502443217251593,4.502443217341872
R_EX_gam_e,R_EX_gam_e,4.5024432172515745,4.502443217341869
