,Lagrange_coef
2aobut_c,-17.72030206067685
2cpr5p_c,-138.10986067180022
2dda7p_c,-42.149128447250355
2ddg6p_c,-1324.360188798782
2ddglcn_c,-2638.6707233343927
2ddglcn_e,-2637.281237103426
2dhp_c,-8.19189193268961
2dmmq7_c,-570.1590340023629
2dr1p_c,-31.3487170516461
2dr5p_c,-31.344730335884037
2h3k5m_c,-97.77589638005858
2h3opp_c,-8.759326441963461
2hbut_c,-19.64064724094205
2hxmp_c,-2430.2136603211748
2hxmp_e,-2428.824174090214
2ins_c,-3688.5355847032442
2ippm_c,-22.881809825588295
2kmb_c,-67.5735031080242
4r5au_c,-63.66284762729776
5aizc_c,-129.6400974256616
10fthf_c,-309.0674556429568
2maacoa_c,1911.5243466123707
5aop_c,357.1929230721588
5aprbu_c,-90.32172624094662
5apru_c,-119.21721107839443
2mahmp_c,7045.779426323262
12d3k5m_c,-75.20634458394625
2mb2coa_c,1907.886302981165
12dag3p_BS_c,-31559.145434459082
12dgr_BS_c,-31013.29502615845
2mbcoa_c,1903.719073367347
13dpg_c,-26.943082164655646
14bxyl_c,-7325.90937436019
5d4dglcr_c,-1667.040552337028
5dh4dglcn_c,-6359.600540967408
2mcit_c,-4.396060578748649
2me4p_c,-31.488347742804628
2mecdp_c,-66.12557841300784
2mp2coa_c,1915.0407995045696
14glun_c,-5168.521005872895
2o3mpt_c,-30.552561709517416
15dap_c,5080.035030668506
2obut_c,-19.886419716442425
1ag3p_BS_c,-17031.839476735768
5mcsn_c,-77.82486677220032
2p4c2me_c,-178.31320087864
1p3h5c_c,-2883.7163019217405
2pcpgc_c,1336.9238080514892
1pyr5c_c,-28.466770928593665
2pg_c,-12.628379644346735
2pg_e,-11.238893413384469
23camp_c,-171.0544816287382
2pglyc_c,-5137.664934259905
23ccmp_c,-108.34368591236584
2pglyc_e,-5136.275448028954
23cgmp_c,-166.62900196537655
2shchc_c,-80.32172749167853
23cump_c,-103.69242977272962
5mdr1p_c,-106.27293288919427
34hpp_c,-75.13777955994632
5mdru1p_c,-106.27293288918555
23ddhb_c,3308.1721421180505
36dahx_c,-35.80196867229886
23dhb_c,3307.926369642559
23dhba_c,7644.349844841495
5mta_c,-257.84033952492695
5mthf_c,-311.1045864094901
3amba_c,983.250610652033
5mtr_c,-98.21717598547804
23dhdp_c,-24.522021453562505
3amba_e,-5366.674821513765
23dhmb_c,-9.941275373295744
23dhmp_c,-26.64703117569234
5mtr_e,-96.82768975451953
3amp_c,-166.79853904379672
25aics_c,-144.24684922104709
3amp_e,-165.40905281283437
25dhpp_c,-154.28195950790573
6ampenc_c,3680.3756369162325
3c2hmp_c,-19.023419778839497
25dop_c,3758.9792451240396
3c3hmp_c,-18.97256765900654
6pgc_c,-32.03106730470473
3c4mop_c,-19.2909861758235
6pgc_e,-30.641581073742405
26dap_LL_c,-31.086854299756048
26dap__M_c,-31.116149004092645
3cmp_c,-104.08774332742438
3cmp_e,-102.69825709646203
26dapime_c,-34.038780731131254
2ahbut_c,-27.712558410346297
3dhq_c,-40.59137136860907
2ahhmd_c,-206.2004516410047
2ahhmp_c,-178.59480353211586
6pgg_c,-4613.002573820074
6pgl_c,-40.830750391360105
6pthp_c,4953.441626411001
3dhsk_c,-44.500358574572424
8aonn_c,8280.700016184086
3gmp_c,-162.37305938043508
ACP_c,-1034.4120600878177
DPA_c,5094.985629202444
3gmp_e,-160.98357314947273
L_alagly_c,4295.959851379676
ala_L_leu__L_c,4280.700071729755
ala_L_leu__L_e,-4329.2829982127705
