,0
R_EX_etha_e,-6.6664895825852e-11
R_EX_drib_e,-3.33333360913457e-11
R_EX_csn_e,-3.3332447912926e-11
R_EX_5mtr_e,-8.255440775428724e-11
R_EX_dtmp_e,-9.991474314574589e-11
R_EX_6pgc_e,-9.970335668185726e-11
R_EX_ctbt_e,-4.000000330961484e-11
R_EX_cu2_e,-7.999823026239028e-11
R_EX_Larab_e,-1.2282619366033032e-11
R_EX_ectoine_e,-4.000000330961484e-11
R_EX_cys__D_e,-4.999911595859885e-11
R_EX_cys__L_e,-3.3332447912926e-11
R_EX_eths_e,-3.5210057092172065e-11
R_EX_cyst__L_e,-3.3332447912926e-11
R_EX_Lcyst_e,-2.76534350973634e-11
R_EX_cytd_e,-3.3332447912926e-11
R_EX_abt__L_e,-9.473133388837596e-11
R_EX_etoh_e,-9.735501294017013e-11
R_EX_dad_2_e,-3.33333360913457e-11
R_EX_dcyt_e,-3.480238319752971e-11
R_EX_fe2_e,-1.525712889360875e-11
R_EX_dextrin_e,-6.150102649371547e-11
R_EX_dha_e,-9.953105006843543e-11
R_EX_ac_e,12.835916405044575
R_EX_acac_e,-9.817391344313364e-11
R_EX_fe3_e,-0.001966499999999982
R_EX_ferrich_e,-4.000000330961484e-11
R_EX_diact_e,-4.999911595859885e-11
R_EX_djenk_e,-4.000000330961484e-11
R_EX_ferxa_e,-4.000000330961484e-11
R_EX_fol_e,-9.99698102077673e-11
R_EX_acgam_e,-2.5000446157719125e-11
R_EX_acmana_e,-3.3332447912926e-11
R_EX_acnam_e,-3.3332447912926e-11
R_EX_for_e,0.004507561365113766
R_EX_fru_e,-3.3332447912926e-11
R_EX_actn__R_e,-1.213447120562705e-10
R_EX_ade_e,-3.3332447912926e-11
R_EX_adn_e,-9.994316485517629e-11
R_EX_akg_e,-3.33333360913457e-11
R_EX_ala_B_e,-3.5996094993606675e-11
R_EX_ala__D_e,-7.646860922250198e-11
R_EX_ala_L_Thr__L_e,-4.000000330961484e-11
R_EX_ala_L_asp__L_e,-4.000000330961484e-11
R_EX_ala__L_e,-3.3332447912926e-11
R_EX_ala_L_gln__L_e,-4.999822778017915e-11
R_EX_ala_L_glu__L_e,-4.000000330961484e-11
R_EX_L_alagly_e,-4.999911595859885e-11
R_EX_ala_L_his__L_e,-4.999822778017915e-11
R_EX_ala_L_leu__L_e,-4.999822778017915e-11
R_EX_g6p_e,-3.3332447912926e-11
R_EX_gal_e,-4.363709393828685e-11
R_EX_galctr__D_e,-2.5647928225680516e-11
R_EX_galt_e,-2.7273294733731746e-11
R_EX_galur_e,-2.9032776183157694e-11
R_EX_gam6p_e,-9.984191251533048e-11
R_EX_gam_e,-3.3332447912926e-11
R_EX_gbbtn_e,-4.000000330961484e-11
R_EX_glc__D_e,-8.499245751636408e-11
R_EX_glcn__D_e,-3.33333360913457e-11
R_EX_glcr_e,-3.212452526213383e-11
R_EX_glcur_e,-2.9032776183157694e-11
R_EX_gln__L_e,-3.3332447912926e-11
R_EX_glu__D_e,-3.33333360913457e-11
R_EX_alaala_e,-1.7647217021021788e-11
R_EX_alltn_e,-3.9112713068334415e-11
