,Lagrange_coef
2aobut_c,-18.100481040387937
2cpr5p_c,-131.68129843426362
2dda7p_c,-38.68411586863776
2ddg6p_c,-1381.2251820399943
2ddglcn_c,-2753.569070183621
2ddglcn_e,-2752.013518870586
2dhp_c,-8.824033432411222
2dmmq7_c,-583.6884532076816
2dr1p_c,-29.700455742022697
2dr5p_c,-29.698994787960224
2h3k5m_c,-105.20511328249133
2h3opp_c,-6.147708550684108
2hbut_c,-24.42181032261878
2hxmp_c,-2545.635365028823
2hxmp_e,-2544.0798137157963
2ins_c,-3853.900175813733
2ippm_c,-24.91008376992027
2kmb_c,-74.60514189627418
4r5au_c,-65.8242449191768
5aizc_c,-131.81607439717564
10fthf_c,-324.0868996404585
2maacoa_c,2017.5656820473039
5aop_c,354.79787670554964
5aprbu_c,-97.76275118036251
5apru_c,-127.5993083954577
2mahmp_c,7396.763255508555
12d3k5m_c,-84.89621369343526
2mb2coa_c,2013.4261577326756
12dag3p_BS_c,-33085.73130478766
12dgr_BS_c,-32504.899655118817
2mbcoa_c,2004.6287819654149
13dpg_c,-26.014300300628392
14bxyl_c,-7685.116522331024
5d4dglcr_c,-1736.4380735563207
5dh4dglcn_c,-6674.420193209698
2mcit_c,-5.606770430596581
2me4p_c,-30.31930166778882
2mecdp_c,-65.6301747485909
2mp2coa_c,2018.8340834636642
14glun_c,-5420.888317629402
2o3mpt_c,-35.1961227620633
15dap_c,5347.793977443787
2obut_c,-24.288834985851516
1ag3p_BS_c,-17727.09652308026
5mcsn_c,-81.96707436075997
2p4c2me_c,-179.6897078899533
1p3h5c_c,-3039.019535749451
2pcpgc_c,1410.7263062283605
1pyr5c_c,-32.33776838038842
2pg_c,-13.63539838355287
2pg_e,-12.079847070524806
23camp_c,-170.87043302844367
2pglyc_c,-5406.818394578602
23ccmp_c,-108.38654260189288
2pglyc_e,-5405.262843265585
23cgmp_c,-170.71831515818133
2shchc_c,-79.03706791572415
23cump_c,-95.89315414528798
5mdr1p_c,-113.52565103039645
34hpp_c,-73.0465724748688
5mdru1p_c,-113.5256510303878
23ddhb_c,3482.004004623512
36dahx_c,-41.25163432321922
23dhb_c,3482.1369799602876
23dhba_c,8059.409317057275
5mta_c,-268.1835050045763
5mthf_c,-325.7689058932667
3amba_c,1036.8949758227377
5mtr_c,-108.85118994793231
23dhdp_c,-30.64403113877373
3amba_e,-5656.955621200122
23dhmb_c,-11.15647303932378
23dhmp_c,-31.16101456639807
5mtr_e,-107.29563863490844
3amp_c,-167.6276904190931
25aics_c,-150.83853690840843
3amp_e,-166.07213910606657
25dhpp_c,-164.12471711417854
6ampenc_c,3877.792629117715
3c2hmp_c,-20.93727578814995
25dop_c,3968.9516130279308
3c3hmp_c,-20.869793796047798
6pgc_c,-24.481656802706045
3c4mop_c,-20.832913561050567
6pgc_e,-22.92610548967794
26dap_LL_c,-37.85381634796512
26dap__M_c,-37.892016660326114
3cmp_c,-105.14379999254325
3cmp_e,-103.58824867951512
26dapime_c,-40.88042136847119
2ahbut_c,-31.883821755154013
3dhq_c,-36.904515508115175
2ahhmd_c,-216.75362365106358
2ahhmp_c,-187.95325033192742
6pgg_c,-3617.6573444082564
6pgl_c,-29.491123039476545
6pthp_c,5218.579947187483
3dhsk_c,-40.94299667360614
8aonn_c,8702.680549601873
3gmp_c,-167.47557254883168
ACP_c,-1088.124975864725
DPA_c,5360.065625492932
3gmp_e,-165.92002123580355
L_alagly_c,4526.49876422581
ala_L_leu__L_c,4511.315587501157
ala_L_leu__L_e,-4561.106223804793
3hbycoa_c,2024.8159154997445
ala_L_met__L_c,5303.5727375226
L_alagly_e,-4556.273816011836
3hdcoa_c,1985.3697318138002
L_sergly_c,5355.967063990415
ala_L_phe__L_c,5288.96683274591
3hddcoa_c,1972.2206249172036
L_thrgly_c,5344.720308623152
3hhcoa_c,2011.6679456070171
Larab_e,-14014.493560088833
3hhdcoa_c,1945.9239753554555
3hmbcoa_c,2017.4327067105096
3hmp_c,-13.348163488628138
ala_L_ser__L_c,5354.445812638528
ala_L_trp__L_c,5242.821162112477
3hocoa_c,1998.518838710405
ala_L_tyr__L_c,5292.842711157071
ala_L_val__L_c,5347.732754580797
Lcyst_c,-6798.19455877297
3htdcoa_c,1959.0715180206146
3ig3p_c,-139.02584833694476
3mob_c,-15.21747915607418
Lcyst_e,-10241.218328298939
3mop_c,-34.848938695643604
Lglyald_c,-9.707151138020144
3mtp_c,2388.4432667902033
3odcoa_c,1985.506125459982
N1aspmd_c,5363.274712363398
alaala_c,-33.613547724554806
3oddcoa_c,1972.3570185633828
aacoa_c,2024.9507118037668
abt__L_c,-1835.7006636020626
3ohcoa_c,2011.8043392532043
abt__L_e,-1835.7006636020526
alaala_e,-9926.043481870212
3ohdcoa_c,1946.0595801630752
alac__S_c,-11.854927428854763
ac_c,0.9438766201052968
3oocoa_c,1998.6552323565893
alltn_c,-59.684651459822895
3otdcoa_c,1959.2079116667912
alltn_e,-6108.749260009888
ac_e,1.2497139665608454
3pg_c,-12.869258258078217
acac_c,-5.673968166963007
alltt_c,-34.266303246444245
3pg_e,-11.313706945050159
acac_e,-4.118416853935105
acald_c,-6.192158639032561
altrn_c,-5113.113871072248
3php_c,-12.805125779966687
acamoxm_c,-34.82397201107994
3psme_c,-71.61045846327926
accoa_c,2033.8209734196298
amacald_c,-1743.1183040366311
3ump_c,-92.65041153593653
amet_c,-241.1181977355476
ametam_c,-244.45171460816832
acg5p_c,-36.45756966421356
3ump_e,-91.09486022291149
acg5sa_c,-33.91911080621175
amob_c,8050.520415088369
46dh25dohxn_c,-6674.420193209693
amp_c,-172.80010199353222
acgam1p_c,-55.301149767540096
acgam6p_c,-3721.791603757306
4abut_c,-18.047751691756105
acgam_c,2663.0558447584126
amp_e,-171.2445506805041
4abut_e,-6077.72473487031
acgam_e,-8046.429276909782
4abutn_c,-5407.339455027824
acglu_c,-22.47975153261134
