,0
R_EX_etha_e,-6.66657840042717e-11
R_EX_drib_e,-3.3332447912926e-11
R_EX_csn_e,-3.33333360913457e-11
R_EX_5mtr_e,-8.075584645439449e-11
R_EX_dtmp_e,-9.991563132416559e-11
R_EX_6pgc_e,-9.960299252043114e-11
R_EX_ctbt_e,-3.999911513119514e-11
R_EX_cu2_e,-7.999823026239028e-11
R_EX_Larab_e,-1.2281731187613332e-11
R_EX_ectoine_e,-3.999911513119514e-11
R_EX_cys__D_e,-4.999911595859885e-11
R_EX_cys__L_e,-3.33333360913457e-11
R_EX_eths_e,-3.519318170219776e-11
R_EX_cyst__L_e,-3.3332447912926e-11
R_EX_Lcyst_e,-2.76498823836846e-11
R_EX_cytd_e,-3.3332447912926e-11
R_EX_abt__L_e,-9.473222206679566e-11
R_EX_etoh_e,-9.740208639641423e-11
R_EX_dad_2_e,-3.092459621711896e-11
R_EX_dcyt_e,-2.7891466913843033e-11
R_EX_fe2_e,-1.525624071518905e-11
R_EX_dextrin_e,-5.000000413701855e-11
R_EX_dha_e,-9.947331847115493e-11
R_EX_ac_e,14.397471320025003
R_EX_acac_e,-9.779288490108229e-11
R_EX_fe3_e,-0.002587499999999743
R_EX_ferrich_e,-3.999911513119514e-11
R_EX_diact_e,-4.999911595859885e-11
R_EX_djenk_e,-3.999911513119514e-11
R_EX_ferxa_e,-3.999911513119514e-11
R_EX_fol_e,-9.99715865646067e-11
R_EX_acgam_e,-2.4999557979299425e-11
R_EX_acmana_e,-3.3332447912926e-11
R_EX_acnam_e,-3.33333360913457e-11
R_EX_for_e,0.005931001043716577
R_EX_fru_e,-3.33333360913457e-11
R_EX_actn__R_e,-7.469136420468203e-11
R_EX_ade_e,-3.092459621711896e-11
R_EX_adn_e,-9.271605705407637e-11
R_EX_akg_e,-3.3332447912926e-11
R_EX_ala_B_e,-3.608491283557669e-11
R_EX_ala__D_e,-7.646860922250198e-11
R_EX_ala_L_Thr__L_e,-3.999911513119514e-11
