,Reaction_ID,forward,reverse
R_EX_etha_e,R_EX_etha_e,4.495335388700739,4.495335388767405
R_EX_drib_e,R_EX_drib_e,4.495335388717406,4.495335388750738
R_EX_csn_e,R_EX_csn_e,4.495335388717406,4.495335388750739
R_EX_5mtr_e,R_EX_5mtr_e,4.495335388693694,4.49533538877445
R_EX_dtmp_e,R_EX_dtmp_e,4.495335388684114,4.49533538878403
R_EX_6pgc_e,R_EX_6pgc_e,4.49533538868427,4.495335388783873
R_EX_ctbt_e,R_EX_ctbt_e,4.495335388714072,4.4953353887540715
R_EX_cu2_e,R_EX_cu2_e,4.495335388694073,4.4953353887740715
R_EX_Larab_e,R_EX_Larab_e,4.495335388727932,4.495335388740214
R_EX_ectoine_e,R_EX_ectoine_e,4.495335388714072,4.4953353887540715
R_EX_cys__D_e,R_EX_cys__D_e,4.495335388709073,4.495335388759072
R_EX_cys__L_e,R_EX_cys__L_e,4.495335388717406,4.495335388750739
R_EX_eths_e,R_EX_eths_e,4.495335388716476,4.495335388751669
R_EX_cyst__L_e,R_EX_cyst__L_e,4.495335388717406,4.495335388750738
R_EX_Lcyst_e,R_EX_Lcyst_e,4.495335388720247,4.495335388747897
R_EX_cytd_e,R_EX_cytd_e,4.495335388717406,4.495335388750738
R_EX_abt__L_e,R_EX_abt__L_e,4.495335388686706,4.495335388781438
R_EX_etoh_e,R_EX_etoh_e,4.495335388685371,4.495335388782773
R_EX_dad_2_e,R_EX_dad_2_e,4.49533538871861,4.495335388749535
R_EX_dcyt_e,R_EX_dcyt_e,4.495335388720128,4.495335388748019
R_EX_fe2_e,R_EX_fe2_e,4.495335388726444,4.4953353887417
R_EX_dextrin_e,R_EX_dextrin_e,4.495335388709072,4.495335388759072
R_EX_dha_e,R_EX_dha_e,4.495335388684335,4.495335388783809
R_EX_ac_e,R_EX_ac_e,15.685774917610708,1.2883035975857047
R_EX_acac_e,R_EX_acac_e,4.4953353886851755,4.495335388782968
R_EX_fe3_e,R_EX_fe3_e,4.4940418249036105,4.49662932490361
R_EX_ferrich_e,R_EX_ferrich_e,4.495335388714072,4.4953353887540715
R_EX_diact_e,R_EX_diact_e,4.495335388709073,4.495335388759072
R_EX_djenk_e,R_EX_djenk_e,4.495335388714072,4.4953353887540715
R_EX_ferxa_e,R_EX_ferxa_e,4.495335388714072,4.4953353887540715
R_EX_fol_e,R_EX_fol_e,4.4953353886840866,4.495335388784058
R_EX_acgam_e,R_EX_acgam_e,4.495335388721572,4.495335388746572
R_EX_acmana_e,R_EX_acmana_e,4.495335388717406,4.495335388750738
R_EX_acnam_e,R_EX_acnam_e,4.495335388717406,4.495335388750739
R_EX_for_e,R_EX_for_e,4.498301867402345,4.492370866358629
R_EX_fru_e,R_EX_fru_e,4.495335388717405,4.495335388750738
R_EX_actn__R_e,R_EX_actn__R_e,4.495335388696726,4.495335388771418
R_EX_ade_e,R_EX_ade_e,4.49533538871861,4.495335388749535
R_EX_adn_e,R_EX_adn_e,4.495335388687715,4.495335388780431
R_EX_akg_e,R_EX_akg_e,4.495335388717406,4.495335388750738
R_EX_ala_B_e,R_EX_ala_B_e,4.495335388716031,4.495335388752116
R_EX_ala__D_e,R_EX_ala__D_e,4.495335388695838,4.495335388772307
R_EX_ala_L_Thr__L_e,R_EX_ala_L_Thr__L_e,4.495335388714072,4.4953353887540715
R_EX_ala_L_asp__L_e,R_EX_ala_L_asp__L_e,4.495335388714072,4.4953353887540715
R_EX_ala__L_e,R_EX_ala__L_e,4.495335388717406,4.495335388750738
R_EX_ala_L_gln__L_e,R_EX_ala_L_gln__L_e,4.495335388709073,4.495335388759072
R_EX_ala_L_glu__L_e,R_EX_ala_L_glu__L_e,4.495335388714072,4.4953353887540715
R_EX_L_alagly_e,R_EX_L_alagly_e,4.495335388709073,4.495335388759072
R_EX_ala_L_his__L_e,R_EX_ala_L_his__L_e,4.495335388709073,4.495335388759072
R_EX_ala_L_leu__L_e,R_EX_ala_L_leu__L_e,4.495335388709073,4.495335388759071
R_EX_g6p_e,R_EX_g6p_e,4.495335388717406,4.495335388750738
R_EX_gal_e,R_EX_gal_e,4.495335388709285,4.495335388758859
R_EX_galctr__D_e,R_EX_galctr__D_e,4.495335388721307,4.495335388746839
R_EX_galt_e,R_EX_galt_e,4.495335388720435,4.495335388747708
R_EX_galur_e,R_EX_galur_e,4.495335388719557,4.495335388748589
R_EX_gam6p_e,R_EX_gam6p_e,4.495335388684172,4.495335388783972
R_EX_gam_e,R_EX_gam_e,4.495335388717406,4.495335388750738
R_EX_gbbtn_e,R_EX_gbbtn_e,4.495335388714072,4.4953353887540715
R_EX_glc__D_e,R_EX_glc__D_e,2.420096587547998,8.350096587547998
R_EX_glcn__D_e,R_EX_glcn__D_e,4.495335388717406,4.495335388750738
R_EX_glcr_e,R_EX_glcr_e,4.4953353887180585,4.495335388750085
R_EX_glcur_e,R_EX_glcur_e,4.495335388719555,4.495335388748588
R_EX_gln__L_e,R_EX_gln__L_e,4.495335388717406,4.495335388750739
R_EX_glu__D_e,R_EX_glu__D_e,4.495335388717406,4.495335388750738
R_EX_alaala_e,R_EX_alaala_e,4.495335388725247,4.4953353887428955
R_EX_alltn_e,R_EX_alltn_e,4.495335388714463,4.495335388753681
R_EX_amp_e,R_EX_amp_e,4.495335388684099,4.495335388784046
R_EX_amylase_e,R_EX_amylase_e,4.495335388709073,4.495335388759072
