,Lagrange_coef
2aobut_c,-11.510858202609594
2cpr5p_c,-84.76322178798564
2dda7p_c,-30.04988915184455
2ddg6p_c,-1377.4567518060683
2ddglcn_c,-2765.067478900017
2ddglcn_e,-2764.432590177913
2dhp_c,-2.5733786648898938
2dmmq7_c,-309.73726162982666
2dr1p_c,-18.164419330548963
2dr5p_c,-18.163196605058985
2h3k5m_c,-52.728753630058065
2h3opp_c,-5.8622234373891
2hbut_c,-16.119839179394152
2hxmp_c,-2558.5100664836
2hxmp_e,-2557.8751777615034
2ins_c,-3871.656722800048
2ippm_c,-9.717590056869332
2kmb_c,-38.48390557638152
4r5au_c,-28.449868073468988
5aizc_c,-70.27323905138626
10fthf_c,-169.75758256087897
2maacoa_c,2173.5043874159946
5aop_c,373.4488721568569
5aprbu_c,-43.68721533316296
5apru_c,-59.170202342778765
2mahmp_c,7457.435968193005
12d3k5m_c,-43.32431489713472
2mb2coa_c,2171.888974739123
12dag3p_BS_c,-15886.952843681644
12dgr_BS_c,-15723.275887150921
2mbcoa_c,2161.9521204346024
13dpg_c,-15.729560740129063
14bxyl_c,-7742.838710735174
5d4dglcr_c,-1743.9212036558422
5dh4dglcn_c,-6708.394111355442
2mcit_c,-6.101721811811533
2me4p_c,-19.506768829219748
2mecdp_c,-33.36505262415554
2mp2coa_c,2174.382150251547
14glun_c,-5473.355497216113
2o3mpt_c,-20.175500043649986
15dap_c,5415.855751175056
2obut_c,-15.446207706244289
1ag3p_BS_c,-8772.18717738544
5mcsn_c,-39.09431250121679
2p4c2me_c,-95.09514139859424
1p3h5c_c,-3071.7535987651677
2pcpgc_c,1424.9807685375883
1pyr5c_c,-16.49561347631981
2pg_c,-10.342710215015016
2pg_e,-9.707821492917027
23camp_c,-84.89656237837356
2pglyc_c,-5449.100592849005
23ccmp_c,-58.39027650853032
2pglyc_e,-5448.465704126918
23cgmp_c,-82.85393732092427
2shchc_c,-54.43743428177463
23cump_c,-56.723606771840245
5mdr1p_c,-58.10839832069429
34hpp_c,-47.36480805330177
5mdru1p_c,-58.108398320685765
23ddhb_c,3505.673033997456
36dahx_c,-21.13462980942014
23dhb_c,3506.346665470614
23dhba_c,8211.707561752923
5mta_c,-129.51766740142995
5mthf_c,-171.67387771801287
3amba_c,1068.1379323747592
5mtr_c,-57.13239839044328
