,0
R_EX_etha_e,-6.66657840042717e-11
R_EX_drib_e,-3.3332447912926e-11
R_EX_csn_e,-3.3332447912926e-11
R_EX_5mtr_e,-8.036238341446733e-11
R_EX_dtmp_e,-9.983747162323198e-11
R_EX_6pgc_e,-9.961453883988725e-11
R_EX_ctbt_e,-3.999911513119514e-11
R_EX_cu2_e,-7.999823026239028e-11
R_EX_Larab_e,-1.2282619366033032e-11
R_EX_ectoine_e,-3.999911513119514e-11
R_EX_cys__D_e,-4.999911595859885e-11
R_EX_cys__L_e,-3.3332447912926e-11
R_EX_eths_e,-3.5225156125306967e-11
R_EX_cyst__L_e,-3.3332447912926e-11
R_EX_Lcyst_e,-2.76569878110422e-11
R_EX_cytd_e,-3.3332447912926e-11
R_EX_abt__L_e,-9.473222206679566e-11
R_EX_etoh_e,-9.510792153832881e-11
R_EX_dad_2_e,-3.33333360913457e-11
R_EX_dcyt_e,-2.987921021713191e-11
R_EX_fe2_e,-1.525712889360875e-11
R_EX_dextrin_e,-6.150102649371547e-11
R_EX_dha_e,-9.935696709817421e-11
R_EX_ac_e,4.495913590640369
R_EX_acac_e,-9.268941170148537e-11
R_EX_fe3_e,-0.0005865000000007115
R_EX_ferrich_e,-3.999911513119514e-11
R_EX_diact_e,-4.999911595859885e-11
R_EX_djenk_e,-3.999911513119514e-11
R_EX_ferxa_e,-3.999911513119514e-11
R_EX_fol_e,-9.994582939043539e-11
R_EX_acgam_e,-2.4999557979299425e-11
R_EX_acmana_e,-3.33333360913457e-11
R_EX_acnam_e,-3.3332447912926e-11
R_EX_for_e,0.0013443611963790403
R_EX_fru_e,-3.3332447912926e-11
R_EX_actn__R_e,-7.477307661929444e-11
R_EX_ade_e,-3.3332447912926e-11
R_EX_adn_e,-9.988987414999428e-11
R_EX_akg_e,-3.3332447912926e-11
R_EX_ala_B_e,-3.601474674042038e-11
R_EX_ala__D_e,-7.646860922250198e-11
R_EX_ala_L_Thr__L_e,-3.999911513119514e-11
