,Lagrange_coef
2aobut_c,-10.817934719739641
2cpr5p_c,-77.46822821038961
2dda7p_c,-26.044799822897517
2ddg6p_c,-1469.8535135889515
2ddglcn_c,-2951.413110515117
2ddglcn_e,-2950.7056699533196
2dhp_c,-5.212147315836473
2dmmq7_c,-314.9847563784044
2dr1p_c,-19.19684581529328
2dr5p_c,-19.195264655016963
2h3k5m_c,-49.5925760515417
2h3opp_c,-6.431514856574341
2hbut_c,-12.546538230067814
2hxmp_c,-2748.5734276802646
2hxmp_e,-2747.8659871184736
2ins_c,-4135.4492597575
2ippm_c,-14.83512106400096
2kmb_c,-35.58951224826579
4r5au_c,-39.751414733298375
5aizc_c,-69.85195310855134
10fthf_c,-162.75645248844447
2maacoa_c,2228.4758767529274
5aop_c,397.5670969131663
5aprbu_c,-50.3122267633888
5apru_c,-64.33336323211918
2mahmp_c,7943.52302056949
12d3k5m_c,-37.826885223638335
2mb2coa_c,2226.970581406211
12dag3p_BS_c,-18310.488662527154
12dgr_BS_c,-18093.806242702132
2mbcoa_c,2223.350067492911
13dpg_c,-15.1548632672023
14bxyl_c,-8349.323144596401
5d4dglcr_c,-1864.8095589166503
5dh4dglcn_c,-7193.56497896397
2mcit_c,-2.297824610967831
2me4p_c,-19.51837408691243
2mecdp_c,-36.72778753789392
2mp2coa_c,2230.6716162109833
14glun_c,-5934.490886529249
2o3mpt_c,-18.87317224912632
15dap_c,5878.754791605975
2obut_c,-12.426307140475313
1ag3p_BS_c,-9893.43086430235
5mcsn_c,-38.85669538786726
2p4c2me_c,-96.25933285230771
1p3h5c_c,-3349.486619151033
2pcpgc_c,1563.4867418003635
1pyr5c_c,-11.442908454759948
2pg_c,-8.31379135964434
2pg_e,-7.606350797851822
23camp_c,-87.79841482467762
2pglyc_c,-5915.780649138585
23ccmp_c,-56.40914134951397
2pglyc_e,-5915.073208576805
23cgmp_c,-85.56497154645247
2shchc_c,-43.30822746071943
23cump_c,-55.156690375208356
5mdr1p_c,-53.846842328000626
34hpp_c,-43.37974529228388
5mdru1p_c,-53.8468423279921
23ddhb_c,3770.5819118088953
36dahx_c,-19.73315833324563
23dhb_c,3770.7021428984963
23dhba_c,8862.127381876462
5mta_c,-134.69691744837945
5mthf_c,-164.0858247740177
3amba_c,1200.970514248973
5mtr_c,-47.921024011806956
23dhdp_c,-13.752873046032803
3amba_e,-6225.316861123321
23dhmb_c,-8.091497117179527
23dhmp_c,-17.50260212323537
5mtr_e,-47.21358345001803
3amp_c,-86.40574900337056
25aics_c,-77.82140775104821
3amp_e,-85.69830844157792
25dhpp_c,-81.83018723158308
6ampenc_c,4262.763053742279
3c2hmp_c,-13.460272530930144
25dop_c,4400.503105221941
3c3hmp_c,-13.439841082895926
6pgc_c,-20.603348575290912
3c4mop_c,-13.348574150259312
6pgc_e,-19.89590801349831
26dap_LL_c,-17.63077118648139
26dap__M_c,-17.64204877046874
3cmp_c,-55.01647552820692
3cmp_e,-54.30903496641428
26dapime_c,-19.061917364079083
2ahbut_c,-17.516784305293033
3dhq_c,-25.269817625732856
2ahhmd_c,-109.28805059918965
2ahhmp_c,-95.87198850731814
6pgg_c,-5229.3994130406145
6pgl_c,-24.423928352122545
6pthp_c,5811.53773912158
3dhsk_c,-26.664684935279247
8aonn_c,9325.734393932014
3gmp_c,-84.1723057251454
ACP_c,-1226.6341183464954
DPA_c,5886.5302495638225
3gmp_e,-83.46486516335277
L_alagly_c,5007.539029727594
ala_L_leu__L_c,4998.768424233535
ala_L_leu__L_e,-5027.345032006109
3hbycoa_c,2233.4279973883376
ala_L_met__L_c,5857.613373217893
L_alagly_e,-5023.851308394956
3hdcoa_c,2212.550532064676
L_sergly_c,5882.061426390987
ala_L_phe__L_c,5842.282425083103
3hddcoa_c,2205.591289741703
L_thrgly_c,5876.831973487671
3hhcoa_c,2226.4690167106405
Larab_e,-15187.182786333304
3hhdcoa_c,2191.673184907539
3hmbcoa_c,2228.3556456633105
3hmp_c,-8.835250092787154
ala_L_ser__L_c,5881.873312464103
ala_L_trp__L_c,5819.682036992358
3hocoa_c,2219.5097743876554
ala_L_tyr__L_c,5844.393989745445
ala_L_val__L_c,5878.014756369606
Lcyst_c,-7319.486205756901
3htdcoa_c,2198.6320474187355
3ig3p_c,-80.93796216689637
3mob_c,-9.492735417605795
Lcyst_e,-11111.374923421086
3mop_c,-18.896145840721704
Lglyald_c,-8.097851484621534
3mtp_c,2665.260266885273
3odcoa_c,2212.6715981257466
N1aspmd_c,5889.702083501634
alaala_c,-14.673924697973172
3oddcoa_c,2205.7123558027715
aacoa_c,2233.5486637559407
abt__L_c,-1987.5470382006029
3ohcoa_c,2226.590082771715
abt__L_e,-1987.5470382005924
alaala_e,-10829.24404601484
3ohdcoa_c,2191.794058282899
alac__S_c,-8.098412756687086
ac_c,-0.057179511515706875
3oocoa_c,2219.630840448728
alltn_c,-31.8599018581296
3otdcoa_c,2198.753113479802
alltn_e,-6714.4197974479075
ac_e,0.3251305251311579
3pg_c,-8.396769919076577
acac_c,-4.964114754343895
alltt_c,-17.498861253184256
3pg_e,-7.689329357284059
acac_e,-4.256674192551485
acald_c,-4.733998868981929
altrn_c,-5493.015573756799
3php_c,-8.297080664059456
acamoxm_c,-17.698080867227887
3psme_c,-42.187142535044245
accoa_c,2238.8807666512516
amacald_c,-1859.9968967217058
3ump_c,-53.7640245539013
amet_c,-118.15060877852862
ametam_c,-120.23386044734339
acg5p_c,-14.249620171001274
3ump_e,-53.05658399210866
acg5sa_c,-13.449501775941219
amob_c,8773.424660497747
46dh25dohxn_c,-7193.5649789639665
amp_c,-86.4051090773659
acgam1p_c,-37.98490822962913
acgam6p_c,-4041.302372841285
4abut_c,-6.141563505376434
acgam_c,2958.1160051604634
amp_e,-85.69766851557326
4abut_e,-6698.912511266809
acgam_e,-8813.212021426125
4abutn_c,-5910.1421920132925
acglu_c,-7.549703801203876
amylase_e,-5901.852345747434
4abz_c,-44.22194322937359
acmalt_c,3443.9285182328035
4adcho_c,-47.227173866931466
acmam_c,3351.157652723405
anth_c,-44.22329694183154
4ahmmp_c,2862.694503101203
antim_c,-9350.249004505764
acmama_c,-3351.157652766311
4ampm_c,5235.941789075793
acmana_c,-40.41573024480318
antim_e,-4251.47967868471
4c2me_c,-89.57133818376417
apoACP_c,1226.6341183464958
acmana_e,-6722.571087743798
acnam_c,-47.86113464095943
aps_c,-97.65198068362538
acnam_e,-6732.234139620481
4hglu_c,3349.4866191490346
acorn_c,-14.80807241392509
arab__D_c,-5364.45665844706
4izp_c,-43.06919192387291
arab__D_e,-5364.4566584470585
acser_c,-12.860709510320314
4mhetz_c,-7319.003486811493
arab__L_c,-1987.5692280835863
4mop_c,-15.442041543003526
arab__L_e,-4158.0512881840905
actn__R_c,-10.183870780203199
4mpetz_c,-3481.84081228266
arbt6p_c,-6055.058302127285
4pasp_c,-8.764601589014557
arbt_e,-10169.29594383779
4ppan_c,585.1307601855797
arg__L_c,-35.37701401580744
actn__R_e,-5.754612215355715
arg__L_e,-7087.299491780085
4ppcys_c,1151.9361667728376
argp_c,-42.06496096940776
actp_c,-6.445659490951679
cmp_e,-58.82415367997159
ade_c,-62.304503030298804
ade_e,-6775.478400683638
adn_c,-84.23814702742312
adn_e,-83.5307064656265
argp_e,-41.35752040761513
argsuc_c,-36.81711826457565
arsenb_c,1387.4911669922114
arsenb_e,-6281.098047774967
co2_c,2.0756501046101197
arsna_c,-9350.249004505764
adp_c,-93.13321524925362
adpglc_c,-123.77074092275312
arsna_e,-4251.47967868471
co2_e,1.037825052304637
arsni2_c,-9350.249004886504
adprib_c,-6019.780619957069
