,0
R_EX_etha_e,-6.6664895825852e-11
R_EX_drib_e,-3.33333360913457e-11
R_EX_csn_e,-3.33333360913457e-11
R_EX_5mtr_e,-8.36708480278503e-11
R_EX_dtmp_e,-9.984191251533048e-11
R_EX_6pgc_e,-9.954348456631124e-11
R_EX_ctbt_e,-4.000000330961484e-11
R_EX_cu2_e,-7.999823026239028e-11
R_EX_Larab_e,-1.2281731187613332e-11
R_EX_ectoine_e,-4.000000330961484e-11
R_EX_cys__D_e,-4.999911595859885e-11
R_EX_cys__L_e,-3.3332447912926e-11
R_EX_eths_e,-3.553246585852321e-11
R_EX_cyst__L_e,-3.33333360913457e-11
R_EX_Lcyst_e,-2.772537754935911e-11
R_EX_cytd_e,-3.3332447912926e-11
R_EX_abt__L_e,-9.473311024521536e-11
R_EX_etoh_e,-9.664447020441003e-11
R_EX_dad_2_e,-3.33333360913457e-11
R_EX_dcyt_e,-3.3357316908677603e-11
R_EX_fe2_e,-1.525712889360875e-11
R_EX_dextrin_e,-6.150102649371547e-11
R_EX_dha_e,-9.9262820185686e-11
R_EX_ac_e,2.882701033246058
R_EX_acac_e,-9.7864827353078e-11
R_EX_fe3_e,-0.0007589999999995101
R_EX_ferrich_e,-4.000000330961484e-11
R_EX_diact_e,-4.999911595859885e-11
R_EX_djenk_e,-4.000000330961484e-11
R_EX_ferxa_e,-4.000000330961484e-11
R_EX_fol_e,-9.994316485517629e-11
R_EX_acgam_e,-2.5000446157719125e-11
R_EX_acmana_e,-3.33333360913457e-11
R_EX_acnam_e,-3.33333360913457e-11
R_EX_for_e,0.0017397614128249472
R_EX_fru_e,-3.33333360913457e-11
R_EX_actn__R_e,-9.877254569801153e-11
R_EX_ade_e,-3.33333360913457e-11
R_EX_adn_e,-9.989165050683368e-11
R_EX_akg_e,-3.3332447912926e-11
R_EX_ala_B_e,-3.565325812360243e-11
R_EX_ala__D_e,-7.646860922250198e-11
R_EX_ala_L_Thr__L_e,-4.000000330961484e-11
R_EX_ala_L_asp__L_e,-4.000000330961484e-11
R_EX_ala__L_e,-3.3332447912926e-11
R_EX_ala_L_gln__L_e,-4.999911595859885e-11
R_EX_ala_L_glu__L_e,-4.000000330961484e-11
R_EX_L_alagly_e,-4.999911595859885e-11
R_EX_ala_L_his__L_e,-4.999911595859885e-11
R_EX_ala_L_leu__L_e,-4.999822778017915e-11
R_EX_g6p_e,-3.33333360913457e-11
R_EX_gal_e,-4.363709393828685e-11
R_EX_galctr__D_e,-2.5647928225680516e-11
R_EX_galt_e,-2.7272406555312045e-11
R_EX_galur_e,-2.9032776183157694e-11
R_EX_gam6p_e,-9.972200842867096e-11
R_EX_gam_e,-3.33333360913457e-11
R_EX_gbbtn_e,-4.000000330961484e-11
R_EX_glc__D_e,-8.499334569478378e-11
R_EX_glcn__D_e,-3.33333360913457e-11
R_EX_glcr_e,-3.212452526213383e-11
R_EX_glcur_e,-2.9031888004737993e-11
R_EX_gln__L_e,-3.33333360913457e-11
R_EX_glu__D_e,-3.33333360913457e-11
R_EX_alaala_e,-1.7647217021021788e-11
R_EX_alltn_e,-3.884448318558498e-11
