,0
R_EX_etha_e,-9.64215374210653e-11
R_EX_drib_e,-9.299938596996071e-11
R_EX_csn_e,-9.923795118993439e-11
R_EX_5mtr_e,-9.864375982715501e-11
R_EX_dtmp_e,-9.940137601915922e-11
R_EX_6pgc_e,-9.551825996823027e-11
R_EX_ctbt_e,-6.6664895825852e-11
R_EX_cu2_e,-6.6664895825852e-11
R_EX_Larab_e,-9.680789503363485e-11
R_EX_ectoine_e,-6.6664895825852e-11
R_EX_cys__D_e,-4.999911595859885e-11
R_EX_cys__L_e,-9.869793871075672e-11
R_EX_eths_e,-9.664269384757063e-11
R_EX_cyst__L_e,-9.92930182519558e-11
R_EX_Lcyst_e,-9.798828415341632e-11
R_EX_cytd_e,-9.935696709817421e-11
R_EX_abt__L_e,0.18571336629922808
R_EX_etoh_e,-9.137401946190948e-11
R_EX_dad_2_e,-9.959766344991294e-11
R_EX_dcyt_e,-9.940226419757892e-11
R_EX_fe2_e,-8.888534352990973e-11
R_EX_dextrin_e,-9.743228446268404e-11
R_EX_dha_e,-6.083578085736008e-11
R_EX_ac_e,-9.137401946190948e-11
R_EX_acac_e,-9.71578373309967e-11
R_EX_fe3_e,-0.0018285000000002327
R_EX_ferrich_e,-6.6664895825852e-11
R_EX_diact_e,-4.999911595859885e-11
R_EX_djenk_e,-6.6664895825852e-11
R_EX_ferxa_e,-6.6664895825852e-11
R_EX_fol_e,-9.977618731227267e-11
R_EX_acgam_e,-9.827694213981886e-11
R_EX_acmana_e,-9.843859061220428e-11
R_EX_acnam_e,-9.886225171840124e-11
R_EX_for_e,0.9537307039133225
R_EX_fru_e,-5.720000000000001
R_EX_actn__R_e,-9.703349235223868e-11
R_EX_ade_e,-9.953371460369453e-11
R_EX_adn_e,-9.957989988151894e-11
R_EX_akg_e,-9.744827167423864e-11
R_EX_ala_B_e,-9.768541531229857e-11
R_EX_ala__D_e,-9.766587538706517e-11
R_EX_ala_L_Thr__L_e,-6.6664895825852e-11
R_EX_ala_L_asp__L_e,-6.6664895825852e-11
R_EX_ala__L_e,-9.766676356548487e-11
R_EX_ala_L_gln__L_e,-9.9333874459262e-11
R_EX_ala_L_glu__L_e,-6.6664895825852e-11
R_EX_L_alagly_e,-9.885070539894514e-11
R_EX_ala_L_his__L_e,-9.950973378636263e-11
R_EX_ala_L_leu__L_e,-9.93196636045468e-11
R_EX_g6p_e,-9.534240064112964e-11
R_EX_gal_e,-7.678302438307583e-11
R_EX_galctr__D_e,-8.684786223511765e-11
R_EX_galt_e,0.6128494522260786
R_EX_galur_e,-9.062084416200378e-11
R_EX_gam6p_e,-9.811707002427283e-11
R_EX_gam_e,-9.673861711689824e-11
R_EX_gbbtn_e,-6.6664895825852e-11
R_EX_glc__D_e,-8.08348943337478e-11
R_EX_glcn__D_e,-1.5863754754263937e-11
R_EX_glcr_e,-8.684786223511765e-11
R_EX_glcur_e,-9.062084416200378e-11
R_EX_gln__L_e,-9.887024532417854e-11
R_EX_glu__D_e,-9.841016890277388e-11
R_EX_alaala_e,-9.893508234881665e-11
R_EX_alltn_e,-9.9253938401489e-11
R_EX_amp_e,-9.961187430462815e-11
R_EX_amylase_e,-4.999911595859885e-11
R_EX_fum_e,-9.71311919784057e-11
R_EX_antim_e,-6.6664895825852e-11
R_EX_g1p_e,-9.537703959949795e-11
R_EX_glu__L_e,-9.840572801067538e-11
R_EX_arab__D_e,-7.23314741435388e-11
R_EX_arab__L_e,-5.474198871979752e-11
R_EX_arbt_e,-6.6664895825852e-11
R_EX_arg__L_e,-9.937828338024701e-11
R_EX_argp_e,-9.945200218908212e-11
