,Reaction_ID,forward,reverse
R_EX_etha_e,R_EX_etha_e,4.522082778777364,4.522082778873785
R_EX_drib_e,R_EX_drib_e,4.522082778779074,4.522082778872074
R_EX_csn_e,R_EX_csn_e,4.522082778775955,4.522082778875193
R_EX_5mtr_e,R_EX_5mtr_e,4.522082778776252,4.522082778874895
R_EX_dtmp_e,R_EX_dtmp_e,4.522082778775873,4.522082778875275
R_EX_6pgc_e,R_EX_6pgc_e,4.522082778777815,4.522082778873333
R_EX_ctbt_e,R_EX_ctbt_e,4.5220827787922415,4.522082778858906
R_EX_cu2_e,R_EX_cu2_e,4.5220827787922415,4.522082778858906
R_EX_Larab_e,R_EX_Larab_e,4.52208277877717,4.522082778873978
R_EX_ectoine_e,R_EX_ectoine_e,4.5220827787922415,4.522082778858906
R_EX_cys__D_e,R_EX_cys__D_e,4.522082778800575,4.522082778850574
R_EX_cys__L_e,R_EX_cys__L_e,4.522082778776225,4.522082778874923
R_EX_eths_e,R_EX_eths_e,4.522082778777253,4.522082778873895
R_EX_cyst__L_e,R_EX_cyst__L_e,4.5220827787759275,4.5220827788752205
R_EX_Lcyst_e,R_EX_Lcyst_e,4.52208277877658,4.5220827788745686
R_EX_cytd_e,R_EX_cytd_e,4.5220827787758955,4.5220827788752525
R_EX_abt__L_e,R_EX_abt__L_e,4.615892723483185,4.430179357183957
R_EX_etoh_e,R_EX_etoh_e,4.522082778779887,4.522082778871261
R_EX_dad_2_e,R_EX_dad_2_e,4.522082778775776,4.522082778875373
R_EX_dcyt_e,R_EX_dcyt_e,4.522082778775873,4.5220827788752755
R_EX_fe2_e,R_EX_fe2_e,4.522082778781131,4.522082778870017
R_EX_dextrin_e,R_EX_dextrin_e,4.522082778776858,4.5220827788742906
R_EX_dha_e,R_EX_dha_e,4.5220827787951565,4.522082778855992
R_EX_ac_e,R_EX_ac_e,4.522082778779887,4.522082778871261
R_EX_acac_e,R_EX_acac_e,4.522082778776995,4.522082778874153
R_EX_fe3_e,R_EX_fe3_e,4.521168621244609,4.522997121244609
R_EX_ferrich_e,R_EX_ferrich_e,4.5220827787922415,4.522082778858906
