,Lagrange_coef
2aobut_c,-5.01227521484713
2cpr5p_c,-15.868397204290284
2dda7p_c,-4.472784242577906
2ddg6p_c,-4.048680506070791
2ddglcn_c,-2.069288913115598
2ddglcn_e,-2.016174648746342
2dhp_c,-4.910015701375798
2dmmq7_c,-63.485694213706374
2dr1p_c,-3.40910795466554
2dr5p_c,-3.523190909979027
2h3k5m_c,-10.858082955191044
2h3opp_c,-0.4492351941659911
2hbut_c,-3.1478708311456254
2hxmp_c,-4116.807384700098
2hxmp_e,-4116.754270435739
2ins_c,-1.422053970631149
2ippm_c,-7.43234031959243
2kmb_c,-7.997623042402031
4r5au_c,-16.155098605112716
5aizc_c,-16.308631397661987
10fthf_c,-42.74344775876032
2maacoa_c,-53.24410839101218
5aop_c,-6.568153756710036
5aprbu_c,-17.861195949068698
5apru_c,-18.281260050267313
2mahmp_c,-17.998581643236484
12d3k5m_c,-9.816432629163653
2mb2coa_c,-54.29596567897605
12dag3p_BS_c,-4439.0405836057935
12dgr_BS_c,-4255.048191634576
2mbcoa_c,-53.89300197756995
13dpg_c,-3.0312610129511874
14bxyl_c,-1.4893226770413566
5d4dglcr_c,-2.348302357253201
5dh4dglcn_c,-2.4372186905954694
2mcit_c,-4.928418797704531
2me4p_c,-3.3334178021861054
2mecdp_c,-5.871608121735591
2mp2coa_c,-52.79644609259565
14glun_c,-1.5081364139629414
2o3mpt_c,-6.130935419814016
15dap_c,-10.069123113274413
2obut_c,-3.5158006086254954
1ag3p_BS_c,-2307.390530710703
5mcsn_c,-14.183694668799323
2p4c2me_c,-22.428332799105693
1p3h5c_c,-1.2118776550914707
2pcpgc_c,2.3927502742925397
1pyr5c_c,-8.62493602687027
2pg_c,-2.2848695406270356
2pg_e,-2.2317552762614694
23camp_c,-24.983492391313373
2pglyc_c,-1.7574968924148724
23ccmp_c,-17.090993406091282
2pglyc_e,-1.7043826280494465
23cgmp_c,-23.970789882131267
2shchc_c,-12.175222708892317
23cump_c,-13.766056556374961
5mdr1p_c,-8.797793393442255
34hpp_c,-10.673785572149956
5mdru1p_c,-8.79779339344219
23ddhb_c,-7.294459704078874
36dahx_c,-10.36455310946234
23dhb_c,-7.662389481558744
23dhba_c,-32.2791645363065
5mta_c,-28.7099718609295
5mthf_c,-42.686377101182174
3amba_c,-4117.878915969681
5mtr_c,-6.8184018005244775
23dhdp_c,-10.458665270537493
3amba_e,-4117.825801705322
23dhmb_c,-3.168909913531097
23dhmp_c,-4.723490974939566
5mtr_e,-6.765287536158607
3amp_c,-24.2520968653995
25aics_c,-22.424866214473575
3amp_e,-24.198982601033524
25dhpp_c,-21.609076687553916
6ampenc_c,1.0202248140152412
3c2hmp_c,-6.063068463353828
25dop_c,-3.4487149048967085
3c3hmp_c,-6.009927088168163
6pgc_c,-1.8458754924636105
3c4mop_c,-6.4534397366965255
6pgc_e,-1.7927612280981553
26dap_LL_c,-10.610016875735766
26dap__M_c,-10.639562267492346
3cmp_c,-16.359597880177407
3cmp_e,-16.30648361581145
26dapime_c,-13.152227558907805
2ahbut_c,-5.132512499296024
3dhq_c,-4.182181392307005
2ahhmd_c,-24.283751693952613
2ahhmp_c,-21.130983167549832
6pgg_c,-2.6482835391089443
6pgl_c,-2.366772268863916
6pthp_c,-22.562983388723673
3dhsk_c,-5.602962490079313
8aonn_c,-11.460656595691376
3gmp_c,-23.239394356217396
ACP_c,-10.958840046921955
DPA_c,-10.826595048017362
3gmp_e,-23.18628009185142
L_alagly_c,-8.648285801933339
ala_L_leu__L_c,-14.385560798351381
ala_L_leu__L_e,-14.11226654936736
3hbycoa_c,-51.58806813442247
ala_L_met__L_c,-16.14510348835803
L_alagly_e,-8.374991552949364
3hdcoa_c,-60.04935435550144
L_sergly_c,-7.5340596389032415
ala_L_phe__L_c,-19.913368653046906
3hddcoa_c,-62.87178733698322
L_thrgly_c,-9.20557151117526
3hhcoa_c,-54.404488392537885
Larab_e,-2.8091222738023225
3hhdcoa_c,-68.49972505901418
3hmbcoa_c,-52.89224165581612
3hmp_c,-2.968488691410051
ala_L_ser__L_c,-8.981457937376256
ala_L_trp__L_c,-25.203617863262316
3hocoa_c,-57.22692137401966
ala_L_tyr__L_c,-18.877876167070287
ala_L_val__L_c,-12.80955927487078
Lcyst_c,-5.001446364434846
3htdcoa_c,-65.694220318465
3ig3p_c,-16.972361536409945
3mob_c,-4.609430517927482
Lcyst_e,-4.728152115450966
3mop_c,-6.119261808299516
Lglyald_c,-0.2840424881480709
3mtp_c,-5.195186658347735
3odcoa_c,-60.39981316064399
N1aspmd_c,-17.008636553477558
alaala_c,-10.080781221826124
3oddcoa_c,-63.22224614212576
aacoa_c,-51.946309962662696
abt__L_c,0.09072358907722046
3ohcoa_c,-54.75494719768043
abt__L_e,0.04536179452745814
alaala_e,-9.120512174080934
3ohdcoa_c,-68.85869051769527
alac__S_c,-3.546184315537454
ac_c,-1.1748368066453407
3oocoa_c,-57.577380179162205
alltn_c,-12.888818081379757
3otdcoa_c,-66.04467912360755
alltn_e,-12.835703817013815
ac_e,-1.1217225422802233
3pg_c,-2.0052328921883915
acac_c,-3.3781962726307175
alltt_c,-12.006408682543668
3pg_e,-1.9521186278228904
acac_e,-3.325082008265002
acald_c,-1.4928842691671516
altrn_c,-0.6734463692684942
3php_c,-2.408781449472316
acamoxm_c,-10.807042916500771
3psme_c,-10.880067682326322
accoa_c,-49.815345261057715
amacald_c,-3.7937881216760334
3ump_c,-13.03466103046109
amet_c,-33.79595099893606
ametam_c,-33.50052100273854
acg5p_c,-10.097616987782562
3ump_e,-12.981546766095148
acg5sa_c,-9.346722902668581
amob_c,-31.922479487847053
46dh25dohxn_c,-2.4372186905954694
amp_c,-24.391783408948204
acgam1p_c,-7.572131856810358
acgam6p_c,-7.329224194380839
4abut_c,-5.7219280977788785
acgam_c,0.5583370175325848
amp_e,-24.338669144582223
4abut_e,-5.668813833413168
acgam_e,-5.267942624571332
4abutn_c,-6.08539384621288
acglu_c,-8.802400881752522
amylase_e,-4942.124940701109
4abz_c,-12.02801773953576
acmalt_c,-3.0621105989118815
