,0
R_EX_etha_e,-9.664180566915093e-11
R_EX_drib_e,-9.284484292493289e-11
R_EX_csn_e,-9.92725901483027e-11
R_EX_5mtr_e,-9.865619432503081e-11
R_EX_dtmp_e,-9.941736323071382e-11
R_EX_6pgc_e,-9.492939767596908e-11
R_EX_ctbt_e,-6.6664895825852e-11
R_EX_cu2_e,-6.6664895825852e-11
R_EX_Larab_e,-9.676348611264984e-11
R_EX_ectoine_e,-6.6664895825852e-11
R_EX_cys__D_e,-4.999911595859885e-11
R_EX_cys__L_e,-9.873080131228562e-11
R_EX_eths_e,-9.674927525793464e-11
R_EX_cyst__L_e,-9.93178872477074e-11
R_EX_Lcyst_e,-9.807710199538633e-11
R_EX_cytd_e,-9.937739520182731e-11
R_EX_abt__L_e,0.40757581627626127
R_EX_etoh_e,-9.192557826054326e-11
R_EX_dad_2_e,-9.961365066146755e-11
R_EX_dcyt_e,-9.942269230123202e-11
R_EX_fe2_e,-8.888534352990973e-11
R_EX_dextrin_e,-9.579359527833731e-11
R_EX_dha_e,-7.184031147744463e-11
R_EX_ac_e,-9.189538019427346e-11
R_EX_acac_e,-9.726530691978041e-11
R_EX_fe3_e,-0.002035499999999857
R_EX_ferrich_e,-6.6664895825852e-11
R_EX_diact_e,-4.999911595859885e-11
R_EX_djenk_e,-6.6664895825852e-11
R_EX_ferxa_e,-6.6664895825852e-11
R_EX_fol_e,-9.978418091804997e-11
R_EX_acgam_e,-9.827427760455976e-11
R_EX_acmana_e,-9.844125514746338e-11
R_EX_acnam_e,-9.887557439469674e-11
R_EX_for_e,0.8191587031440903
R_EX_fru_e,-5.2654769433502224e-11
R_EX_actn__R_e,-9.71951408246241e-11
R_EX_ade_e,-9.955503088576734e-11
R_EX_adn_e,-9.959588709307354e-11
R_EX_akg_e,-9.756107033354056e-11
R_EX_ala_B_e,-9.782397114577179e-11
R_EX_ala__D_e,-9.780887211263689e-11
R_EX_ala_L_Thr__L_e,-6.6664895825852e-11
R_EX_ala_L_asp__L_e,-6.6664895825852e-11
R_EX_ala__L_e,-9.781508936157479e-11
R_EX_ala_L_gln__L_e,-9.936762523921061e-11
R_EX_ala_L_glu__L_e,-6.6664895825852e-11
R_EX_L_alagly_e,-9.891465424516355e-11
R_EX_ala_L_his__L_e,-9.953016189001573e-11
R_EX_ala_L_leu__L_e,-9.935607891975451e-11
R_EX_g6p_e,-9.322764782382365e-11
R_EX_gal_e,0.28090999945938755
R_EX_galctr__D_e,-8.989076150101027e-11
R_EX_galt_e,0.3753234421553264
R_EX_galur_e,-9.08002562027832e-11
R_EX_gam6p_e,-9.808953649326213e-11
R_EX_gam_e,-9.662937117127512e-11
R_EX_gbbtn_e,-6.6664895825852e-11
R_EX_glc__D_e,-7.629999999999999
R_EX_glcn__D_e,0.5934075478457279
R_EX_glcr_e,-8.989076150101027e-11
R_EX_glcur_e,-9.08002562027832e-11
R_EX_gln__L_e,-9.893064145671815e-11
R_EX_glu__D_e,-9.849721038790449e-11
R_EX_alaala_e,-9.900347208713356e-11
R_EX_alltn_e,-9.92912418951164e-11
R_EX_amp_e,-9.962697333776305e-11
R_EX_amylase_e,-4.999911595859885e-11
R_EX_fum_e,-9.724931970822581e-11
R_EX_antim_e,-6.6664895825852e-11
R_EX_g1p_e,-9.345324514242748e-11
R_EX_glu__L_e,-9.849365767422569e-11
R_EX_arab__D_e,-2.0318857707479765e-11
R_EX_arab__L_e,-2.0604851158623205e-11
R_EX_arbt_e,-6.6664895825852e-11
R_EX_arg__L_e,-9.941025780335622e-11
R_EX_argp_e,-9.947953572009283e-11
R_EX_arsenb_e,-6.6664895825852e-11
R_EX_arsna_e,-6.6664895825852e-11
R_EX_arsni2_e,-6.6664895825852e-11
R_EX_asn__L_e,-9.874856488067962e-11
R_EX_asp__L_e,-9.796785604976321e-11
R_EX_bilea_e,-6.6664895825852e-11
R_EX_btd_RR_e,-9.677680878894535e-11
R_EX_glx_e,-7.642952937203518e-11
R_EX_buts_e,-9.837197723072677e-11
R_EX_ca2_e,-0.0018909499999999468
R_EX_cbl2_e,-6.6664895825852e-11
R_EX_pur_e,-6.66657840042717e-11
R_EX_pyr_e,-9.50750589367999e-11
R_EX_cd2_e,-6.6664895825852e-11
R_EX_gly_asn__L_e,-6.6664895825852e-11
R_EX_cellb_e,-6.756284420816883e-11
R_EX_cgly_e,-7.777511967788087e-11
R_EX_raffin_e,-9.629630426388758e-11
R_EX_rib__D_e,-7.216449660063518e-11
R_EX_gly_asp__L_e,-6.6664895825852e-11
R_EX_ribflv_e,-9.966250047455105e-11
R_EX_chitob_e,-4.999911595859885e-11
R_EX_gly_e,-9.664891109650853e-11
R_EX_chol_e,-7.499778575947857e-11
R_EX_rmn_e,-9.519229848820032e-11
R_EX_gly_gln__L_e,-9.92974591440543e-11
R_EX_chols_e,-6.6664895825852e-11
R_EX_chor_e,-9.913669885008858e-11
R_EX_cit_e,-9.745271256633714e-11
R_EX_salcn_e,-6.6664895825852e-11
R_EX_gly_glu__L_e,-6.6664895825852e-11
R_EX_sbt__D_e,0.885297073347374
R_EX_ser__D_e,-9.707967763006309e-11
R_EX_citr__L_e,-9.92939064303755e-11
R_EX_cmp_e,-9.944933765382302e-11
R_EX_ser__L_e,-9.701484060542498e-11
R_EX_gly_met__L_e,-9.936940159605001e-11
R_EX_so4_e,-0.10048643861420992
R_EX_spmd_e,-9.936318434711211e-11
R_EX_co2_e,1.666659973464037
R_EX_cobalt2_e,-6.6664895825852e-11
R_EX_crn_e,-6.6664895825852e-11
R_EX_cro4_e,-6.66657840042717e-11
R_EX_srb__L_e,-5.03650454675153e-11
R_EX_starch_e,-9.579359527833731e-11
R_EX_subtilisin_e,-4.999911595859885e-11
R_EX_succ_e,-9.691891733609737e-11
R_EX_sucr_e,-9.194423000735696e-11
R_EX_gly_pro__L_e,-6.6664895825852e-11
R_EX_sula_e,-9.478196005829886e-11
R_EX_taur_e,-9.821654600727925e-11
R_EX_glyb_e,-7.499778575947857e-11
R_EX_thiog_e,-6.6664895825852e-11
R_EX_glyc3p_e,-9.466560868531815e-11
R_EX_glyc_e,0.5471194152578045
R_EX_glyclt_e,0.009645735052120408
