,Reaction_ID,forward,reverse
R_EX_etha_e,R_EX_etha_e,4.490960688997834,4.490960689094476
R_EX_drib_e,R_EX_drib_e,4.490960688999733,4.490960689092578
R_EX_csn_e,R_EX_csn_e,4.49096068899652,4.490960689095792
R_EX_5mtr_e,R_EX_5mtr_e,4.490960688996827,4.490960689095483
R_EX_dtmp_e,R_EX_dtmp_e,4.490960688996447,4.490960689095864
R_EX_6pgc_e,R_EX_6pgc_e,4.49096068899869,4.49096068909362
R_EX_ctbt_e,R_EX_ctbt_e,4.490960689012823,4.490960689079488
R_EX_cu2_e,R_EX_cu2_e,4.490960689012823,4.490960689079488
R_EX_Larab_e,R_EX_Larab_e,4.490960688997774,4.490960689094537
R_EX_ectoine_e,R_EX_ectoine_e,4.490960689012823,4.490960689079488
R_EX_cys__D_e,R_EX_cys__D_e,4.490960689021155,4.490960689071154
R_EX_cys__L_e,R_EX_cys__L_e,4.490960688996791,4.490960689095521
R_EX_eths_e,R_EX_eths_e,4.490960688997781,4.49096068909453
R_EX_cyst__L_e,R_EX_cyst__L_e,4.490960688996497,4.4909606890958145
R_EX_Lcyst_e,R_EX_Lcyst_e,4.490960688997117,4.4909606890951945
R_EX_cytd_e,R_EX_cytd_e,4.490960688996466,4.490960689095844
R_EX_abt__L_e,R_EX_abt__L_e,4.699369897387277,4.291794081111016
R_EX_etoh_e,R_EX_etoh_e,4.490960689000192,4.490960689092118
R_EX_dad_2_e,R_EX_dad_2_e,4.490960688996348,4.490960689095962
R_EX_dcyt_e,R_EX_dcyt_e,4.490960688996444,4.490960689095867
R_EX_fe2_e,R_EX_fe2_e,4.490960689001713,4.490960689090598
R_EX_dextrin_e,R_EX_dextrin_e,4.490960688998259,4.490960689094052
R_EX_dha_e,R_EX_dha_e,4.490960689010236,4.490960689082076
R_EX_ac_e,R_EX_ac_e,4.490960689000208,4.490960689092104
R_EX_acac_e,R_EX_acac_e,4.490960688997522,4.490960689094788
R_EX_fe3_e,R_EX_fe3_e,4.489943054368369,4.491978554368369
R_EX_ferrich_e,R_EX_ferrich_e,4.490960689012823,4.490960689079488
R_EX_diact_e,R_EX_diact_e,4.490960689021155,4.490960689071154
R_EX_djenk_e,R_EX_djenk_e,4.490960689012823,4.490960689079488
R_EX_ferxa_e,R_EX_ferxa_e,4.490960689012823,4.490960689079488
R_EX_fol_e,R_EX_fol_e,4.490960688996263,4.490960689096047
R_EX_acgam_e,R_EX_acgam_e,4.490960688997019,4.490960689095293
R_EX_acmana_e,R_EX_acmana_e,4.490960688996935,4.490960689095377
R_EX_acnam_e,R_EX_acnam_e,4.490960688996718,4.490960689095593
R_EX_for_e,R_EX_for_e,4.919178353234213,4.100019650090123
R_EX_fru_e,R_EX_fru_e,4.490960689019828,4.490960689072483
R_EX_actn__R_e,R_EX_actn__R_e,4.490960688997558,4.490960689094753
R_EX_ade_e,R_EX_ade_e,4.4909606889963785,4.4909606890959335
R_EX_adn_e,R_EX_adn_e,4.490960688996358,4.490960689095954
R_EX_akg_e,R_EX_akg_e,4.490960688997375,4.490960689094936
R_EX_ala_B_e,R_EX_ala_B_e,4.4909606889972435,4.4909606890950675
R_EX_ala__D_e,R_EX_ala__D_e,4.490960688997251,4.4909606890950595
R_EX_ala_L_Thr__L_e,R_EX_ala_L_Thr__L_e,4.490960689012823,4.490960689079488
R_EX_ala_L_asp__L_e,R_EX_ala_L_asp__L_e,4.490960689012823,4.490960689079488
R_EX_ala__L_e,R_EX_ala__L_e,4.490960688997248,4.490960689095063
R_EX_ala_L_gln__L_e,R_EX_ala_L_gln__L_e,4.490960688996472,4.490960689095839
R_EX_ala_L_glu__L_e,R_EX_ala_L_glu__L_e,4.490960689012823,4.490960689079488
R_EX_L_alagly_e,R_EX_L_alagly_e,4.490960688996698,4.490960689095613
R_EX_ala_L_his__L_e,R_EX_ala_L_his__L_e,4.49096068899639,4.49096068909592
R_EX_ala_L_leu__L_e,R_EX_ala_L_leu__L_e,4.490960688996478,4.490960689095834
R_EX_g6p_e,R_EX_g6p_e,4.490960688999542,4.49096068909277
R_EX_gal_e,R_EX_gal_e,4.633611520206921,4.352701520747534
R_EX_galctr__D_e,R_EX_galctr__D_e,4.49096068900121,4.490960689091101
R_EX_galt_e,R_EX_galt_e,4.682541567315583,4.307218125160256
R_EX_galur_e,R_EX_galur_e,4.490960689000755,4.490960689091556
R_EX_gam6p_e,R_EX_gam6p_e,4.490960688997111,4.490960689095201
R_EX_gam_e,R_EX_gam_e,4.490960688997841,4.490960689094471
R_EX_gbbtn_e,R_EX_gbbtn_e,4.490960689012823,4.490960689079488
R_EX_glc__D_e,R_EX_glc__D_e,2.077618510525131,9.70761851052513
R_EX_glcn__D_e,R_EX_glcn__D_e,4.797454937897401,4.204047390051673
R_EX_glcr_e,R_EX_glcr_e,4.49096068900121,4.490960689091101
R_EX_glcur_e,R_EX_glcur_e,4.490960689000755,4.490960689091556
R_EX_gln__L_e,R_EX_gln__L_e,4.49096068899669,4.490960689095621
R_EX_glu__D_e,R_EX_glu__D_e,4.490960688996907,4.490960689095404
R_EX_alaala_e,R_EX_alaala_e,4.490960688996654,4.490960689095657
R_EX_alltn_e,R_EX_alltn_e,4.49096068899651,4.490960689095801
R_EX_amp_e,R_EX_amp_e,4.490960688996342,4.490960689095969
R_EX_amylase_e,R_EX_amylase_e,4.490960689021155,4.490960689071154
R_EX_fum_e,R_EX_fum_e,4.49096068899753,4.49096068909478
R_EX_antim_e,R_EX_antim_e,4.490960689012823,4.490960689079488
R_EX_g1p_e,R_EX_g1p_e,4.4909606889994285,4.490960689092882
R_EX_glu__L_e,R_EX_glu__L_e,4.490960688996909,4.490960689095402
R_EX_arab__D_e,R_EX_arab__D_e,4.490960689035996,4.4909606890563145
R_EX_arab__L_e,R_EX_arab__L_e,4.490960689035853,4.4909606890564575
R_EX_arbt_e,R_EX_arbt_e,4.490960689012823,4.490960689079488
R_EX_arg__L_e,R_EX_arg__L_e,4.49096068899645,4.490960689095861
R_EX_argp_e,R_EX_argp_e,4.490960688996416,4.490960689095895
R_EX_arsenb_e,R_EX_arsenb_e,4.490960689012823,4.490960689079488
R_EX_arsna_e,R_EX_arsna_e,4.490960689012823,4.490960689079488
R_EX_arsni2_e,R_EX_arsni2_e,4.490960689012823,4.490960689079488
R_EX_asn__L_e,R_EX_asn__L_e,4.490960688996781,4.490960689095529
R_EX_asp__L_e,R_EX_asp__L_e,4.490960688997172,4.4909606890951395
