,0
R_EX_etha_e,-9.637801667849999e-11
R_EX_drib_e,-9.29034627006331e-11
R_EX_csn_e,-9.92468329741314e-11
R_EX_5mtr_e,-9.864820071925351e-11
R_EX_dtmp_e,-9.939693512706071e-11
R_EX_6pgc_e,-9.285727742280869e-11
R_EX_ctbt_e,-6.66640076474323e-11
R_EX_cu2_e,-6.6664895825852e-11
R_EX_Larab_e,-9.672351808376334e-11
R_EX_ectoine_e,-6.66640076474323e-11
R_EX_cys__D_e,-4.999822778017915e-11
R_EX_cys__L_e,-9.873257766912502e-11
R_EX_eths_e,-9.685674484671836e-11
R_EX_cyst__L_e,-9.93027882145725e-11
R_EX_Lcyst_e,-9.797762601237991e-11
R_EX_cytd_e,-9.934986167081661e-11
R_EX_abt__L_e,0.38898672120454947
R_EX_etoh_e,-9.202150152987087e-11
R_EX_dad_2_e,-9.960388069885084e-11
R_EX_dcyt_e,-9.940315237599862e-11
R_EX_fe2_e,-8.888445535149003e-11
R_EX_dextrin_e,-9.711076387475259e-11
R_EX_dha_e,-6.543832142824613e-11
R_EX_ac_e,-9.21707155043805e-11
R_EX_acac_e,-9.71995817167226e-11
R_EX_fe3_e,-0.0014490000000000336
R_EX_ferrich_e,-6.66640076474323e-11
R_EX_diact_e,-4.999822778017915e-11
R_EX_djenk_e,-6.66640076474323e-11
R_EX_ferxa_e,-6.66640076474323e-11
R_EX_fol_e,-9.977529913385297e-11
R_EX_acgam_e,-9.832934466658116e-11
R_EX_acmana_e,-9.841905068697088e-11
R_EX_acnam_e,-9.881606644057683e-11
R_EX_for_e,0.7809016858178168
R_EX_fru_e,-6.932676654969328e-11
R_EX_actn__R_e,-9.71196456589496e-11
R_EX_ade_e,-9.954259638789154e-11
R_EX_adn_e,-9.958256441677804e-11
R_EX_akg_e,-9.738254647118083e-11
R_EX_ala_B_e,-9.769873798859408e-11
R_EX_ala__D_e,-9.770761977279108e-11
R_EX_ala_L_Thr__L_e,-6.66640076474323e-11
R_EX_ala_L_asp__L_e,-6.66640076474323e-11
R_EX_ala__L_e,-9.770850795121078e-11
R_EX_ala_L_gln__L_e,-9.934009170819991e-11
R_EX_ala_L_glu__L_e,-6.66640076474323e-11
R_EX_L_alagly_e,-9.887024532417854e-11
R_EX_ala_L_his__L_e,-9.951861557055963e-11
R_EX_ala_L_leu__L_e,-9.934275624345901e-11
R_EX_g6p_e,-9.445333404300982e-11
R_EX_gal_e,3.0541258411176386e-10
R_EX_galctr__D_e,-8.540546048152464e-11
R_EX_galt_e,0.21451706370742585
R_EX_galur_e,-8.754952318668074e-11
R_EX_gam6p_e,-9.802469946862402e-11
R_EX_gam_e,-9.670753087220874e-11
R_EX_gbbtn_e,-6.66640076474323e-11
R_EX_glc__D_e,-6.344258451917995e-11
R_EX_glcn__D_e,-5.130000000000001
R_EX_glcr_e,-8.540546048152464e-11
R_EX_glcur_e,-8.754952318668074e-11
R_EX_gln__L_e,-9.887557439469674e-11
R_EX_glu__D_e,-9.840306347541627e-11
R_EX_alaala_e,-9.895817498772885e-11
R_EX_alltn_e,-9.92503856878102e-11
R_EX_amp_e,-9.961453883988725e-11
R_EX_amylase_e,-4.999822778017915e-11
R_EX_fum_e,-9.71338565136648e-11
R_EX_antim_e,-6.6664895825852e-11
R_EX_g1p_e,-9.449063753663722e-11
R_EX_glu__L_e,-9.840039894015717e-11
R_EX_arab__D_e,0.18294177841622972
R_EX_arab__L_e,-2.97992741593589e-11
R_EX_arbt_e,-6.6664895825852e-11
R_EX_arg__L_e,-9.937917155866671e-11
R_EX_argp_e,-9.945200218908212e-11
R_EX_arsenb_e,-6.6664895825852e-11
R_EX_arsna_e,-6.6664895825852e-11
R_EX_arsni2_e,-6.66640076474323e-11
R_EX_asn__L_e,-9.866329975238841e-11
R_EX_asp__L_e,-9.781597753999449e-11
R_EX_bilea_e,-6.6664895825852e-11
R_EX_btd_RR_e,-9.670930722904814e-11
R_EX_glx_e,-6.891465176295242e-11
R_EX_buts_e,-9.840661618909508e-11
R_EX_ca2_e,-0.0013461000000001277
R_EX_cbl2_e,-6.66640076474323e-11
R_EX_pur_e,-6.6664895825852e-11
R_EX_pyr_e,-9.481748719508687e-11
R_EX_cd2_e,-6.6664895825852e-11
R_EX_gly_asn__L_e,-6.66640076474323e-11
R_EX_cellb_e,-9.372591591727542e-11
R_EX_cgly_e,-7.777334332104147e-11
R_EX_raffin_e,-9.72075753224999e-11
R_EX_rib__D_e,-4.0115466504175856e-11
R_EX_gly_asp__L_e,-6.66640076474323e-11
R_EX_ribflv_e,-9.965450686877375e-11
R_EX_chitob_e,-4.999822778017915e-11
R_EX_gly_e,-9.639133935479549e-11
R_EX_chol_e,-7.499689758105887e-11
R_EX_rmn_e,-9.490452868021748e-11
R_EX_gly_gln__L_e,-9.92619320072663e-11
R_EX_chols_e,-6.66640076474323e-11
R_EX_chor_e,-9.909317810752327e-11
R_EX_cit_e,-9.724221428086821e-11
R_EX_salcn_e,-6.6664895825852e-11
R_EX_gly_glu__L_e,-6.66640076474323e-11
R_EX_sbt__D_e,0.5286348874463922
R_EX_ser__D_e,-9.677592061052565e-11
R_EX_citr__L_e,-9.92530502230693e-11
R_EX_cmp_e,-9.942624501491082e-11
R_EX_ser__L_e,-9.671285994272694e-11
R_EX_gly_met__L_e,-9.936140799027271e-11
R_EX_so4_e,-0.07153271861400334
R_EX_spmd_e,-9.93303217455832e-11
R_EX_co2_e,2.741902626240496
R_EX_cobalt2_e,-6.66640076474323e-11
R_EX_crn_e,-6.66640076474323e-11
R_EX_cro4_e,-6.6664895825852e-11
R_EX_srb__L_e,-6.211564596014796e-11
R_EX_starch_e,-9.711076387475259e-11
R_EX_subtilisin_e,-4.999822778017915e-11
R_EX_succ_e,-9.680523049837575e-11
R_EX_sucr_e,-9.476064377622606e-11
R_EX_gly_pro__L_e,-6.66640076474323e-11
R_EX_sula_e,-9.477751916620036e-11
R_EX_taur_e,-9.821565782885955e-11
R_EX_glyb_e,-7.499689758105887e-11
R_EX_thiog_e,-6.6664895825852e-11
R_EX_glyc3p_e,-9.447553850350232e-11
R_EX_glyc_e,0.6507956732603795
R_EX_glyclt_e,0.19962086651305277
R_EX_glycogen_e,-9.477751916620036e-11
R_EX_gmp_e,-9.959411073623414e-11
R_EX_gsn_e,-9.955947177786584e-11
R_EX_thr__L_e,-9.79101244524827e-11
R_EX_gthox_e,-2.7777780076121417e-11
R_EX_thym_e,-9.911360621117637e-11
R_EX_gthrd_e,-7.777334332104147e-11
R_EX_thymd_e,-9.93152227124483e-11
R_EX_gua_e,-9.951506285688083e-11
