,Reaction_ID,forward,reverse
R_EX_etha_e,R_EX_etha_e,4.5156172975988085,4.5156172976951865
R_EX_drib_e,R_EX_drib_e,4.515617297600545,4.515617297693448
R_EX_csn_e,R_EX_csn_e,4.515617297597373,4.51561729769662
R_EX_5mtr_e,R_EX_5mtr_e,4.515617297597673,4.515617297696322
R_EX_dtmp_e,R_EX_dtmp_e,4.515617297597299,4.5156172976966955
R_EX_6pgc_e,R_EX_6pgc_e,4.515617297600569,4.515617297693426
R_EX_ctbt_e,R_EX_ctbt_e,4.515617297613665,4.515617297680329
R_EX_cu2_e,R_EX_cu2_e,4.515617297613664,4.515617297680329
R_EX_Larab_e,R_EX_Larab_e,4.515617297598635,4.515617297695359
R_EX_ectoine_e,R_EX_ectoine_e,4.515617297613665,4.515617297680329
R_EX_cys__D_e,R_EX_cys__D_e,4.515617297621998,4.515617297671996
R_EX_cys__L_e,R_EX_cys__L_e,4.515617297597631,4.515617297696363
R_EX_eths_e,R_EX_eths_e,4.515617297598569,4.515617297695425
R_EX_cyst__L_e,R_EX_cyst__L_e,4.515617297597346,4.515617297696648
R_EX_Lcyst_e,R_EX_Lcyst_e,4.515617297598008,4.515617297695986
R_EX_cytd_e,R_EX_cytd_e,4.5156172975973226,4.515617297696672
R_EX_abt__L_e,R_EX_abt__L_e,4.714297255256025,4.325310534051476
R_EX_etoh_e,R_EX_etoh_e,4.515617297600986,4.515617297693008
R_EX_dad_2_e,R_EX_dad_2_e,4.5156172975971955,4.515617297696799
R_EX_dcyt_e,R_EX_dcyt_e,4.515617297597296,4.515617297696699
R_EX_fe2_e,R_EX_fe2_e,4.515617297602555,4.515617297691439
R_EX_dextrin_e,R_EX_dextrin_e,4.515617297598442,4.515617297695552
R_EX_dha_e,R_EX_dha_e,4.515617297614278,4.515617297679716
R_EX_ac_e,R_EX_ac_e,4.515617297600912,4.515617297693082
R_EX_acac_e,R_EX_acac_e,4.515617297598397,4.515617297695597
R_EX_fe3_e,R_EX_fe3_e,4.514892855767538,4.516341855767538
R_EX_ferrich_e,R_EX_ferrich_e,4.515617297613665,4.515617297680329
R_EX_diact_e,R_EX_diact_e,4.515617297621998,4.515617297671996
R_EX_djenk_e,R_EX_djenk_e,4.515617297613665,4.515617297680329
R_EX_ferxa_e,R_EX_ferxa_e,4.515617297613665,4.515617297680329
R_EX_fol_e,R_EX_fol_e,4.515617297597109,4.515617297696885
R_EX_acgam_e,R_EX_acgam_e,4.515617297597832,4.515617297696162
R_EX_acmana_e,R_EX_acmana_e,4.515617297597788,4.515617297696207
R_EX_acnam_e,R_EX_acnam_e,4.515617297597589,4.515617297696405
R_EX_for_e,R_EX_for_e,4.922917217802091,4.142015531984274
R_EX_fru_e,R_EX_fru_e,4.515617297612334,4.51561729768166
R_EX_actn__R_e,R_EX_actn__R_e,4.515617297598437,4.515617297695557
R_EX_ade_e,R_EX_ade_e,4.515617297597226,4.515617297696768
R_EX_adn_e,R_EX_adn_e,4.515617297597205,4.515617297696788
R_EX_akg_e,R_EX_akg_e,4.515617297598306,4.515617297695688
