,0
R_EX_etha_e,-9.561862412965638e-11
R_EX_drib_e,-9.567013847799899e-11
R_EX_csn_e,-9.946621304379732e-11
R_EX_5mtr_e,-9.794653976769041e-11
R_EX_dtmp_e,-9.957012991890224e-11
R_EX_6pgc_e,-9.816414348051694e-11
R_EX_ctbt_e,-6.6664895825852e-11
R_EX_cu2_e,-6.66657840042717e-11
R_EX_Larab_e,-9.890488428254685e-11
R_EX_ectoine_e,-6.6664895825852e-11
R_EX_cys__D_e,-4.999911595859885e-11
R_EX_cys__L_e,-9.842793247116788e-11
R_EX_eths_e,-8.991829503202098e-11
R_EX_cyst__L_e,-9.93081172850907e-11
R_EX_Lcyst_e,-9.847056503531348e-11
R_EX_cytd_e,-9.957190627574164e-11
R_EX_abt__L_e,0.054881105735654856
R_EX_etoh_e,2.0393624668764962
R_EX_dad_2_e,-9.971135028763456e-11
R_EX_dcyt_e,-9.957457081100074e-11
R_EX_fe2_e,-8.888623170832943e-11
R_EX_dextrin_e,-9.891465424516355e-11
R_EX_dha_e,-9.245226806342544e-11
R_EX_ac_e,-9.420819679917258e-11
R_EX_acac_e,-9.809664192061973e-11
R_EX_fe3_e,-0.0013800000000001589
R_EX_ferrich_e,-6.6664895825852e-11
R_EX_diact_e,-4.999911595859885e-11
R_EX_djenk_e,-6.6664895825852e-11
R_EX_ferxa_e,-6.6664895825852e-11
R_EX_fol_e,-9.984191251533048e-11
R_EX_acgam_e,-9.893330599197725e-11
R_EX_acmana_e,-9.896172770140765e-11
R_EX_acnam_e,-9.92885773598573e-11
R_EX_for_e,-8.691003472449665e-11
R_EX_fru_e,-9.548895008038016e-11
R_EX_actn__R_e,-9.640288567425159e-11
R_EX_ade_e,-9.966605318822985e-11
R_EX_adn_e,-9.971135028763456e-11
R_EX_akg_e,-9.876632844907363e-11
R_EX_ala_B_e,-9.806822021118933e-11
R_EX_ala__D_e,-9.806822021118933e-11
R_EX_ala_L_Thr__L_e,-6.6664895825852e-11
R_EX_ala_L_asp__L_e,-6.6664895825852e-11
R_EX_ala__L_e,-9.806289114067113e-11
R_EX_ala_L_gln__L_e,-9.948220025535193e-11
R_EX_ala_L_glu__L_e,-6.6664895825852e-11
R_EX_L_alagly_e,-9.913936338534768e-11
R_EX_ala_L_his__L_e,-9.962963787302215e-11
R_EX_ala_L_leu__L_e,-9.93276572103241e-11
R_EX_g6p_e,-9.7882590921472e-11
R_EX_gal_e,-9.603784434375484e-11
R_EX_galctr__D_e,-9.828848845927496e-11
R_EX_galt_e,-6.643574579356937e-11
R_EX_galur_e,-9.819078883310794e-11
R_EX_gam6p_e,-9.874856488067962e-11
R_EX_gam_e,-9.820055879572465e-11
R_EX_gbbtn_e,-6.6664895825852e-11
R_EX_glc__D_e,-9.64153201721274e-11
R_EX_glcn__D_e,-9.661338395972052e-11
R_EX_glcr_e,-9.828848845927496e-11
R_EX_glcur_e,-9.819078883310794e-11
R_EX_gln__L_e,-9.915446241848258e-11
R_EX_glu__D_e,-9.889244978467104e-11
R_EX_alaala_e,-9.912692888747188e-11
R_EX_alltn_e,-9.954437274473094e-11
R_EX_amp_e,-9.973000203444826e-11
R_EX_amylase_e,-4.999911595859885e-11
R_EX_fum_e,-9.863487804295801e-11
R_EX_antim_e,-6.66657840042717e-11
R_EX_g1p_e,-9.78888081704099e-11
R_EX_glu__L_e,-9.889067342783164e-11
R_EX_arab__D_e,-9.533707157061144e-11
R_EX_arab__L_e,-9.486722518659008e-11
R_EX_arbt_e,-6.66657840042717e-11
R_EX_arg__L_e,-9.947687118483373e-11
R_EX_argp_e,-9.953815549579303e-11
R_EX_arsenb_e,-6.66657840042717e-11
R_EX_arsna_e,-6.66657840042717e-11
R_EX_arsni2_e,-6.66657840042717e-11
R_EX_asn__L_e,-9.910738896223847e-11
R_EX_asp__L_e,-9.877254569801153e-11
R_EX_bilea_e,-6.6664895825852e-11
R_EX_btd_RR_e,-8.447553767609861e-11
R_EX_glx_e,-9.699530068019158e-11
R_EX_buts_e,-9.560885416703968e-11
R_EX_ca2_e,-0.0012819999999997833
R_EX_cbl2_e,-6.6664895825852e-11
R_EX_pur_e,-6.66657840042717e-11
R_EX_pyr_e,-9.765077635393027e-11
R_EX_cd2_e,-6.66657840042717e-11
R_EX_gly_asn__L_e,-6.6664895825852e-11
R_EX_cellb_e,-9.85487247362471e-11
R_EX_cgly_e,-7.777600785630057e-11
R_EX_raffin_e,-9.914824516954468e-11
R_EX_rib__D_e,-9.565059855276559e-11
R_EX_gly_asp__L_e,-6.6664895825852e-11
R_EX_ribflv_e,-9.975664738703927e-11
R_EX_chitob_e,-4.999911595859885e-11
R_EX_gly_e,-9.769252073965617e-11
R_EX_chol_e,-7.499867393789827e-11
R_EX_rmn_e,-9.652723065300961e-11
R_EX_gly_gln__L_e,-9.945821943802002e-11
R_EX_chols_e,-6.6664895825852e-11
R_EX_chor_e,-9.942002776597292e-11
R_EX_cit_e,-9.889244978467104e-11
R_EX_salcn_e,-6.66657840042717e-11
R_EX_gly_glu__L_e,-6.6664895825852e-11
R_EX_sbt__D_e,-7.44728723134358e-11
R_EX_ser__D_e,-9.806644385434993e-11
R_EX_citr__L_e,-9.938450062918491e-11
R_EX_cmp_e,-9.961276248304785e-11
R_EX_ser__L_e,-9.803091671756192e-11
R_EX_gly_met__L_e,-9.93063409282513e-11
R_EX_so4_e,-0.06812642670900182
R_EX_spmd_e,-9.915002152638408e-11
R_EX_co2_e,-9.619238738878266e-11
R_EX_cobalt2_e,-6.66657840042717e-11
R_EX_crn_e,-6.6664895825852e-11
R_EX_cro4_e,-6.6664895825852e-11
R_EX_srb__L_e,-9.593659200390903e-11
R_EX_starch_e,-9.891465424516355e-11
R_EX_subtilisin_e,-4.999911595859885e-11
R_EX_succ_e,-9.813660994950624e-11
R_EX_sucr_e,-9.86064563335276e-11
R_EX_gly_pro__L_e,-6.6664895825852e-11
R_EX_sula_e,-9.661338395972052e-11
R_EX_taur_e,-9.744560713897954e-11
R_EX_glyb_e,-7.499867393789827e-11
R_EX_thiog_e,-6.66657840042717e-11
R_EX_glyc3p_e,-9.271161616197787e-11
R_EX_glyc_e,-6.219999999999999
R_EX_glyclt_e,-9.211031937184089e-11
R_EX_glycogen_e,-9.792611166403731e-11
R_EX_gmp_e,-9.973000203444826e-11
R_EX_gsn_e,-9.971135028763456e-11
R_EX_thr__L_e,-9.832668013132206e-11
R_EX_gthox_e,-2.7777780076121417e-11
R_EX_thym_e,-9.938450062918491e-11
R_EX_gthrd_e,-7.777600785630057e-11
R_EX_thymd_e,-9.952128010581873e-11
R_EX_gua_e,-9.966694136664955e-11
R_EX_tmp_e,-9.834710823497517e-11
R_EX_tre_e,-9.86144499393049e-11
R_EX_trp__L_e,-9.961187430462815e-11
R_EX_h2o2_e,-7.222045184107628e-11
R_EX_tyr__L_e,-9.942180412281232e-11
R_EX_h2o_e,10.531458383245367
R_EX_ump_e,-9.955591906418704e-11
R_EX_ura_e,-9.935430256291511e-11
R_3UMPt6,9.955236635050824e-11
R_EX_h_e,2.6029947520849106
R_5MTRt2,9.794653976769041e-11
R_6PGCt6,9.816414348051694e-11
R_EX_urate_e,-9.962519698092365e-11
R_2HXMPt6,3.33333360913457e-11
R_EX_hexs_e,-7.999823026239028e-11
R_2PGLYCt6,9.71871472188468e-11
R_2PGt6,9.772005427066688e-11
R_3AMPt6,9.972911385602856e-11
R_3CMPt6,9.961009794778874e-11
R_EX_urea_e,-9.863665439979741e-11
R_EX_uri_e,-9.950174018058533e-11
R_EX_val__L_e,-9.846612414321498e-11
R_EX_xan_e,-9.962430880250395e-11
R_EX_xtsn_e,-9.968026404294505e-11
R_EX_xyl__D_e,-9.50617362605044e-11
R_EX_zn2_e,-6.66657840042717e-11
R_3GMPt6,9.972911385602856e-11
R_3PGt6,9.758505115087246e-11
R_ABTt_1,-0.054881105735654856
R_F6Pt6_2,9.78745973156947e-11
R_EX_hg2_e,-6.66657840042717e-11
R_EX_his__L_e,-9.949197021796863e-11
R_EX_hqn_e,-6.66657840042717e-11
R_EX_hxan_e,-9.962430880250395e-11
R_PHEt2r,9.942091594439262e-11
R_ACACt2,9.809664192061973e-11
R_EX_icit_e,-9.888978524941194e-11
R_2S6HCCi,0.00010639999999995098
R_26DPAi,0.0
R_3AMBAt2,3.33333360913457e-11
R_FDH,0.5799499178444094
R_FDMO_1,-2.797615117344776e-08
R_EX_ile__L_e,-9.863576622137771e-11
R_AAMYL_1,9.89150983343734e-11
R_EX_inost_e,-9.672440626218304e-11
R_EX_ins_e,-9.968026404294505e-11
R_EX_istnt_e,-8.01518851289984e-11
R_ABTA,9.832579195290236e-11
R_EX_k_e,-0.2825248
R_EX_lac__L_e,-9.535572331742515e-11
R_EX_lanth_e,-6.66657840042717e-11
R_FBA,0.09220382986841713
R_EX_lcts_e,-9.85664883046411e-11
R_FBA2,-1.391277390657045
R_FBP,-0.23692074693844534
R_FCLT_2,5.555378379540343e-11
R_FDMO1,8.991740685360128e-11
R_FDMO2_1,9.560885416703968e-11
R_FDMO3_1,3.999911513119514e-11
R_AB6PGH,0.0
R_ABUTD,0.0
R_MACCOAT,0.09472377742243365
R_ACACT2r,0.11834471923666978
R_ACACT3r,0.11834471923666978
R_ACACT4r,0.11834471923666934
R_ACACT5r_1,0.11834471923666934
R_ACACT6r_1,0.11834471923666978
R_ACACT7r,0.07457876270299257
R_FDMO4_1,1.9591661626350287e-10
R_FDMO5_1,9.661382804893037e-11
R_FDMO6_1,8.01518851289984e-11
R_ACACT1r,0.11834471904296473
R_ACCOAC,-0.30173827804460895
R_EX_leu__L_e,-9.868017514236271e-11
R_ACGApts,9.893330599197725e-11
R_ACGK,-0.12380779568684552
R_FE2abc,7.777600785630057e-11
R_EX_lipt_e,-6.66657840042717e-11
R_ACGS,-0.25172091080954484
R_EX_lys__L_e,-9.904077558076096e-11
R_FOLD3,0.00014679990015853406
R_ACMANAt2,9.896172770140765e-11
R_ACNAMt2,9.92885773598573e-11
R_EX_madg_e,-4.999911595859885e-11
R_ACNPLYS,-9.92885773598573e-11
R_EX_mal__D_e,-9.804690392911652e-11
R_ALLTNt2r,9.954437274473094e-11
R_EX_mal__L_e,-9.806466749751053e-11
R_ACt2r,9.420819679917258e-11
R_ADEt2,9.966605318822985e-11
R_ACKr,-0.5167772133417001
R_ACLDC,0.49680950911757726
R_ALLTAHr,-0.692873332158932
R_EX_malt_e,-9.85949100140715e-11
R_AMPt6,9.973000203444826e-11
R_ACODA_1,-0.25172091080954573
R_ACOAD20,0.04736188871121705
R_EX_malttr_e,-9.914469245586588e-11
R_EX_man1p_e,-9.799006051025572e-11
R_ACONT,-0.35301731492352406
R_ACOAD2,0.11834471923666978
R_EX_man6p_e,-9.799006051025572e-11
R_ACOAD1,0.11834471914106004
R_ACOADH2,-0.11232661911786046
R_ARABDI,9.533707157061144e-11
R_ARAB_Dt,9.533707157061144e-11
R_ACOTA,0.12380779568684463
R_ARGKr,-9.953815549579303e-11
R_EX_man_e,-9.611067497417025e-11
R_ARGPt6,9.953815549579303e-11
R_ACPS1,-0.11661504970089887
R_EX_3ump_e,-9.955236635050824e-11
R_EX_mbdg_e,-4.999911595859885e-11
R_APATi,0.1708439999011926
R_EX_melib_e,-9.86011272630094e-11
R_EX_meoh_e,-4.999911595859885e-11
R_EX_met__D_e,-6.66657840042717e-11
R_APRAUR,-9.975664738703927e-11
R_APSR,-0.048488622991897046
R_ACPpds,-0.11661504970089887
R_ACS,-0.15205340636464282
R_EX_met_L_ala__L_e,-6.66657840042717e-11
R_ALKP,-9.245226806342544e-11
R_APTA1i,0.17084399990119348
R_EX_met__L_e,-9.873613038280382e-11
R_ALCD19_L,0.0
R_ACS2,-0.018682020209349837
R_ACTD2,0.4968095092984566
R_ACTNabc,-1.7011153444241907
R_ACTNabc1,-1.7011153445205949
R_ALCD2y,-2.0393624668764962
R_ADADir,-0.7465567752174254
R_EX_metox__R_e,-9.872014317124922e-11
R_ADNK1,-0.7308180417456747
R_ADCL,0.00014679990015853406
R_ADD,-0.27967035780647054
R_ALLTN,-0.6928733321589324
R_ALTRH,9.81912329223178e-11
R_EX_metox_e,-9.872014317124922e-11
R_ARABRr,0.054881105735654856
R_ARAI,-0.05488110534407298
R_ARBTpts,3.33333360913457e-11
R_ADCS,0.00014679990015764588
R_ADK1,-1.3302275984956937
R_EX_mg2_e,-0.040685600000000655
R_AMAA,0.0
R_ADK2,9.834710823497517e-11
R_AMAOTr,0.0
R_EX_mn2_e,-6.6664895825852e-11
R_AMMQT7,0.00010639999999995098
R_ANPRT,0.021734399900387835
R_ADMDC,-9.915090970480378e-11
R_EX_mnl_e,-7.849898508993647e-11
R_ADNt2,9.971135028763456e-11
R_ADPDA,0.1708439999011926
R_ADPRDP,0.0
R_ANS,0.021734399900387835
R_ANTIMt1,-3.333289200213585e-11
R_EX_mobd_e,-6.6664895825852e-11
