,Lagrange_coef
2aobut_c,-3.913718348116879
2cpr5p_c,-14.771838700176462
2dda7p_c,-3.5636590103002113
2ddg6p_c,-3.0020855341770094
2ddglcn_c,-1.0513937057918805
2ddglcn_e,-1.0096766911248494
2dhp_c,-2.463848357081088
2dmmq7_c,-59.23617629532132
2dr1p_c,-3.959767321424632
2dr5p_c,-3.950642584572188
2h3k5m_c,-10.00460187916726
2h3opp_c,-0.352860077036362
2hbut_c,-1.0622674178289129
2hxmp_c,-3135.5506751639273
2hxmp_e,-3135.508958149269
2ins_c,-1.70646827870884
2ippm_c,-4.042453425498254
2kmb_c,-7.25150794051914
4r5au_c,-13.540254163502043
5aizc_c,-13.714519070854761
10fthf_c,-34.20255714935014
2maacoa_c,-48.474809182138166
5aop_c,-4.610808863152157
5aprbu_c,-15.226893889130107
5apru_c,-15.80860119853442
2mahmp_c,-17.06855828427828
12d3k5m_c,-7.911918755159565
2mb2coa_c,-49.2406067153038
12dag3p_BS_c,-3710.820763829203
12dgr_BS_c,-3529.1387721727297
2mbcoa_c,-48.67228686295922
13dpg_c,-3.5427919863035933
14bxyl_c,-2.7005943724478136
5d4dglcr_c,-0.921064464739747
5dh4dglcn_c,-1.615302778957102
2mcit_c,-0.4026360180570143
2me4p_c,-3.285170791111544
2mecdp_c,-7.876639866871174
2mp2coa_c,-47.82122441254526
14glun_c,-3.1584350908996224
2o3mpt_c,-3.7159285646784372
15dap_c,-8.866824670878403
2obut_c,-1.626176490994134
1ag3p_BS_c,-1963.7506863681895
5mcsn_c,-10.399966098535337
2p4c2me_c,-21.96343648892493
1p3h5c_c,-1.102831031858821
2pcpgc_c,2.1058605705597926
1pyr5c_c,-5.616278290462934
2pg_c,-1.0118418678007084
2pg_e,-0.9701248531357234
23camp_c,-22.97274121153844
2pglyc_c,-1.270926986321198
23ccmp_c,-15.70327344894015
2pglyc_e,-1.229209971655995
23cgmp_c,-22.162899526689262
2shchc_c,-9.213161881198792
23cump_c,-13.103469842119637
5mdr1p_c,-9.02585970911657
34hpp_c,-9.2328184655832
5mdru1p_c,-9.025859709116506
23ddhb_c,-6.091975924881752
36dahx_c,-8.002259026549947
23dhb_c,-6.655884998046972
23dhba_c,-30.251734985873455
5mta_c,-24.99521975655665
5mthf_c,-34.737498981024
3amba_c,-3136.424749153701
5mtr_c,-7.075167880756052
23dhdp_c,-5.966776244105802
3amba_e,-3136.383032139043
23dhmb_c,-1.0168208097908575
23dhmp_c,-2.319401757528665
5mtr_e,-7.033450866090176
3amp_c,-21.181912244706442
25aics_c,-16.83737790037227
3amp_e,-21.14019523004047
25dhpp_c,-18.41213757334027
6ampenc_c,-0.5967726369542953
3c2hmp_c,-2.6830939169961083
25dop_c,-3.1704156775096526
3c3hmp_c,-2.632241797117504
6pgc_c,-1.9923064230231686
3c4mop_c,-3.2687969117039626
6pgc_e,-1.950589408357664
26dap_LL_c,-7.0883621888777455
26dap__M_c,-7.117656893220697
3cmp_c,-13.91244448210815
3cmp_e,-13.870727467442203
26dapime_c,-8.51135652557254
2ahbut_c,-2.8575652275860666
3dhq_c,-3.280671749588887
2ahhmd_c,-21.660644305849665
2ahhmp_c,-17.542416495704515
6pgg_c,-6.275600325109967
6pgl_c,-3.9081873367137336
6pthp_c,-19.42026044459274
3dhsk_c,-4.69062841739325
8aonn_c,-7.570750343426649
3gmp_c,-20.372070559857264
ACP_c,-9.881644400391131
DPA_c,-6.530685317271021
3gmp_e,-20.330353545191294
L_alagly_c,-6.44609977986935
ala_L_leu__L_c,-11.025121165292855
ala_L_leu__L_e,-10.761069062538416
3hbycoa_c,-46.912819084482926
ala_L_met__L_c,-14.076856723018427
L_alagly_e,-6.182047677114978
3hdcoa_c,-53.72662680040182
L_sergly_c,-5.7174857870543665
ala_L_phe__L_c,-16.919661040355255
3hddcoa_c,-55.99856315440694
L_thrgly_c,-6.9221068497355605
3hhcoa_c,-49.18275409239157
Larab_e,-5.6537594199091
3hhdcoa_c,-60.53430054913815
3hmbcoa_c,-47.87343500179388
3hmp_c,-1.1025597292348623
