,0
R_EX_etha_e,-9.679723689259845e-11
R_EX_drib_e,-9.476330831148516e-11
R_EX_csn_e,-9.901057751449116e-11
R_EX_5mtr_e,-9.870682049495372e-11
R_EX_dtmp_e,-9.93090054635104e-11
R_EX_6pgc_e,-9.533884792745084e-11
R_EX_ctbt_e,-6.66640076474323e-11
R_EX_cu2_e,-6.6664895825852e-11
R_EX_Larab_e,-9.839240533437987e-11
R_EX_ectoine_e,-6.66640076474323e-11
R_EX_cys__D_e,-4.999911595859885e-11
R_EX_cys__L_e,-9.876011120013573e-11
R_EX_eths_e,-9.71551727957376e-11
R_EX_cyst__L_e,-9.923883936835409e-11
R_EX_Lcyst_e,-9.78985781330266e-11
R_EX_cytd_e,-9.9253938401489e-11
R_EX_abt__L_e,-8.761613656815825e-11
R_EX_etoh_e,-8.729017508812831e-11
R_EX_dad_2_e,-9.954881363682944e-11
R_EX_dcyt_e,-9.93027882145725e-11
R_EX_fe2_e,-8.888534352990973e-11
R_EX_dextrin_e,-9.843681425536488e-11
R_EX_dha_e,-9.086509322742131e-11
R_EX_ac_e,2.793765219166744e-10
R_EX_acac_e,-9.523848376602473e-11
R_EX_fe3_e,-0.001966499999999982
R_EX_ferrich_e,-6.66640076474323e-11
R_EX_diact_e,-4.999911595859885e-11
R_EX_djenk_e,-6.66640076474323e-11
R_EX_ferxa_e,-6.66640076474323e-11
R_EX_fol_e,-9.973977199706496e-11
R_EX_acgam_e,-9.849632220948479e-11
R_EX_acmana_e,-9.8590469121973e-11
R_EX_acnam_e,-9.870504413811432e-11
R_EX_for_e,3.8623160736075572
R_EX_fru_e,-9.394884870062015e-11
R_EX_actn__R_e,-9.64917035162216e-11
R_EX_ade_e,-9.944933765382302e-11
R_EX_adn_e,-9.953282642527483e-11
R_EX_akg_e,-8.904876835913456e-11
R_EX_ala_B_e,-9.621992091979337e-11
R_EX_ala__D_e,-9.668710276855563e-11
R_EX_ala_L_Thr__L_e,-6.66640076474323e-11
R_EX_ala_L_asp__L_e,-6.66640076474323e-11
R_EX_ala__L_e,-9.667111555700103e-11
R_EX_ala_L_gln__L_e,-9.913048160115068e-11
R_EX_ala_L_glu__L_e,-6.66640076474323e-11
R_EX_L_alagly_e,-9.852918481101369e-11
R_EX_ala_L_his__L_e,-9.942002776597292e-11
R_EX_ala_L_leu__L_e,-9.915446241848258e-11
R_EX_g6p_e,-9.699530068019158e-11
R_EX_gal_e,-9.383072097080003e-11
R_EX_galctr__D_e,1.168842462620725
