,Reaction_ID,forward,reverse
R_EX_etha_e,R_EX_etha_e,4.534089954982082,4.534089955078879
R_EX_drib_e,R_EX_drib_e,4.534089954983099,4.534089955077862
R_EX_csn_e,R_EX_csn_e,4.534089954980975,4.534089955079986
R_EX_5mtr_e,R_EX_5mtr_e,4.534089954981127,4.534089955079834
R_EX_dtmp_e,R_EX_dtmp_e,4.534089954980826,4.534089955080135
R_EX_6pgc_e,R_EX_6pgc_e,4.534089954982811,4.53408995507815
R_EX_ctbt_e,R_EX_ctbt_e,4.534089954997148,4.534089955063812
R_EX_cu2_e,R_EX_cu2_e,4.534089954997148,4.534089955063813
R_EX_Larab_e,R_EX_Larab_e,4.534089954981284,4.5340899550796765
R_EX_ectoine_e,R_EX_ectoine_e,4.534089954997148,4.534089955063812
R_EX_cys__D_e,R_EX_cys__D_e,4.534089955005481,4.53408995505548
R_EX_cys__L_e,R_EX_cys__L_e,4.534089954981099,4.5340899550798595
R_EX_eths_e,R_EX_eths_e,4.534089954981902,4.534089955079057
R_EX_cyst__L_e,R_EX_cyst__L_e,4.53408995498086,4.534089955080099
R_EX_Lcyst_e,R_EX_Lcyst_e,4.534089954981531,4.53408995507943
R_EX_cytd_e,R_EX_cytd_e,4.534089954980853,4.534089955080107
R_EX_abt__L_e,R_EX_abt__L_e,4.534089954986672,4.534089955074288
R_EX_etoh_e,R_EX_etoh_e,4.534089954986835,4.534089955074125
R_EX_dad_2_e,R_EX_dad_2_e,4.534089954980706,4.534089955080255
R_EX_dcyt_e,R_EX_dcyt_e,4.5340899549808285,4.534089955080131
R_EX_fe2_e,R_EX_fe2_e,4.534089954986038,4.534089955074923
R_EX_dextrin_e,R_EX_dextrin_e,4.534089954981262,4.534089955079699
R_EX_dha_e,R_EX_dha_e,4.534089954985047,4.534089955075912
R_EX_ac_e,R_EX_ac_e,4.5340899551701686,4.534089954890792
R_EX_acac_e,R_EX_acac_e,4.534089954982861,4.534089955078099
R_EX_fe3_e,R_EX_fe3_e,4.533106811642894,4.535073311642894
R_EX_ferrich_e,R_EX_ferrich_e,4.534089954997148,4.534089955063812
