,Lagrange_coef
2aobut_c,-3.9101928270048414
2cpr5p_c,-14.00480640872265
2dda7p_c,-3.2067037490211554
2ddg6p_c,-2.749613081350217
2ddglcn_c,-0.7807622299519349
2ddglcn_e,-0.7241800933214345
2dhp_c,-2.4437680138761886
2dmmq7_c,-55.423826220752645
2dr1p_c,-3.187188121722314
2dr5p_c,-3.218510344894068
2h3k5m_c,-9.310315940358452
2h3opp_c,-0.13181028906709286
2hbut_c,-1.348486455990096
2hxmp_c,-3305.262848219142
2hxmp_e,-3305.206266082522
2ins_c,-0.7529303870617615
2ippm_c,-4.100271845971445
2kmb_c,-6.6359783246448565
4r5au_c,-14.312385812765312
5aizc_c,-14.212586279320542
10fthf_c,-35.79819229817699
2maacoa_c,-47.554790311222206
5aop_c,-4.668283250423
5aprbu_c,-15.996209765935644
5apru_c,-16.45401310787501
2mahmp_c,-17.236792194639172
12d3k5m_c,-7.597580434975829
2mb2coa_c,-48.45722690160112
12dag3p_BS_c,-3420.853622864774
12dgr_BS_c,-3235.600612570241
2mbcoa_c,-48.02380697917701
13dpg_c,-3.1347191567657235
14bxyl_c,-1.5787398277584368
5d4dglcr_c,-0.8193690219349029
5dh4dglcn_c,-1.1779844065856917
2mcit_c,-0.8840092789713458
2me4p_c,-2.82587535116837
2mecdp_c,-6.792560391700564
2mp2coa_c,-47.20513906589109
14glun_c,-1.6690381486985653
2o3mpt_c,-3.6788936548272906
15dap_c,-9.07084845936241
2obut_c,-1.7457086326238518
1ag3p_BS_c,-1802.4535289949627
5mcsn_c,-11.430006877771275
2p4c2me_c,-20.993781070124626
1p3h5c_c,-1.0938141057318609
2pcpgc_c,2.014094818224869
1pyr5c_c,-5.974246461508856
2pg_c,-1.229342769006077
2pg_e,-1.1727606323793747
23camp_c,-23.16864987807049
2pglyc_c,-1.3900146437014063
23ccmp_c,-15.286344362902904
2pglyc_e,-1.3334325070746
23cgmp_c,-22.31191762127003
2shchc_c,-8.798549690051024
23cump_c,-12.27514317838183
5mdr1p_c,-8.04680229853326
34hpp_c,-8.631217739566564
5mdru1p_c,-8.046802298533176
23ddhb_c,-5.889253020073136
36dahx_c,-8.467157742032931
23dhb_c,-6.286475196706898
23dhba_c,-29.795523622420255
5mta_c,-25.442370955239433
