,0
R_EX_etha_e,-9.663203570653423e-11
R_EX_drib_e,-8.923528582727158e-11
R_EX_csn_e,-9.910294807013997e-11
R_EX_5mtr_e,-9.847500592741198e-11
R_EX_dtmp_e,-9.92947946087952e-11
R_EX_6pgc_e,-9.334399919680436e-11
R_EX_ctbt_e,-6.66640076474323e-11
R_EX_cu2_e,-6.66640076474323e-11
R_EX_Larab_e,-9.668532641171623e-11
R_EX_ectoine_e,-6.66640076474323e-11
R_EX_cys__D_e,-4.999822778017915e-11
R_EX_cys__L_e,-9.867484607184451e-11
R_EX_eths_e,-9.656631050347642e-11
R_EX_cyst__L_e,-9.921841126470099e-11
R_EX_Lcyst_e,-9.7873709137275e-11
R_EX_cytd_e,-9.92566029367481e-11
R_EX_abt__L_e,0.2132776718138043
R_EX_etoh_e,-8.492584413488657e-11
R_EX_dad_2_e,-9.956391266996434e-11
R_EX_dcyt_e,-9.93098936419301e-11
R_EX_fe2_e,-8.888445535149003e-11
R_EX_dextrin_e,-9.629808062072698e-11
R_EX_dha_e,-8.023981479254871e-11
R_EX_ac_e,7.958345094039032e-11
R_EX_acac_e,-9.440626058676571e-11
R_EX_fe3_e,-0.002587499999999743
R_EX_ferrich_e,-6.66640076474323e-11
R_EX_diact_e,-4.999822778017915e-11
R_EX_djenk_e,-6.66640076474323e-11
R_EX_ferxa_e,-6.66640076474323e-11
R_EX_fol_e,-9.974865378126196e-11
R_EX_acgam_e,-9.804779210753622e-11
R_EX_acmana_e,-9.827783031823856e-11
R_EX_acnam_e,-9.852030302681669e-11
R_EX_for_e,2.9949967874658223
R_EX_fru_e,-6.914735450891385e-11
R_EX_actn__R_e,-9.584155691300111e-11
R_EX_ade_e,-9.949729928848683e-11
R_EX_adn_e,-9.954792545840974e-11
R_EX_akg_e,-9.049649918324576e-11
R_EX_ala_B_e,-9.670486633694964e-11
R_EX_ala__D_e,-9.700418246438858e-11
R_EX_ala_L_Thr__L_e,-6.66640076474323e-11
R_EX_ala_L_asp__L_e,-6.66640076474323e-11
R_EX_ala__L_e,-9.700595882122798e-11
R_EX_ala_L_gln__L_e,-9.917933141423418e-11
R_EX_ala_L_glu__L_e,-6.66640076474323e-11
R_EX_L_alagly_e,-9.864198347031561e-11
R_EX_ala_L_his__L_e,-9.943867951278662e-11
R_EX_ala_L_leu__L_e,-9.916956145161748e-11
R_EX_g6p_e,-9.395417777113835e-11
R_EX_gal_e,0.017500801825521606
R_EX_galctr__D_e,1.1672951942036107
R_EX_galt_e,0.2511269997880232
R_EX_galur_e,0.20860017814955967
R_EX_gam6p_e,-9.830891656292806e-11
R_EX_gam_e,-9.72093516793393e-11
R_EX_gbbtn_e,-6.66640076474323e-11
R_EX_glc__D_e,-5.930000000000001
R_EX_glcn__D_e,2.092323942930746
R_EX_glcr_e,1.1415360194462703
R_EX_glcur_e,0.2228464601818887
R_EX_gln__L_e,-9.85691528399002e-11
R_EX_glu__D_e,-9.747846974050844e-11
R_EX_alaala_e,-9.866685246606721e-11
R_EX_alltn_e,-9.920508858840549e-11
R_EX_amp_e,-9.958611713045684e-11
R_EX_amylase_e,-4.999822778017915e-11
R_EX_fum_e,-7.833289572545254e-11
R_EX_antim_e,-6.6664895825852e-11
R_EX_g1p_e,-9.404210743468866e-11
R_EX_glu__L_e,-9.746159435053414e-11
R_EX_arab__D_e,-7.567191318003097e-11
R_EX_arab__L_e,-4.4421355482882063e-11
R_EX_arbt_e,-6.66640076474323e-11
R_EX_arg__L_e,-9.9307229106671e-11
R_EX_argp_e,-9.940315237599862e-11
R_EX_arsenb_e,-6.66640076474323e-11
R_EX_arsna_e,-6.6664895825852e-11
R_EX_arsni2_e,-6.66640076474323e-11
R_EX_asn__L_e,-9.828937663769466e-11
R_EX_asp__L_e,-9.57820489588812e-11
R_EX_bilea_e,-6.66640076474323e-11
R_EX_btd_RR_e,-9.475176199202906e-11
R_EX_glx_e,1.1067991107516306
R_EX_buts_e,-9.804068668017862e-11
R_EX_ca2_e,-0.002403750000000038
R_EX_cbl2_e,-6.66640076474323e-11
R_EX_pur_e,-6.6664895825852e-11
R_EX_pyr_e,-7.58806351086605e-11
R_EX_cd2_e,-6.66640076474323e-11
R_EX_gly_asn__L_e,-6.66640076474323e-11
R_EX_cellb_e,-8.765699277546446e-11
R_EX_cgly_e,-7.777334332104147e-11
R_EX_raffin_e,-9.671552447798604e-11
R_EX_rib__D_e,-7.824318970506283e-11
R_EX_gly_asp__L_e,-6.66640076474323e-11
R_EX_ribflv_e,-9.963496694354035e-11
R_EX_chitob_e,-4.999822778017915e-11
R_EX_gly_e,-9.596679007017883e-11
R_EX_chol_e,-7.499778575947857e-11
R_EX_rmn_e,-9.1485041764372e-11
R_EX_gly_gln__L_e,-9.911715892485518e-11
R_EX_chols_e,-6.66640076474323e-11
R_EX_chor_e,-9.879741469376313e-11
R_EX_cit_e,0.89133022919028
R_EX_salcn_e,-6.66640076474323e-11
R_EX_gly_glu__L_e,-6.66640076474323e-11
R_EX_sbt__D_e,0.5157733551265924
R_EX_ser__D_e,-9.57287582536992e-11
R_EX_citr__L_e,-9.910294807013997e-11
R_EX_cmp_e,-9.935696709817421e-11
R_EX_ser__L_e,-9.587086680085122e-11
R_EX_gly_met__L_e,-9.92912418951164e-11
R_EX_so4_e,-0.12773699861449028
R_EX_spmd_e,-9.936673706079091e-11
R_EX_co2_e,2.619539838501027
R_EX_cobalt2_e,-6.66640076474323e-11
R_EX_crn_e,-6.66640076474323e-11
R_EX_cro4_e,-6.66640076474323e-11
R_EX_srb__L_e,-4.503686312773425e-11
R_EX_starch_e,-9.629808062072698e-11
R_EX_subtilisin_e,-4.999822778017915e-11
R_EX_succ_e,-7.288747383427108e-11
R_EX_sucr_e,-9.3644203502663e-11
R_EX_gly_pro__L_e,-6.66640076474323e-11
R_EX_sula_e,-9.374989673460732e-11
R_EX_taur_e,-9.812595180846984e-11
R_EX_glyb_e,-7.499778575947857e-11
R_EX_thiog_e,-6.66640076474323e-11
R_EX_glyc3p_e,-9.490364050179778e-11
R_EX_glyc_e,0.46890144705483383
R_EX_glyclt_e,2.0952850565766874
R_EX_glycogen_e,-9.455281002601623e-11
R_EX_gmp_e,-9.956657720522344e-11
R_EX_gsn_e,-9.952749735475663e-11
R_EX_thr__L_e,-9.736211836752773e-11
R_EX_gthox_e,-2.7778668254541117e-11
R_EX_thym_e,-9.890577246096655e-11
R_EX_gthrd_e,-7.777423149946117e-11
R_EX_thymd_e,-9.917844323581448e-11
R_EX_gua_e,-9.947065393589583e-11
R_EX_tmp_e,-9.835865455443127e-11
R_EX_tre_e,-9.2228447101661e-11
R_EX_trp__L_e,-9.946976575747613e-11
R_EX_h2o2_e,-7.221778730581718e-11
R_EX_tyr__L_e,-9.918998955527059e-11
R_EX_h2o_e,7.401818755224385
R_EX_ump_e,-9.918110777107358e-11
R_EX_ura_e,-9.875034123751902e-11
R_3UMPt6,9.916512055951898e-11
R_EX_h_e,-0.7695823126200496
R_5MTRt2,9.847500592741198e-11
R_6PGCt6,9.334399919680436e-11
R_EX_urate_e,-9.93081172850907e-11
R_2HXMPt6,3.3332447912926e-11
R_EX_hexs_e,-7.999645390555088e-11
R_2PGLYCt6,9.318235072441894e-11
R_2PGt6,9.224798702689441e-11
R_3AMPt6,9.958256441677804e-11
R_3CMPt6,9.934630895713781e-11
R_EX_urea_e,-9.792877619929641e-11
R_EX_uri_e,-9.901324204975026e-11
R_EX_val__L_e,-9.820055879572465e-11
R_EX_xan_e,-9.935519074133481e-11
R_EX_xtsn_e,-9.943690315594722e-11
R_EX_xyl__D_e,-6.042633060587832e-11
R_EX_zn2_e,-6.66640076474323e-11
R_3GMPt6,9.956568902680374e-11
R_3PGt6,9.204903506088158e-11
R_ABTt_1,-0.2132776718138043
R_F6Pt6_2,9.493472674648729e-11
R_EX_hg2_e,-6.66640076474323e-11
R_EX_his__L_e,-9.922729304889799e-11
R_EX_hqn_e,-6.66640076474323e-11
R_EX_hxan_e,-9.939427059180161e-11
R_PHEt2r,9.92503856878102e-11
R_ACACt2,9.440626058676571e-11
R_EX_icit_e,0.37631352550539265
R_2S6HCCi,0.00019949999999990808
R_26DPAi,0.0
R_3AMBAt2,3.3332447912926e-11
R_FDH,-2.227291009035312
R_FDMO_1,9.498268838115109e-11
R_EX_ile__L_e,-9.85522774499259e-11
R_AAMYL_1,9.629852470993683e-11
R_EX_inost_e,-6.960743093031851e-11
R_EX_ins_e,-9.946710122221702e-11
R_EX_istnt_e,-9.600142902854714e-11
R_ABTA,9.774447917720863e-11
R_EX_k_e,-0.5297340000000004
R_EX_lac__L_e,0.5037348689182499
R_EX_lanth_e,-6.66640076474323e-11
R_FBA,1.220324192697814
R_EX_lcts_e,-9.055778349420507e-11
R_FBA2,0.9945018746704912
R_FBP,-2.561637027730663
R_FCLT_2,5.555289561698373e-11
R_FDMO1,9.656675459268627e-11
R_FDMO2_1,9.804068668017862e-11
R_FDMO3_1,3.999822695277544e-11
R_AB6PGH,0.0
R_ABUTD,0.0
R_MACCOAT,-0.030350168164819724
R_ACACT2r,0.05635196184501501
R_ACACT3r,0.05635196184501501
R_ACACT4r,0.05635196184501501
R_ACACT5r_1,0.05635196184501501
R_ACACT6r_1,0.05635196184501501
R_ACACT7r,0.015941625397042802
R_FDMO4_1,1.9599832867811529e-10
R_FDMO5_1,9.374945264539747e-11
R_FDMO6_1,9.600187311775699e-11
R_ACACT1r,0.056351961652568505
R_ACCOAC,0.5514006035870223
R_EX_leu__L_e,-9.86020154414291e-11
R_ACGApts,9.804779210753622e-11
R_ACGK,-0.20318204493073733
R_FE2abc,7.777423149946117e-11
R_EX_lipt_e,-6.66640076474323e-11
R_ACGS,-0.6141757389467282
