,0
R_EX_etha_e,-7.51843032276156e-11
R_EX_drib_e,6.970957144858403e-11
R_EX_csn_e,-9.171330361823493e-11
R_EX_5mtr_e,2.857980518911063e-11
R_EX_dtmp_e,-9.14566200549416e-11
R_EX_6pgc_e,-7.613998320721294e-11
R_EX_ctbt_e,-6.6664895825852e-11
R_EX_cu2_e,-6.6664895825852e-11
R_EX_Larab_e,-7.277023428287066e-11
R_EX_ectoine_e,-6.6664895825852e-11
R_EX_cys__D_e,-4.999822778017915e-11
R_EX_cys__L_e,-7.401013135677204e-11
R_EX_eths_e,0.006269970247923418
R_EX_cyst__L_e,-8.892797609405534e-11
R_EX_Lcyst_e,-6.935874097280248e-11
R_EX_cytd_e,-9.311840187820053e-11
R_EX_abt__L_e,-7.292921821999698e-11
R_EX_etoh_e,-4.028777311759768e-11
R_EX_dad_2_e,-9.580425341937371e-11
R_EX_dcyt_e,-9.351808216706559e-11
R_EX_fe2_e,-8.888534352990973e-11
R_EX_dextrin_e,-7.672795732105442e-11
R_EX_dha_e,-5.3503868002735544e-11
R_EX_ac_e,0.0524213601804977
R_EX_acac_e,0.1778756325064652
R_EX_fe3_e,-0.0005864999999998233
R_EX_ferrich_e,-6.6664895825852e-11
R_EX_diact_e,-4.999822778017915e-11
R_EX_djenk_e,-6.6664895825852e-11
R_EX_ferxa_e,-6.6664895825852e-11
R_EX_fol_e,-9.746869977789174e-11
R_EX_acgam_e,-8.255351957586754e-11
R_EX_acmana_e,-8.694023279076646e-11
R_EX_acnam_e,-8.623413094710486e-11
R_EX_for_e,0.027428071770751572
R_EX_fru_e,-3.320366204206948e-11
R_EX_actn__R_e,0.07823984116348459
R_EX_ade_e,-9.531042621802044e-11
R_EX_adn_e,-9.5767838104166e-11
R_EX_akg_e,0.13626209041424264
R_EX_ala_B_e,-7.440537075353859e-11
R_EX_ala__D_e,-6.290257204000227e-11
R_EX_ala_L_Thr__L_e,-6.6664895825852e-11
R_EX_ala_L_asp__L_e,-6.6664895825852e-11
