,Lagrange_coef
2aobut_c,-0.5524892593600462
2cpr5p_c,-2.543411088316108
2dda7p_c,-0.9565309036366676
2ddg6p_c,-0.7591975161524863
2ddglcn_c,-0.3881561702373919
2ddglcn_e,-0.3678237678321853
2dhp_c,-0.34477239280379424
2dmmq7_c,-7.948809098692708
2dr1p_c,-0.774100971209404
2dr5p_c,-0.7670987511043402
2h3k5m_c,-1.37332799687278
2h3opp_c,-0.17134058671812247
2hbut_c,-0.15005432147888495
2hxmp_c,-4005.470933626208
2hxmp_e,-4005.45060122381
2ins_c,-0.5952628471551294
2ippm_c,-0.39605175427338196
2kmb_c,-1.072735826369892
4r5au_c,-2.210281873217443
5aizc_c,-2.274864660622791
10fthf_c,-4.6680646370223435
2maacoa_c,-6.6261232184404895
5aop_c,-0.24479350359702806
5aprbu_c,-2.4764858422450966
5apru_c,-2.575529322940693
2mahmp_c,-2.620710286409417
12d3k5m_c,-0.9508721235978831
2mb2coa_c,-6.706388073266306
12dag3p_BS_c,-350.79044728941375
12dgr_BS_c,-319.03198669146303
2mbcoa_c,-6.556345953081093
13dpg_c,-0.8753607928685516
14bxyl_c,-0.6199892217832854
5d4dglcr_c,-0.28945678838735717
5dh4dglcn_c,-0.49657334021873295
2mcit_c,0.16293283493974378
2me4p_c,-0.6382605943288892
2mecdp_c,-1.6274627676619398
2mp2coa_c,-6.632509617574998
14glun_c,-0.8297368285702149
2o3mpt_c,-0.3497316740788091
15dap_c,-0.8915104646851554
2obut_c,-0.2584714914602258
1ag3p_BS_c,-201.90167749083466
5mcsn_c,-1.2852281724759131
2p4c2me_c,-3.717539389836572
1p3h5c_c,-0.08691301234907316
2pcpgc_c,0.20530450591213348
1pyr5c_c,-0.2502881476003841
2pg_c,-0.3472702122279475
2pg_e,-0.3269378098253091
23camp_c,-3.3328142327480332
2pglyc_c,-0.25157487017456515
23ccmp_c,-2.319148020605414
2pglyc_e,-0.23124246777324753
23cgmp_c,-3.3149610216439105
2shchc_c,-1.2214232420689413
23cump_c,-2.1363476736241123
5mdr1p_c,-1.3884583037920726
34hpp_c,-1.6140471037799102
5mdru1p_c,-1.3884583037918048
23ddhb_c,-1.2638015952540282
36dahx_c,-0.9134928450450382
23dhb_c,-1.372218765235369
23dhba_c,-4.924917164398673
5mta_c,-3.2592243336288598
5mthf_c,-4.747719424533196
3amba_c,-4005.159425396221
5mtr_c,-1.0174169579076564
23dhdp_c,-0.7487239430195924
3amba_e,-4005.139092993823
23dhmb_c,-0.13838484783724803
23dhmp_c,-0.2233192124115418
5mtr_e,-0.9970845555028727
3amp_c,-3.0354407311501106
25aics_c,-2.7041720120259876
3amp_e,-3.0151083287446263
25dhpp_c,-2.7590455384709083
6ampenc_c,-0.17504940805665084
3c2hmp_c,-0.2651458809726831
25dop_c,-0.4085960053672117
3c3hmp_c,-0.24471443289460615
6pgc_c,-0.7535350247164444
3c4mop_c,-0.3820957599961438
6pgc_e,-0.7332026223120374
26dap_LL_c,-0.9163397473291425
26dap__M_c,-0.927617331323678
3cmp_c,-2.0217745190074914
3cmp_e,-2.0014421166021825
26dapime_c,-0.9812700020254366
2ahbut_c,-0.3370369026346877
3dhq_c,-0.839004053840616
2ahhmd_c,-3.378894543138285
2ahhmp_c,-2.565470529997643
6pgg_c,-1.679072064261422
6pgl_c,-1.0494593472254545
6pthp_c,-2.7551753753792916
3dhsk_c,-0.9899287037065966
8aonn_c,-0.5935343440927641
3gmp_c,-3.017587520045988
ACP_c,-1.2572004407527915
DPA_c,-0.8571411130009334
3gmp_e,-2.9972551176405053
L_alagly_c,-0.8568213954690159
ala_L_leu__L_c,-1.1496149080847433
ala_L_leu__L_e,-1.0447775312060126
3hbycoa_c,-6.536227851564096
ala_L_met__L_c,-1.8051408077413247
L_alagly_e,-0.7519840185906739
3hdcoa_c,-7.114158472511475
L_sergly_c,-0.8644378243612244
ala_L_phe__L_c,-2.4143299471111983
3hddcoa_c,-7.307372111058761
L_thrgly_c,-0.9884182195774303
3hhcoa_c,-6.727731195416902
Larab_e,-1.457385316687374
3hhdcoa_c,-7.690355255800352
3hmbcoa_c,-6.549796940304833
3hmp_c,-0.03695992888013936
ala_L_ser__L_c,-0.9103734560874474
ala_L_trp__L_c,-3.075754198736445
3hocoa_c,-6.920944833964189
ala_L_tyr__L_c,-2.3787206595196135
ala_L_val__L_c,-1.0597821162508345
Lcyst_c,-0.6635636032297025
3htdcoa_c,-7.500585749606047
3ig3p_c,-2.663968336642527
3mob_c,-0.28082091731012143
Lcyst_e,-0.5587262263518407
3mop_c,-0.3636111832872435
Lglyald_c,-0.24804705130056862
3mtp_c,-0.6390201661413051
3odcoa_c,-7.217117706955377
N1aspmd_c,-1.5136402543728495
alaala_c,-0.8863567643882193
3oddcoa_c,-7.410331345502663
aacoa_c,-6.641799741524151
abt__L_c,-0.3798241435602561
3ohcoa_c,-6.8306904298608035
abt__L_e,-0.37982414355152583
alaala_e,-0.6755646886545639
3ohdcoa_c,-7.795061763329962
alac__S_c,-0.23618698936785665
ac_c,0.06509375163633924
3oocoa_c,-7.023904068408091
alltn_c,-1.507854387168098
3otdcoa_c,-7.6035449840499485
alltn_e,-1.4875219847629693
ac_e,0.0427130770031346
3pg_c,-0.3577982200012179
acac_c,-0.14057876739787695
alltt_c,-1.1693134689362992
3pg_e,-0.33746581759848004
acac_e,-0.12024636500072686
acald_c,-0.11857437415897334
altrn_c,-0.24703457288494932
3php_c,-0.4498098975254012
acamoxm_c,-0.7825163569171589
3psme_c,-1.640574788234055
accoa_c,-6.383416980925736
amacald_c,-0.3151678221240615
3ump_c,-1.8389741720261898
amet_c,-4.35535001027887
ametam_c,-4.333367629910007
acg5p_c,-0.6366423800410759
3ump_e,-1.8186417696209332
acg5sa_c,-0.40585243023142414
amob_c,-3.4117597613032062
46dh25dohxn_c,-0.496573340218733
amp_c,-3.0801256061489304
acgam1p_c,-1.4024832727379934
acgam6p_c,-1.366952842509574
4abut_c,0.017816622374997215
acgam_c,0.05644863893589457
amp_e,-3.059793203743441
4abut_e,0.01937001335900409
acgam_e,-1.0075703293645957
4abutn_c,-0.17113970924158428
acglu_c,-0.11566427377483496
amylase_e,-4724.587831028772
4abz_c,-1.5815049677950046
acmalt_c,-1.632446297534396
4adcho_c,-1.8558637062600052
acmam_c,0.23476031192002114
anth_c,-1.582858455819902
4ahmmp_c,-1.722375690381863
antim_c,-4005.1396390912832
acmama_c,-0.23476031191885668
4ampm_c,-2.093417036266547
acmana_c,-1.1337780005147624
antim_e,-4005.1396390912787
4c2me_c,-3.346450306772288
apoACP_c,1.257200440752802
acmana_e,-1.1134455981098694
acnam_c,-1.3450727462980552
aps_c,-3.5826102746170814
acnam_e,-1.3247403438930125
4hglu_c,0.08691301234906028
acorn_c,-0.5884653226681287
arab__D_c,-0.4607652033679699
4izp_c,-0.6872136556360485
arab__D_e,-0.46076520335875665
acser_c,-0.5761738093339404
4mhetz_c,1.5814797921656232
arab__L_c,-0.4788676242492454
4mop_c,-0.37032910367529953
arab__L_e,-0.40743744690563954
actn__R_c,-0.24244040456805369
4mpetz_c,1.2104384462809392
arbt6p_c,-4006.5612051748353
4pasp_c,-0.7294235218903281
arbt_e,-4006.201822661697
4ppan_c,-0.9608956859304236
arg__L_c,-1.1143051219354747
actn__R_e,-0.24244040456448693
arg__L_e,-1.0698058963239916
4ppcys_c,-2.2355867824404454
argp_c,-1.4853464678093924
actp_c,-0.42170092450304475
cmp_e,-2.0697931693689866
ade_c,-2.1006857783711954
ade_e,-2.080353375965867
adn_c,-2.769236762145953
adn_e,-2.7489043597366365
argp_e,-1.4650140654042745
argsuc_c,-1.1363094760574088
arsenb_c,-4005.2018397279326
arsenb_e,-4005.1373011382616
co2_c,-0.17823428461806803
arsna_c,-4005.1396390912832
adp_c,-3.5224991944378132
adpglc_c,-4.508100938402636
arsna_e,-4005.1396390912787
co2_e,-0.17823428461244467
arsni2_c,-4005.139639162084
adprib_c,-4.349859243558617
agm_c,-1.0923227415630712
co_c,-0.4337156602288728
ahcys_c,-3.9777786887407087
ahdt_c,-3.8508949133347854
arsni2_e,-4005.139639162083
asn__L_c,-0.5560874716706062
coa_c,-6.130682672785448
asn__L_e,-0.535755069266724
asp__L_c,-0.20603882382122587
aicar_c,-2.668282938011143
air_c,-2.1744565523475514
cobalt2_c,-4005.1371208846213
akg_c,0.16152537893470056
asp__L_e,-0.18570642142101698
akg_e,0.11318054664827575
cobalt2_e,-4005.1374805213172
aspsa_c,-0.4951171300742812
cpppg3_c,-1.579797579421188
atp_c,-4.0497924445806825
b2coa_c,-6.679980130758995
ala_B_c,-0.18405644344740188
crn_c,-4005.2401312847364
ala_B_e,-0.1637240410481041
betald_c,-3557.5513166856563
crn_e,-4005.1352939078643
bilea_c,-4005.1727301638707
ala__D_c,-0.31893591740852173
cro4_c,-4005.1198528451614
ala__D_e,-0.2986035150020199
bilea_e,-4005.1376585088938
btal_c,-0.22871844526872961
cro4_e,-4005.1401852475533
btcoa_c,-6.5726556649195915
ala_L_Thr__L_c,-4005.2401312847364
ala_L_Thr__L_e,-4005.1352939078643
csn_c,-1.07341564602676
ala_L_asn__L_c,-1.1304454723777353
btd_RR_c,-0.1340232345846286
csn_e,-1.0530832436182682
btd_RR_e,-0.11369083218798204
ala_L_asp__L_c,-4005.2401312847364
ctbt_c,-4005.2401312847364
ala_L_asp__L_e,-4005.1352939078643
btn_c,-0.22582112485156183
ctbt_e,-4005.1352939078643
but_c,-0.03976211365528271
ala__L_c,-0.3283990264991405
ctp_c,-3.205239514791648
ala__L_e,-0.308066624101259
cu2_c,-4005.039146992298
ala_L_gln__L_c,-0.9346926379665977
ala_L_gln__L_e,-0.8298552610881257
cu2_e,-4005.143984369164
butpi_c,-0.5670553638065604
ala_L_glu__L_c,-4005.2401312847364
cys__D_e,-4724.587831028772
ala_L_glu__L_e,-4005.1352939078643
buts_c,-0.3988799417817933
buts_e,-0.2940425649056134
cys__L_c,-0.9942850719618332
ca2_c,0.033958500508736264
ala_L_his__L_c,-1.7073899495622258
ala_L_his__L_e,-1.6025525726831473
cys__L_e,-0.8894476950832768
ala_L_ile__L_c,-1.1379887203674475
ca2_e,-8.09215921407218e-05
cbasp_c,-0.49815367614258194
cysam_c,-1.1115871188104027
etha_e,-0.2968884941836663
cyst__L_c,-1.5976983270841612
eths_c,-0.28873587067527895
cbl2_c,-4005.2401312847364
cyst__L_e,-1.4928609502051307
cbl2_e,-4005.1352939078643
cbp_c,-0.5701484049696657
eths_e,-0.18389849380122525
etoh_c,-0.019530893484861304
etoh_e,-0.039863295893938284
f1p_c,-0.8928397493235456
cd2_c,-4005.0609419581015
cd2_e,-4005.1407111692006
cytd_c,-1.7555705500031404
cdlp_BS_c,-832.392583924013
f6p_c,-0.9510994967298817
cytd_e,-1.7352381476045573
f6p_e,-0.7784299401229394
cdp_c,-2.643499214308579
cdpdag_BS_c,-621.792124862282
d12dg_BS_c,-484.268459453922
dad_2_c,-2.742128088055768
fa10_c,-1.3653818927844608
dad_2_e,-2.7217956856464567
fa10coa_c,-7.812385454326097
cdpglyc_c,-3.2481526427469523
dadp_c,-3.5671744952047804
fa11_c,-1.2992867045742094
damp_c,-3.0521717791717347
fa11coa_c,-7.7463983706282775
cellb_e,-1.3040574740430135
dann_c,-1.537124593068428
fa12_c,-1.2672622519732506
datp_c,-4.091854236120458
fa12coa_c,-7.7145283530425734
cgly_c,-2710.06449090157
db4p_c,-0.7743116993620607
cgly_e,-2710.0019060119375
fa1_c,-1.001835624435158
dc2coa_c,-7.257910751710891
fa1coa_c,-7.448854629478601
dca_c,0.09447816580831997
fa3_c,-1.1103183980210733
ch4s_c,-0.6229312999242091
dcal_c,-0.09447816580826186
chitob_c,-0.0282243194679482
fa3coa_c,-7.557630829593919
fa4_c,-1.078511318823649
dcamp_c,-3.120780972826582
fa4coa_c,-7.5260399594025635
chitob_e,-4724.587831028772
dccoa_c,-7.152296580561451
chol_c,-3557.2051744731093
fa5_c,-1.2904995338232557
dcdp_c,-2.659933468952896
fa5coa_c,-7.737503095364892
chol_e,-3557.100337096235
dcmp_c,-2.1199912001730405
chols_c,-4005.2401312847364
fa6_c,-1.1917277707842708
fa6coa_c,-7.638808549834861
dctp_c,-3.1844101059425656
fa9_c,-1.3979497805597365
chols_e,-4005.1352939078643
dcyt_c,-1.797194451818728
chor_c,-1.5230358966889703
fa9coa_c,-7.844953342101372
dcyt_e,-1.7768620494201393
fad_c,-7.996966662939007
chor_e,-1.5027034942838344
ddca_c,0.09447816580831997
cit_c,0.022334974956529023
fadh2_c,-7.650824450391925
fald_c,-0.09019927724702677
ddcal_c,-0.09447816580826186
fdp_c,-1.2771762140611447
cit_e,0.04302701405152467
ddcoa_c,-7.3455102191087365
citr__L_c,-0.780623076808848
fe2_c,-2562.4860678550513
dextrin_c,-1.4812878346233933
fe2_e,-2562.381230478174
citr__L_e,-0.7602906744043906
dextrin_e,-1.4609554322075131
cmp_c,-2.0901255717743124
fe3_c,-0.031857297494309794
fe3_e,-8.710938724587257e-05
dgdp_c,-3.576227535128899
ferrich_c,-4005.2401312847364
dgmp_c,-3.0451129452801062
ferrich_e,-4005.1352939078643
dgsn_c,-2.7234606500434246
ferxa_c,-4005.2401312847364
ggdp_c,-4.186754973458129
dgtp_c,-4.100704382237218
ferxa_e,-4005.1352939078643
fgam_c,-1.6975756607077028
dha_c,-0.3775488012614997
ficytcc_c,-0.11040630230371738
glc__D_c,-0.5995223199864215
dha_e,-0.3775488012527856
fmet_c,-1.2731473500062627
dhap_c,-0.6437527702833485
fmettrna_c,-0.6352490395725325
dhf_c,-4.580547731683772
fmnRD_c,-4.3452247831538084
glc__D_e,-0.603803375791044
dhna_c,-1.6788888434617382
glcn__D_c,-0.38249367882106855
fmn_c,-4.444268263775703
focytcc_c,0.11040630230080715
dhnpt_c,-2.7397849578702287
glcn__D_e,-0.36216127642084095
dhor__S_c,-0.7987078761372016
glcr_c,-0.1483351910427121
glcr_e,-0.12800278864334363
dhpt_c,-4.307062760939378
glcur_c,-0.35545174284570075
fol_c,-4.835843116614096
diact_e,-4724.587831028772
glcur_e,-0.33511934043906605
glcurn_c,-0.6346650242572166
diala__L_c,-0.9027570272062697
gln__L_c,-0.36033463727064197
diasprm_c,-2.5280140502779127
gln__L_e,-0.25549726039499887
fol_e,-4.815510714208481
dimp_c,-3.091911965002749
for_c,0.09875705436766989
glu1sa_c,-0.24479350356547344
glu5p_c,-0.5440768541715177
din_c,-2.564618714859879
glu5sa_c,-0.2988776877181745
for_e,0.04912838678198738
djenk_c,-4005.2401312847364
forglu_c,-0.49504836020132403
fpram_c,-1.9525680262541578
glu__D_c,-0.02892992805878419
djenk_e,-4005.1352939078643
glu__D_e,-0.008597525775827595
fprica_c,-2.7949754036391656
dkmpp_c,-1.5295799011312616
frdp_c,-3.303398520515633
glu__L_c,-0.027516095381358453
dmlz_c,-3.141754395559841
glu__L_e,0.0658547807737047
frmd_c,-0.2758714584128257
dmpp_c,-1.5366841811819978
fru_c,-0.5855547178507333
glutrna_c,-0.17191849209430668
glx_c,-0.11009305730768892
dnad_c,-5.645672733790016
glx_e,-0.08976065491348571
