,0
R_EX_etha_e,-6.936851093541918e-11
R_EX_drib_e,-6.87725432158004e-11
R_EX_csn_e,-9.136513767771248e-11
R_EX_5mtr_e,-9.088108043897591e-11
R_EX_dtmp_e,-9.551648361139087e-11
R_EX_6pgc_e,-8.759926117818395e-11
R_EX_ctbt_e,-6.6664895825852e-11
R_EX_cu2_e,-6.6664895825852e-11
R_EX_Larab_e,-9.376055487564372e-11
R_EX_ectoine_e,-6.6664895825852e-11
R_EX_cys__D_e,-4.999822778017915e-11
R_EX_cys__L_e,-8.977707466328866e-11
R_EX_eths_e,-5.054978657881293e-11
R_EX_cyst__L_e,-9.390888067173364e-11
R_EX_Lcyst_e,-8.37259150898717e-11
R_EX_cytd_e,-9.475975559780636e-11
R_EX_abt__L_e,-7.605915897102022e-11
R_EX_etoh_e,1.282849382278073e-10
R_EX_dad_2_e,-9.665868105912523e-11
R_EX_dcyt_e,-9.488232421972498e-11
R_EX_fe2_e,-8.888623170832943e-11
R_EX_dextrin_e,-9.377654208719832e-11
R_EX_dha_e,-7.59170504238682e-11
R_EX_ac_e,0.37222883350462777
R_EX_acac_e,-2.4376944907089637e-11
R_EX_fe3_e,-0.0007590000000003982
R_EX_ferrich_e,-6.6664895825852e-11
R_EX_diact_e,-4.999822778017915e-11
R_EX_djenk_e,-6.6664895825852e-11
R_EX_ferxa_e,-6.6664895825852e-11
R_EX_fol_e,-9.811174095375463e-11
R_EX_acgam_e,-9.097611552988383e-11
R_EX_acmana_e,-9.183409588331415e-11
R_EX_acnam_e,-9.313616544659453e-11
R_EX_for_e,0.4281779486869235
R_EX_fru_e,-8.2954976221572e-11
R_EX_actn__R_e,-6.249223361010081e-11
R_EX_ade_e,-9.562928227069278e-11
R_EX_adn_e,-9.669243183907383e-11
R_EX_akg_e,0.9881336839314931
R_EX_ala_B_e,-4.4443559943374567e-11
R_EX_ala__D_e,-6.95452584409395e-11
R_EX_ala_L_Thr__L_e,-6.6664895825852e-11
R_EX_ala_L_asp__L_e,-6.6664895825852e-11
R_EX_ala__L_e,-7.048139849530344e-11
R_EX_ala_L_gln__L_e,-8.904166293177695e-11
R_EX_ala_L_glu__L_e,-6.6664895825852e-11
R_EX_L_alagly_e,-8.79083472682396e-11
R_EX_ala_L_his__L_e,-9.43263245289927e-11
R_EX_ala_L_leu__L_e,-9.129674793939557e-11
R_EX_g6p_e,-8.829026398871065e-11
R_EX_gal_e,-8.403056028782885e-11
R_EX_galctr__D_e,-2.894751105486648e-11
R_EX_galt_e,-7.961009629298132e-11
R_EX_galur_e,-7.286526937377857e-11
R_EX_gam6p_e,-9.295675340581511e-11
R_EX_gam_e,-9.023892744153272e-11
R_EX_gbbtn_e,-6.6664895825852e-11
R_EX_glc__D_e,-8.494094316802148e-11
R_EX_glcn__D_e,-7.489120434911456e-11
