,Reaction_ID,forward,reverse
R_EX_etha_e,R_EX_etha_e,4.355992364313347,4.355992364382716
R_EX_drib_e,R_EX_drib_e,4.355992364313645,4.355992364382417
R_EX_csn_e,R_EX_csn_e,4.355992364302349,4.355992364393714
R_EX_5mtr_e,R_EX_5mtr_e,4.35599236430259,4.3559923643934715
R_EX_dtmp_e,R_EX_dtmp_e,4.355992364300273,4.35599236439579
R_EX_6pgc_e,R_EX_6pgc_e,4.355992364304232,4.355992364391831
R_EX_ctbt_e,R_EX_ctbt_e,4.355992364314699,4.355992364381364
R_EX_cu2_e,R_EX_cu2_e,4.355992364314699,4.355992364381364
R_EX_Larab_e,R_EX_Larab_e,4.3559923643011516,4.355992364394912
R_EX_ectoine_e,R_EX_ectoine_e,4.355992364314699,4.355992364381364
R_EX_cys__D_e,R_EX_cys__D_e,4.355992364323032,4.35599236437303
R_EX_cys__L_e,R_EX_cys__L_e,4.355992364303143,4.35599236439292
R_EX_eths_e,R_EX_eths_e,4.3559923643227565,4.355992364373306
R_EX_cyst__L_e,R_EX_cyst__L_e,4.355992364301077,4.355992364394986
R_EX_Lcyst_e,R_EX_Lcyst_e,4.355992364306168,4.355992364389894
R_EX_cytd_e,R_EX_cytd_e,4.3559923643006515,4.355992364395411
R_EX_abt__L_e,R_EX_abt__L_e,4.355992364310001,4.3559923643860605
R_EX_etoh_e,R_EX_etoh_e,4.355992364412174,4.355992364283889
R_EX_dad_2_e,R_EX_dad_2_e,4.355992364299702,4.355992364396361
R_EX_dcyt_e,R_EX_dcyt_e,4.35599236430059,4.3559923643954725
R_EX_fe2_e,R_EX_fe2_e,4.355992364303588,4.355992364392474
R_EX_dextrin_e,R_EX_dextrin_e,4.355992364301143,4.355992364394919
R_EX_dha_e,R_EX_dha_e,4.355992364310073,4.35599236438599
R_EX_ac_e,R_EX_ac_e,4.546080936621644,4.173852103117016
R_EX_acac_e,R_EX_acac_e,4.355992364335843,4.35599236436022
R_EX_fe3_e,R_EX_fe3_e,4.35561288087931,4.35637188087931
R_EX_ferrich_e,R_EX_ferrich_e,4.355992364314699,4.355992364381364
R_EX_diact_e,R_EX_diact_e,4.355992364323032,4.35599236437303
R_EX_djenk_e,R_EX_djenk_e,4.355992364314699,4.355992364381364
R_EX_ferxa_e,R_EX_ferxa_e,4.355992364314699,4.355992364381364
R_EX_fol_e,R_EX_fol_e,4.3559923642989755,4.355992364397087
R_EX_acgam_e,R_EX_acgam_e,4.355992364302543,4.3559923643935194
R_EX_acmana_e,R_EX_acmana_e,4.355992364302114,4.355992364393948
