Reaction_ID	Flux
EX_ac_e	3.3287
EX_fru_e	-8.3280
EX_gal_e	0.0000
EX_glc__D_e	0.0000
EX_glyc_e	0.0000
EX_glcn_e	0.0000
EX_pyr_e	0.0000
EX_succ_e	0.0000
EX_fum_e	0.0000
EX_lac__D_e	0.0000
PGI	-6.1979
FBA	5.8670
TPI	5.8670
GAPD	13.4646
PGK	-13.4646
PGM	-12.5985
ENO	12.5985
PDH	9.0688
EDD	0.0000
EDA	0.0000
G6PDH2r	6.1713
PGL	6.1713
GND	6.1713
RPI	-2.3985
RPE	3.7727
TKT1	1.9838
TALA	1.9838
TKT2	1.7889
PPC	3.5457
PPCK	0.3589
CS	4.5683
ACONTa	4.5683
ACONTb	4.5683
ICDHyr	4.5661
AKGDH	3.8749
SUCOAS	-3.8749
SUCDi	3.8771
FUM	3.8771
ICL	0.0022
MALS	0.0022
Growth_rate	0.4924
