Reaction_ID	Flux
EX_ac_e	0.0000
EX_fru_e	0.0000
EX_gal_e	-1.9690
EX_glc__D_e	0.0000
EX_glyc_e	0.0000
EX_glcn_e	0.0000
EX_pyr_e	0.0000
EX_succ_e	0.0000
EX_fum_e	0.0000
EX_lac__D_e	0.0000
PGI	1.3685
FBA	1.5475
TPI	1.5475
GAPD	3.3085
PGK	-3.3085
PGM	-3.0415
ENO	3.0415
PDH	2.9427
EDD	0.1730
EDA	0.1730
G6PDH2r	0.5917
PGL	0.5917
GND	0.4187
RPI	-0.2279
RPE	0.1908
TKT1	0.1322
TALA	0.1322
TKT2	0.0586
PPC	0.3774
PPCK	0.8489
CS	1.5210
ACONTa	1.5210
ACONTb	1.5210
ICDHyr	0.4962
AKGDH	0.2361
SUCOAS	-0.2361
SUCDi	1.2609
FUM	1.2609
ICL	1.0248
MALS	1.0248
Growth_rate	0.1800
