Reaction_ID	Flux
EX_ac_e	0.5970
EX_fru_e	0.0000
EX_gal_e	0.0000
EX_glc__D_e	0.0000
EX_glyc_e	-10.14
EX_glcn_e	0.0000
EX_pyr_e	0.0000
EX_succ_e	0.0000
EX_fum_e	0.0000
EX_lac__D_e	0.0000
PGI	-3.4494
FBA	-1.4957
TPI	8.6403
GAPD	8.0129
PGK	-8.0129
PGM	-7.2588
ENO	7.2588
PDH	4.0977
EDD	0.0146
EDA	0.0146
G6PDH2r	3.4261
PGL	3.4261
GND	3.4115
RPI	-1.4264
RPE	1.9851
TKT1	1.0807
TALA	1.0807
TKT2	0.9044
PPC	1.3765
PPCK	0.0000
CS	2.4648
ACONTa	2.4648
ACONTb	2.4648
ICDHyr	2.4648
AKGDH	1.8405
SUCOAS	-1.8405
SUCDi	1.8405
FUM	1.8405
ICL	0.0000
MALS	0.0000
Growth_rate	0.4900
