Reaction_ID	Flux
EX_ac_e	11.9139
EX_fru_e	0.0000
EX_gal_e	0.0000
EX_glc__D_e	0.0000
EX_glyc_e	0.0000
EX_glcn_e	0.0000
EX_pyr_e	-26.7140
EX_succ_e	0.0000
EX_fum_e	0.0000
EX_lac__D_e	1.1570
PGI	-0.8982
FBA	-0.5870
TPI	-0.5870
GAPD	-1.1293
PGK	1.1293
PGM	1.7891
ENO	-1.7891
PDH	21.0174
EDD	0.0000
EDA	0.0000
G6PDH2r	0.8768
PGL	0.8768
GND	0.8768
RPI	-0.5389
RPE	0.3379
TKT1	0.2477
TALA	0.2477
TKT2	0.0901
PPC	2.4894
PPCK	1.1648
CS	8.0819
ACONTa	8.0819
ACONTb	8.0819
ICDHyr	7.9793
AKGDH	7.4157
SUCOAS	-7.4157
SUCDi	7.5183
FUM	7.5183
ICL	0.1026
MALS	0.1026
Growth_rate	0.3900
