Reaction_ID	Flux
EX_ac_e	-13.5840
EX_fru_e	0.0000
EX_gal_e	0.0000
EX_glc__D_e	0.0000
EX_glyc_e	0.0000
EX_glcn_e	0.0000
EX_pyr_e	0.0000
EX_succ_e	0.0000
EX_fum_e	0.0000
EX_lac__D_e	0.0000
PGI	-3.4233
FBA	-1.8862
TPI	-1.8862
GAPD	-2.2639
PGK	2.2639
PGM	2.7366
ENO	-2.7366
PDH	0.0655
EDD	0.8216
EDA	0.8216
G6PDH2r	3.4083
PGL	3.4083
GND	2.5867
RPI	-1.0293
RPE	1.5574
TKT1	0.8391
TALA	0.8391
TKT2	0.7182
PPC	1.7741
PPCK	3.1143
CS	8.8340
ACONTa	8.8340
ACONTb	8.8340
ICDHyr	4.6964
AKGDH	4.2672
SUCOAS	-4.2672
SUCDi	8.4048
FUM	8.4048
ICL	4.1376
MALS	4.1376
Growth_rate	0.2900
