Reaction_ID	Flux
EX_ac_e	6.8270
EX_fru_e	0.0000
EX_gal_e	0.0000
EX_glc__D_e	-9.6540
EX_glyc_e	0.0000
EX_glcn_e	0.0000
EX_pyr_e	0.0000
EX_succ_e	0.0000
EX_fum_e	0.0000
EX_lac__D_e	0.0000
PGI	5.7000
FBA	7.0585
TPI	7.0585
GAPD	15.7104
PGK	-15.7104
PGM	-14.5577
ENO	14.5577
PDH	11.2985
EDD	1.0870
EDA	1.0870
G6PDH2r	3.9193
PGL	3.9193
GND	2.8323
RPI	-1.4274
RPE	1.4048
TKT1	0.8202
TALA	0.8202
TKT2	0.5846
PPC	2.4533
PPCK	0.5409
CS	2.9780
ACONTa	2.9780
ACONTb	2.9780
ICDHyr	2.9780
AKGDH	2.1381
SUCOAS	-2.1381
SUCDi	2.1381
FUM	2.1381
ICL	0.0000
MALS	0.0000
Growth_rate	0.6500
