Reaction_ID	Flux
EX_ac_e	3.3210
EX_fru_e	0.0000
EX_gal_e	0.0000
EX_glc__D_e	0.0000
EX_glyc_e	0.0000
EX_glcn_e	0.0000
EX_pyr_e	0.0000
EX_succ_e	-15.9020
EX_fum_e	1.1400
EX_lac__D_e	0.0000
PGI	-5.5903
FBA	-2.6916
TPI	-2.6916
GAPD	-3.4151
PGK	3.4151
PGM	4.2739
ENO	-4.2739
PDH	7.7521
EDD	0.6555
EDA	0.6555
G6PDH2r	5.5633
PGL	5.5633
GND	4.9078
RPI	-1.9741
RPE	2.9337
TKT1	1.5639
TALA	1.5639
TKT2	1.3698
PPC	2.0161
PPCK	2.9718
CS	3.1554
ACONTa	3.1554
ACONTb	3.1554
ICDHyr	3.0389
AKGDH	2.3520
SUCOAS	-2.3520
SUCDi	18.3704
FUM	17.2304
ICL	0.1165
MALS	0.1165
Growth_rate	0.5100
