	0
R_EX_cm_e	1.3433221790061975e-11
R_EX_cmp_e	-9.985561166590691e-09
R_EX_co2_e	0.3833229795915531
R_EX_cobalt2_e	-1.743224511334e-07
R_DM_4crsol_c	1.5990762839052086e-06
R_DM_5drib_c	1.557916637597745e-06
R_DM_aacald_c	8.027402446725081e-09
R_DM_amob_c	-9.969672484116818e-09
R_DM_mththf_c	9.616621494317648e-06
R_EX_colipa_e	-9.999696221302782e-09
R_DM_oxam_c	1.957754859359578e-06
R_EX_glc__D_e	-9.977190597040288e-09
R_EX_glcn_e	-9.974197905690036e-09
R_BIOMASS_Ec_iJO1366_WT_53p95M	0.007263268609497298
R_EX_glcr_e	-9.967894710043045e-09
R_EX_colipap_e	-9.784118998973575e-09
R_EX_glcur_e	-9.973687536563201e-09
R_EX_glcur1p_e	-9.975895671696187e-09
R_BIOMASS_Ec_iJO1366_core_53p95M	-9.997658388793463e-09
R_EX_12ppd__R_e	-9.931541729963041e-09
R_EX_gln__L_e	-9.96798355916322e-09
R_EX_cpgn_e	6.9897894045130676e-09
R_EX_glu__L_e	-9.962944237825914e-09
R_EX_gly_e	-9.85746642095864e-09
R_EX_glyald_e	-9.947496315503634e-09
R_EX_glyb_e	1.9798347768341877e-08
R_EX_glyc_e	-9.953356620024475e-09
R_EX_12ppd__S_e	-9.952025637536426e-09
R_EX_14glucan_e	-9.99665582427808e-09
R_EX_cpgn_un_e	-6.954712840833981e-09
R_EX_15dap_e	-9.796661415090735e-09
R_EX_glyc__R_e	-9.918542370499636e-09
R_EX_glyc2p_e	-9.962571236803532e-09
R_EX_23camp_e	-9.988544326235909e-09
R_EX_23ccmp_e	-9.986286114454393e-09
R_EX_23cgmp_e	-9.98826094972351e-09
R_EX_23cump_e	-9.985495588481954e-09
R_EX_23dappa_e	-9.945429897280858e-09
R_EX_26dap__M_e	-9.979716849896456e-09
R_EX_glyc3p_e	-9.95798788422059e-09
R_EX_glyclt_e	-9.77865200526545e-09
R_EX_gmp_e	-9.987734619185614e-09
R_EX_gsn_e	-9.987148262937362e-09
R_EX_gthox_e	-9.994870371482189e-09
R_EX_gthrd_e	-9.988024469375821e-09
R_EX_gtp_e	-9.609561119724883e-09
R_EX_gua_e	-9.968636506505944e-09
R_EX_h_e	-0.3040029413251697
R_EX_h2_e	-8.690331336781638e-09
R_EX_h2o_e	0.5848038130372681
R_EX_h2o2_e	2.973215628579598e-08
R_EX_h2s_e	-9.670185321433066e-09
R_EX_hacolipa_e	-9.886044390423018e-09
R_EX_halipa_e	-9.882383371795937e-09
R_EX_hdca_e	-9.992948246172405e-09
R_EX_hdcea_e	-9.992937061422644e-09
R_EX_hg2_e	3.025934889689353e-11
R_EX_his__L_e	-9.975616203413208e-09
R_EX_2ddglcn_e	-9.974103980794807e-09
R_EX_34dhpac_e	9.842409220450321e-09
R_EX_3amp_e	-9.987958561585382e-09
R_EX_3cmp_e	-9.98544290807806e-09
R_EX_3gmp_e	-9.987646604368494e-09
R_EX_3hcinnm_e	-9.983292956908906e-09
R_EX_3hpp_e	-6.208492617471869e-09
R_EX_3hpppn_e	-9.983491417497168e-09
R_EX_hom__L_e	-9.80434551059836e-09
R_EX_hxa_e	-9.976033556900343e-09
R_EX_hxan_e	-9.969349659433963e-09
R_EX_idon__L_e	-9.973622280466615e-09
R_EX_3ump_e	-9.984550935486143e-09
R_EX_4abut_e	-9.962546316762678e-09
R_EX_4hoxpacd_e	9.84240918374937e-09
R_EX_5dglcn_e	-9.971794209690828e-09
R_EX_5mtr_e	4.897317738462179e-05
R_EX_LalaDglu_e	-9.981648919216518e-09
R_EX_ile__L_e	-9.979930115693405e-09
R_EX_imp_e	-9.987439457827573e-09
R_EX_indole_e	-9.98645434255947e-09
R_EX_inost_e	1.9888033442804353e-08
R_EX_ins_e	-9.986823043678705e-09
R_EX_isetac_e	-9.935985040944566e-09
R_EX_k_e	-0.0013487143975450739
R_EX_LalaDgluMdap_e	-9.990893496627883e-09
R_EX_LalaDgluMdapDala_e	-9.992706825407238e-09
R_EX_LalaLglu_e	-9.98164901576004e-09
R_EX_kdo2lipid4_e	-9.62718088342077e-09
R_EX_ac_e	-0.340221520014074
R_EX_crn_e	-9.996568820311302e-09
R_EX_acac_e	-9.953551898127947e-09
R_EX_acald_e	-9.91171520373985e-09
R_EX_lac__D_e	-9.925669705039468e-09
R_EX_lac__L_e	-9.923480377694813e-09
R_EX_crn__D_e	-9.996563800421131e-09
R_EX_lcts_e	-9.989857520116129e-09
R_EX_acgal_e	1.9664475876429933e-08
R_EX_acgal1p_e	-9.581965670425964e-09
R_EX_acgam_e	-9.982789544048916e-09
R_EX_leu__L_e	-9.976105007520776e-09
R_EX_csn_e	-9.960324113016342e-09
R_EX_acgam1p_e	-9.983768497190408e-09
R_EX_acmana_e	-9.982923596249361e-09
R_EX_acmum_e	-9.988147468691515e-09
R_EX_lipa_e	9.911253014792191e-09
R_EX_cu_e	3.980739365164545e-08
R_EX_lipa_cold_e	-9.677190627737028e-09
R_EX_acnam_e	-9.987853036463194e-09
R_EX_acolipa_e	-9.775371756410392e-09
R_EX_cu2_e	-4.935120555361768e-06
R_EX_acser_e	-9.804372607693626e-09
R_EX_ade_e	-9.972032246416182e-09
R_EX_adn_e	-9.987485149546087e-09
R_EX_adocbl_e	-9.987747990608445e-09
R_EX_ag_e	2.536567621761995e-11
R_EX_lipoate_e	-9.997049311137177e-09
R_EX_lys__L_e	-9.979289572969595e-09
R_EX_lyx__L_e	-9.976714958675674e-09
R_EX_mal__D_e	-9.947894179637323e-09
R_EX_agm_e	-9.976733242136862e-09
R_EX_akg_e	-9.955344364691656e-09
R_EX_cyan_e	-9.128613417610835e-09
R_EX_ala_B_e	-9.94522909974975e-09
R_EX_ala__D_e	-9.939824446932696e-09
R_EX_ala__L_e	-9.935939575983611e-09
R_EX_alaala_e	-9.974954877265514e-09
R_EX_all__D_e	-9.977577618692136e-09
R_EX_alltn_e	-9.933078647691759e-09
R_EX_amp_e	-9.988043022777284e-09
R_EX_anhgm_e	-9.993448432632577e-09
R_EX_arab__L_e	-9.971374582910042e-09
R_EX_mal__L_e	-9.934612895692783e-09
R_EX_malt_e	-9.990193738283023e-09
R_EX_malthx_e	-9.996636955342863e-09
R_EX_maltpt_e	-9.996155733742233e-09
R_EX_malttr_e	-9.993611612169252e-09
R_EX_maltttr_e	-9.995307165437586e-09
R_EX_man_e	-9.977107183974808e-09
R_EX_cynt_e	-9.507314605692855e-09
R_EX_man6p_e	-9.978377498292929e-09
R_EX_manglyc_e	-9.984674374885649e-09
R_EX_melib_e	-9.989498119891038e-09
R_EX_cys__D_e	-9.970129080125633e-09
R_EX_meoh_e	-9.583536054241078e-09
R_EX_met__D_e	1.7806959142471085e-11
R_EX_arbt_e	-2.992522492188506e-11
R_EX_arbtn_e	-6.467105540672123e-09
R_EX_arbtn_fe3_e	6.50260961043954e-09
R_EX_met__L_e	-9.982272137902068e-09
R_EX_cys__L_e	-9.967566033915663e-09
R_EX_metsox_R__L_e	-9.982346988309052e-09
R_EX_metsox_S__L_e	-9.982326803328594e-09
R_EX_mg2_e	-5.99436711598683e-05
R_EX_mincyc_e	1.715178829461008e-11
R_EX_minohp_e	-9.83771814862855e-09
R_EX_mmet_e	-9.985552971977509e-09
R_EX_arg__L_e	-9.977670704893e-09
R_EX_ascb__L_e	-9.977119176591994e-09
R_EX_asn__L_e	-9.950212113151074e-09
R_EX_aso3_e	5.524014199679255e-11
R_EX_asp__L_e	-9.94101104094214e-09
R_EX_btn_e	-9.990978065667633e-09
R_EX_but_e	-9.960281916350881e-09
R_EX_mn2_e	-4.779226147304134e-06
R_EX_mnl_e	-9.978140058214027e-09
R_EX_mobd_e	-9.945616567132322e-07
R_EX_mso3_e	-9.882926992057782e-09
R_EX_n2o_e	-8.281897434548702e-09
R_EX_na1_e	2.5308237207416238e-11
R_EX_nac_e	-9.976101001818203e-09
R_EX_nh4_e	-0.0763236924180674
R_EX_butso3_e	-9.97346672547858e-09
R_EX_ca2_e	-3.596765609741838e-05
R_EX_cbi_e	4.842394350439929e-09
R_EX_cytd_e	-9.984743652824236e-09
R_EX_cbl1_e	-1.611359188358702e-06
R_EX_cd2_e	2.5521734069257314e-11
R_EX_cgly_e	-9.978808982319602e-09
R_EX_ni2_e	-2.2298228089579582e-06
R_EX_nmn_e	-9.989219973884927e-09
R_EX_no_e	-9.039709137392139e-09
R_EX_no2_e	6.471656897055913e-08
R_EX_no3_e	-9.716781243676197e-09
R_EX_novbcn_e	1.7155539270323185e-11
R_EX_o16a4colipa_e	2.3919811343612737e-08
R_EX_o2_e	-0.37569726597312697
R_EX_o2s_e	1.715150785668185e-11
R_EX_ocdca_e	-9.99383404956959e-09
R_EX_ocdcea_e	-9.99382205333237e-09
R_EX_octa_e	-9.98397893822932e-09
R_EX_orn_e	-9.973516528623141e-09
R_EX_orot_e	-9.952078489961227e-09
R_EX_pacald_e	-9.984485131367577e-09
R_EX_peamn_e	-9.985911246553744e-09
R_EX_phe__L_e	-9.98723133910349e-09
R_EX_pheme_e	-9.780494769844756e-09
