	0
R_EX_cm_e	1.495946000229082e-25
R_EX_cmp_e	-9.977477981108686e-09
R_EX_co2_e	0.577208620194917
R_EX_cobalt2_e	-2.951916068589469e-07
R_DM_4crsol_c	2.732830302712296e-06
R_DM_5drib_c	2.7814204659856768e-06
R_DM_aacald_c	4.609712086593827e-09
R_DM_amob_c	1.461642058969437e-08
R_DM_mththf_c	4.692701621334915e-05
R_EX_colipa_e	-9.998238112655787e-09
R_DM_oxam_c	0.0002522591514596105
R_EX_glc__D_e	-9.946702921720531e-09
R_EX_glcn_e	-9.926631191877576e-09
R_BIOMASS_Ec_iJO1366_WT_53p95M	0.012299660701615542
R_EX_glcr_e	-9.928172459596307e-09
R_EX_colipap_e	-9.994779373312386e-09
R_EX_glcur_e	-9.947503299580053e-09
R_EX_glcur1p_e	-9.96130040358552e-09
R_BIOMASS_Ec_iJO1366_core_53p95M	-9.99687467413398e-09
R_EX_12ppd__R_e	4.470043183253395e-06
R_EX_gln__L_e	-9.945235330310687e-09
R_EX_cpgn_e	5.636780163010747e-09
R_EX_glu__L_e	-9.89932925533813e-09
R_EX_gly_e	2.0190730059266158e-09
R_EX_glyald_e	-9.703689278020207e-09
R_EX_glyb_e	1.9718250587581295e-08
R_EX_glyc_e	-9.691930123714475e-09
R_EX_12ppd__S_e	-9.663476908994818e-09
R_EX_14glucan_e	-9.99412981018626e-09
R_EX_cpgn_un_e	-5.636780163012084e-09
R_EX_15dap_e	-9.684148856776412e-09
R_EX_glyc__R_e	-1.7001385978824278e-09
R_EX_glyc2p_e	-9.929091988263102e-09
R_EX_23camp_e	-9.985546429498998e-09
R_EX_23ccmp_e	-9.980106603170252e-09
R_EX_23cgmp_e	-9.985620753147204e-09
R_EX_23cump_e	-9.977364761569587e-09
R_EX_23dappa_e	-9.924105502974262e-09
R_EX_26dap__M_e	-9.959747328336536e-09
R_EX_glyc3p_e	-9.856652097075847e-09
R_EX_glyclt_e	0.00015815403636809696
R_EX_gmp_e	-9.984292440655195e-09
R_EX_gsn_e	-9.982376102803284e-09
R_EX_gthox_e	-9.990059719179343e-09
R_EX_gthrd_e	-9.976994757737275e-09
R_EX_gtp_e	-9.775982182734287e-09
R_EX_gua_e	-9.966962842177905e-09
R_EX_h_e	0.22779914326392245
R_EX_h2_e	3.044836333697274e-08
R_EX_h2o_e	0.9193871775507223
R_EX_h2o2_e	2.9779621402347543e-08
R_EX_h2s_e	1.2958062569545084e-05
R_EX_hacolipa_e	-9.99691054451795e-09
R_EX_halipa_e	-9.956079844642826e-09
R_EX_hdca_e	-9.977973231957903e-09
R_EX_hdcea_e	-9.979831807109606e-09
R_EX_hg2_e	3.9737027752649245e-17
R_EX_his__L_e	-9.948876327303816e-09
R_EX_2ddglcn_e	-9.937895175484563e-09
R_EX_34dhpac_e	9.898545776100456e-09
R_EX_3amp_e	-9.983982220838097e-09
R_EX_3cmp_e	-9.977026191827901e-09
R_EX_3gmp_e	-9.984073395726526e-09
R_EX_3hcinnm_e	-9.975611066837206e-09
R_EX_3hpp_e	0.00014813757693626215
R_EX_3hpppn_e	-9.97461853664841e-09
R_EX_hom__L_e	-9.581836972528086e-09
