	0
R_EX_cm_e	1.3462335862776785e-24
R_EX_cmp_e	-9.991877075800988e-09
R_EX_co2_e	0.4186564052361289
R_EX_cobalt2_e	-3.0289198115561607e-07
R_DM_4crsol_c	2.8043738566592976e-06
R_DM_5drib_c	2.8553639227185054e-06
R_DM_aacald_c	8.966421776893612e-09
R_DM_amob_c	1.5243170170986108e-08
R_DM_mththf_c	1.6891503412700534e-05
R_EX_colipa_e	-9.999605579206031e-09
R_DM_oxam_c	6.196844924657317e-07
R_EX_glc__D_e	-9.986328711938896e-09
R_EX_glcn_e	-0.1558076780724744
R_BIOMASS_Ec_iJO1366_WT_53p95M	0.012620509625716977
R_EX_glcr_e	-9.981981560269922e-09
R_EX_colipap_e	-9.998921030602907e-09
R_EX_glcur_e	-9.98465045641086e-09
R_EX_glcur1p_e	-9.986093483200294e-09
R_BIOMASS_Ec_iJO1366_core_53p95M	-9.998771940002105e-09
R_EX_12ppd__R_e	-9.962297455897452e-09
R_EX_gln__L_e	-9.983022882236068e-09
R_EX_cpgn_e	8.630078294312124e-09
R_EX_glu__L_e	-9.980196639464731e-09
R_EX_gly_e	-9.920396729047762e-09
R_EX_glyald_e	-9.968367382540959e-09
R_EX_glyb_e	1.9838734260957812e-08
R_EX_glyc_e	-9.97187630313689e-09
R_EX_12ppd__S_e	-9.972894855235494e-09
R_EX_14glucan_e	-9.998035601455005e-09
R_EX_cpgn_un_e	-8.630078294315539e-09
R_EX_15dap_e	-9.95677849178895e-09
R_EX_glyc__R_e	-9.953308644218535e-09
R_EX_glyc2p_e	-9.977924079194036e-09
R_EX_23camp_e	-9.993480620513568e-09
R_EX_23ccmp_e	-9.992244863205463e-09
R_EX_23cgmp_e	-9.993337275910713e-09
R_EX_23cump_e	-9.991706319276301e-09
R_EX_23dappa_e	-9.971226646140978e-09
R_EX_26dap__M_e	-9.988980963046034e-09
R_EX_glyc3p_e	-9.975702166521842e-09
R_EX_glyclt_e	-9.87481724050475e-09
R_EX_gmp_e	-9.993067481717112e-09
R_EX_gsn_e	-9.992726259197559e-09
R_EX_gthox_e	-9.996731739156651e-09
R_EX_gthrd_e	-9.99323968328215e-09
R_EX_gtp_e	-9.787107822939636e-09
R_EX_gua_e	-9.984141030797111e-09
R_EX_h_e	-0.08825119144419677
R_EX_h2_e	-9.039170036580933e-09
R_EX_h2o_e	0.7663626442209249
R_EX_h2o2_e	2.9791362253565138e-08
R_EX_h2s_e	-9.846935382074635e-09
R_EX_hacolipa_e	-9.999427135926249e-09
R_EX_halipa_e	-9.9935678877314e-09
R_EX_hdca_e	-9.996011881817397e-09
R_EX_hdcea_e	-9.995993253414265e-09
R_EX_hg2_e	-3.028281790018873e-17
R_EX_his__L_e	-9.986321275776103e-09
R_EX_2ddglcn_e	-9.984760759418749e-09
R_EX_34dhpac_e	9.899499622407885e-09
R_EX_3amp_e	-9.993178160567974e-09
R_EX_3cmp_e	-9.991813309029908e-09
R_EX_3gmp_e	-9.993021066133041e-09
R_EX_3hcinnm_e	-9.990888561656444e-09
R_EX_3hpp_e	-8.03062678545266e-09
R_EX_3hpppn_e	-9.990974828260058e-09
R_EX_hom__L_e	-9.95302596437463e-09
R_EX_hxa_e	-9.987308945613819e-09
R_EX_hxan_e	-9.984212827673271e-09
R_EX_idon__L_e	-9.982872725447692e-09
R_EX_3ump_e	-9.991210949965067e-09
R_EX_4abut_e	-9.979827696379279e-09
R_EX_4hoxpacd_e	9.899499664607463e-09
R_EX_5dglcn_e	-9.981625897613092e-09
R_EX_5mtr_e	8.510271957785605e-05
R_EX_LalaDglu_e	-9.989991806563373e-09
R_EX_ile__L_e	-9.988852022669366e-09
R_EX_imp_e	-9.992845548717177e-09
R_EX_indole_e	-9.992014871382106e-09
R_EX_inost_e	1.991077054121154e-08
R_EX_ins_e	-9.992481590790293e-09
R_EX_isetac_e	-9.963202097825661e-09
R_EX_k_e	-0.002343500480709076
R_EX_LalaDgluMdap_e	-9.994862212707329e-09
R_EX_LalaDgluMdapDala_e	-9.995817824784836e-09
R_EX_LalaLglu_e	-9.989991909675505e-09
R_EX_kdo2lipid4_e	-9.804345714271048e-09
R_EX_ac_e	-9.909963374042292e-09
