	0
R_EX_cm_e	2.1221151769281126e-24
R_EX_cmp_e	-9.990285289906938e-09
R_EX_co2_e	0.27933894104221396
R_EX_cobalt2_e	-3.183377878586157e-07
R_DM_4crsol_c	2.9478917009738737e-06
R_DM_5drib_c	3.0040380013398763e-06
R_DM_aacald_c	8.477571018954103e-09
R_DM_amob_c	1.6530997073216578e-08
R_DM_mththf_c	1.7753904365934897e-05
R_EX_colipa_e	-9.999503744006463e-09
R_DM_oxam_c	4.640825316348368e-06
R_EX_glc__D_e	-9.983250190115472e-09
R_EX_glcn_e	-9.980777061100613e-09
R_BIOMASS_Ec_iJO1366_WT_53p95M	0.013264084909633026
R_EX_glcr_e	-9.977834810306749e-09
R_EX_colipap_e	-9.998558065745647e-09
R_EX_glcur_e	-9.981526626352862e-09
R_EX_glcur1p_e	-9.983601869131339e-09
R_BIOMASS_Ec_iJO1366_core_53p95M	-9.99851832002873e-09
R_EX_12ppd__R_e	-9.94119120659098e-09
R_EX_gln__L_e	-9.979331129225605e-09
R_EX_cpgn_e	7.843659202578095e-09
R_EX_glu__L_e	-9.974913803577477e-09
R_EX_gly_e	-9.8921202547821e-09
R_EX_glyald_e	-9.957182773143751e-09
R_EX_glyb_e	1.9813720372268192e-08
R_EX_glyc_e	-0.27448534894628346
R_EX_12ppd__S_e	-9.96422758296856e-09
R_EX_14glucan_e	-9.99765994671416e-09
R_EX_cpgn_un_e	-7.84365920258142e-09
R_EX_15dap_e	-9.94465529274651e-09
R_EX_glyc__R_e	-9.935024781424388e-09
R_EX_glyc2p_e	-9.972582326938426e-09
R_EX_23camp_e	-9.992380999186567e-09
R_EX_23ccmp_e	-9.990833435220771e-09
R_EX_23cgmp_e	-9.992272511261216e-09
R_EX_23cump_e	-9.990176464050576e-09
R_EX_23dappa_e	-9.965975996763095e-09
R_EX_26dap__M_e	-9.986293533492113e-09
R_EX_glyc3p_e	-9.969474755045833e-09
R_EX_glyclt_e	-9.779652602906387e-09
R_EX_gmp_e	-9.991886345800257e-09
R_EX_gsn_e	-9.991403874627786e-09
R_EX_gthox_e	-9.996019056233905e-09
R_EX_gthrd_e	-9.991652754160876e-09
R_EX_gtp_e	-9.799276567227198e-09
R_EX_gua_e	-9.981412862056538e-09
R_EX_h_e	0.08216668661367461
R_EX_h2_e	-6.808393830395178e-09
R_EX_h2o_e	0.9144955012703089
R_EX_h2o2_e	2.979005975365465e-08
R_EX_h2s_e	-9.709698032317014e-09
R_EX_hacolipa_e	-9.999224044995318e-09
R_EX_halipa_e	-9.991806313786004e-09
R_EX_hdca_e	-9.994814105479783e-09
R_EX_hdcea_e	-9.994843006307619e-09
R_EX_hg2_e	2.8350713926464735e-17
R_EX_his__L_e	-9.982920326805367e-09
R_EX_2ddglcn_e	-9.981292455998702e-09
R_EX_34dhpac_e	9.899452882310156e-09
