	0
R_EX_cm_e	7.911938599964377e-25
R_EX_cmp_e	-9.972900443323122e-09
R_EX_co2_e	0.799038597449092
R_EX_cobalt2_e	-1.5790437554043467e-07
R_DM_4crsol_c	1.4572046609215223e-06
R_DM_5drib_c	1.4600816242855291e-06
R_DM_aacald_c	3.368902660969839e-11
R_DM_amob_c	3.198367923584716e-09
R_DM_mththf_c	4.1626493846891716e-05
R_EX_colipa_e	-9.997994491196652e-09
R_DM_oxam_c	0.0009883602704457365
R_EX_glc__D_e	-9.949267676809667e-09
R_EX_glcn_e	-9.928406541403922e-09
R_BIOMASS_Ec_iJO1366_WT_53p95M	0.00657935939273965
R_EX_glcr_e	-9.915685586965448e-09
R_EX_colipap_e	-9.960250292821778e-09
R_EX_glcur_e	-9.946322257119141e-09
R_EX_glcur1p_e	-9.95957794650835e-09
R_BIOMASS_Ec_iJO1366_core_53p95M	-9.996464022793213e-09
R_EX_12ppd__R_e	7.10818034691056e-06
R_EX_gln__L_e	-9.929644055624324e-09
R_EX_cpgn_e	4.866916218263207e-09
R_EX_glu__L_e	-9.852333236102711e-09
R_EX_gly_e	3.0967294098556065e-07
R_EX_glyald_e	-9.722787553638754e-09
R_EX_glyb_e	1.9725217656854035e-08
R_EX_glyc_e	-9.743240664407613e-09
R_EX_12ppd__S_e	-9.654335574110527e-09
R_EX_14glucan_e	-9.994152105778736e-09
R_EX_cpgn_un_e	-4.866916218263067e-09
R_EX_15dap_e	-9.42580991036563e-09
R_EX_glyc__R_e	1.5481784377576315e-08
R_EX_glyc2p_e	-9.92812452853035e-09
R_EX_23camp_e	-9.982495422169773e-09
R_EX_23ccmp_e	-9.9766928647015e-09
R_EX_23cgmp_e	-9.982833403326167e-09
R_EX_23cump_e	-9.973924157240585e-09
R_EX_23dappa_e	-9.904161734821155e-09
R_EX_26dap__M_e	-9.946448531301741e-09
R_EX_glyc3p_e	-9.846232220093832e-09
R_EX_glyclt_e	0.00039432677808927716
R_EX_gmp_e	-9.980854598603185e-09
R_EX_gsn_e	-9.97823568731323e-09
R_EX_gthox_e	-9.987523345858518e-09
R_EX_gthrd_e	-9.969956952855407e-09
R_EX_gtp_e	-9.761255478030132e-09
R_EX_gua_e	-9.948820326441185e-09
R_EX_h_e	-0.14499596364069633
R_EX_h2_e	2.1382403490498445e-08
R_EX_h2o_e	0.5399216302887189
R_EX_h2o2_e	2.976313055773694e-08
R_EX_h2s_e	0.00015013996738120203
R_EX_hacolipa_e	-9.97823186180583e-09
R_EX_halipa_e	-9.946215997680572e-09
