	0
R_EX_cm_e	2.3977478714468905e-24
R_EX_cmp_e	-9.983724170043844e-09
R_EX_co2_e	0.7116753097484529
R_EX_cobalt2_e	-2.3149190327759148e-07
R_DM_4crsol_c	2.1409507610759885e-06
R_DM_5drib_c	2.168182317215197e-06
R_DM_aacald_c	5.896061565470315e-09
R_DM_amob_c	9.29744876257211e-09
R_DM_mththf_c	1.2905097878632475e-05
R_EX_colipa_e	-9.999100913807474e-09
R_DM_oxam_c	0.00018484510605932132
R_EX_glc__D_e	-9.971967829271806e-09
R_EX_glcn_e	-9.965240406843177e-09
R_BIOMASS_Ec_iJO1366_WT_53p95M	0.009645506384244294
R_EX_glcr_e	-9.957922614653105e-09
R_EX_colipap_e	-9.997355747883961e-09
R_EX_glcur_e	-9.968861001366125e-09
R_EX_glcur1p_e	-9.974072830367887e-09
R_BIOMASS_Ec_iJO1366_core_53p95M	-9.99770738022822e-09
R_EX_12ppd__R_e	-9.515259791508688e-09
R_EX_gln__L_e	-9.96127922401128e-09
R_EX_cpgn_e	5.271796357762553e-09
R_EX_glu__L_e	-9.944130018383506e-09
R_EX_gly_e	-9.38179918444919e-09
R_EX_glyald_e	-9.916644425832592e-09
R_EX_glyb_e	1.9781530388303773e-08
R_EX_glyc_e	-9.925425829774487e-09
R_EX_12ppd__S_e	-9.922082711564467e-09
R_EX_14glucan_e	-9.9963825967247e-09
R_EX_cpgn_un_e	-5.271796357764709e-09
R_EX_15dap_e	-9.8817173193816e-09
R_EX_glyc__R_e	-9.767987881455155e-09
R_EX_glyc2p_e	-9.958041927487917e-09
R_EX_23camp_e	-9.988257329758904e-09
R_EX_23ccmp_e	-9.985276975021922e-09
R_EX_23cgmp_e	-9.988176784868799e-09
R_EX_23cump_e	-9.984047414125913e-09
R_EX_23dappa_e	-9.942843686648254e-09
R_EX_26dap__M_e	-9.974687303857009e-09
R_EX_glyc3p_e	-9.941329140543262e-09
R_EX_glyclt_e	9.716367074688574e-08
R_EX_gmp_e	-9.987194468694785e-09
R_EX_gsn_e	-9.986028811729204e-09
R_EX_gthox_e	-9.993092559884311e-09
R_EX_gthrd_e	-9.98483470962445e-09
R_EX_gtp_e	-9.799518318422132e-09
R_EX_gua_e	-9.967123447602673e-09
R_EX_h_e	-0.4390567603015488
R_EX_h2_e	-7.362048721119259e-11
R_EX_h2o_e	0.6706951669845217
R_EX_h2o2_e	2.977596679485156e-08
R_EX_h2s_e	-4.7587992685590505e-09
R_EX_hacolipa_e	-9.998390820713972e-09
R_EX_halipa_e	-9.981949014247023e-09
R_EX_hdca_e	-9.989811912038052e-09
R_EX_hdcea_e	-9.990105662112196e-09
R_EX_hg2_e	-1.5688567009948757e-17
R_EX_his__L_e	-9.966072299431205e-09
R_EX_2ddglcn_e	-9.966646802897328e-09
R_EX_34dhpac_e	9.894604632506719e-09
R_EX_3amp_e	-9.987140884047748e-09
R_EX_3cmp_e	-9.983481116614035e-09
R_EX_3gmp_e	-9.987044275449272e-09
R_EX_3hcinnm_e	-9.982451425992476e-09
R_EX_3hpp_e	6.839213545669371e-06
