,Lagrange_coef
10fthf_c,-1.0811561838251258
12dgr120_c,-0.2991463014721083
12dgr140_c,-0.3364631360063572
12dgr141_c,-0.3457466951504506
12dgr160_c,-0.3992124838143837
12dgr161_c,-0.41688123861964416
12dgr180_c,-0.39709587362815607
12dgr181_c,-0.45409824923626296
12ppd__R_c,-0.007606948276375728
12ppd__S_c,-0.027104277550559393
13dpg_c,-0.10250849082107805
14dhncoa_c,-1.6128856400995017
14glucan_c,-7174.234674546347
15dap_c,-0.1055594363699849
1ddecg3p_c,-0.2073085709960515
1hdec9eg3p_c,-0.27138368849064026
1hdecg3p_c,-0.2625594556494499
1odec11eg3p_c,-0.28999605302226605
1odecg3p_c,-0.25685289894321345
1pyr5c_c,-0.11265486782029528
5dh4dglc_c,-2559.005301797453
2tdec7eg3p_c,-0.24293912229342463
5drib_c,-1.1178243171768354e-07
2tdecg3p_c,-0.23846556190681792
1tdec7eg3p_c,-0.23096183903297252
1tdecg3p_c,-0.22596742840039163
2tpr3dpcoa_c,7063.577724609606
5fthf_c,-1.0810380026235742
23dappa_c,-3884.0794452953774
5mta_c,-0.4476557340949522
34hpp_c,-0.3104637321875918
23ddhb_c,-0.2622279812194912
35cgmp_c,-0.6399728736698844
5mthf_c,-1.088026464995854
23dhacoa_c,-625.8208070250457
5mtr_c,-0.003416884081971138
3amac_c,-0.08406447408895121
23dhb_c,-0.27131662091691733
3c2hmp_c,-0.05247826115826026
5prdmbz_c,-8216.541762510547
23dhba_c,-0.9165835973027042
6hmhpt_c,-0.5855369303903177
3c3hmp_c,-0.05238758800843014
23dhbzs_c,-0.3775527230179878
3c4mop_c,-0.06157395264193764
6hmhptpp_c,-0.6769273476302244
23dhdp_c,-0.13530676881750126
3dhguln_c,-7030.321947424294
23dhmb_c,-0.03332173150623133
3dhgulnp_c,-2953.019912897117
6pgc_c,-0.135425314549138
23dhmp_c,-0.12252092724165414
6pgl_c,-0.15908021308553663
3dhq_c,-0.16277442949542276
3dhsk_c,-0.18138415861641846
23doguln_c,-12245.920360899803
8aonn_c,-0.3733361154876135
25aics_c,-0.5297785517287495
ACP_c,119.53495772886787
3fe4s_c,-0.853975992924347
25dkglcn_c,-13017.597945609063
3haACP_c,119.48824781023079
LalaDglu_c,-0.1419602617708781
25drapp_c,-0.6010075258781886
LalaDgluMdap_c,-0.3473057262378297
3hadpcoa_c,-625.8022215391854
26dap_LL_c,-0.1556310937797655
3hbcoa_c,-1.2400223769721392
LalaDgluMdapDala_c,-0.45125997439516896
LalaLglu_c,-0.14196026177092205
26dap__M_c,-0.15565992808563867
N1aspmd_c,6318.717843020726
3hcddec5eACP_c,119.36850203651461
3hcinnm_c,-8743.090973779088
2agpe120_c,-0.2857695433787216
3hcmrs7eACP_c,119.3614303207025
Nmtrp_c,-8906.171503069052
Sfglutth_c,-2938.166508720429
2agpe140_c,-0.30442799597342357
