,0
R_EX_cm_e,-6.775735528208315e-11
R_EX_cmp_e,-5.002220859751105e-11
R_EX_co2_e,10.086320830952445
R_EX_cobalt2_e,-6.960000064282212e-06
R_DM_4crsol_c,6.467008165600419e-05
R_DM_5drib_c,6.699024220324645e-05
R_DM_aacald_c,-9.299583325628191e-11
R_DM_amob_c,5.801166480523534e-07
R_DM_mththf_c,0.00038859961523485254
R_EX_colipa_e,-9.754330676514655e-11
R_DM_oxam_c,1.673470251262188e-10
R_EX_glc__D_e,-7.435119186993688e-11
R_EX_glcn_e,-8.913048077374697e-11
R_BIOMASS_Ec_iJO1366_WT_53p95M,0.2899999999999636
R_EX_glcr_e,-6.116351869422942e-11
R_EX_colipap_e,-9.254108590539545e-11
R_EX_glcur_e,-7.776179700158536e-11
R_EX_glcur1p_e,-5.95719029661268e-11
R_BIOMASS_Ec_iJO1366_core_53p95M,-9.640643838793039e-11
R_EX_12ppd__R_e,1.0631993063725531e-09
R_EX_gln__L_e,-4.0472514228895307e-11
R_EX_cpgn_e,-7.480593922082335e-11
R_EX_glu__L_e,8.36735125631094e-11
R_EX_gly_e,1.9031176634598523e-10
R_EX_glyald_e,3.410605131648481e-11
R_EX_glyb_e,-7.048583938740194e-11
R_EX_glyc_e,5.4797055781818926e-11
R_EX_12ppd__S_e,2.3919710656628013e-10
R_EX_14glucan_e,-1.9099388737231493e-11
R_EX_cpgn_un_e,-7.503331289626658e-11
R_EX_15dap_e,7.639755494892597e-11
R_EX_glyc__R_e,4.4724401959683746e-10
R_EX_glyc2p_e,-3.5925040720030665e-11
R_EX_23camp_e,-4.229150363244116e-11
R_EX_23ccmp_e,-4.206412995699793e-11
R_EX_23cgmp_e,-4.1382008930668235e-11
R_EX_23cump_e,-4.229150363244116e-11
R_EX_23dappa_e,-4.547473508864641e-11
R_EX_26dap__M_e,-5.070432962384075e-11
R_EX_glyc3p_e,2.2737367544323206e-13
R_EX_glyclt_e,0.0002586943769529171
R_EX_gmp_e,-4.638422979041934e-11
R_EX_gsn_e,-8.526512829121202e-11
R_EX_gthox_e,-8.049028110690415e-11
R_EX_gthrd_e,-7.867129170335829e-11
R_EX_gtp_e,-4.6838977141305804e-11
R_EX_gua_e,-7.935341272968799e-11
R_EX_h_e,-6.225408621825409
R_EX_h2_e,-6.002665031701326e-11
R_EX_h2o_e,17.346419034211294
R_EX_h2o2_e,-1.1118572729174048e-10
R_EX_h2s_e,2.660272002685815e-11
R_EX_hacolipa_e,-6.957634468562901e-11
R_EX_halipa_e,-6.730260793119669e-11
R_EX_hdca_e,-8.86757334228605e-12
R_EX_hdcea_e,-3.342393029015511e-11
R_EX_hg2_e,-9.094947017729282e-11
R_EX_his__L_e,-7.412381819449365e-11
R_EX_2ddglcn_e,-9.458744898438454e-11
R_EX_34dhpac_e,-8.43556335894391e-11
R_EX_3amp_e,-6.843947630841285e-11
R_EX_3cmp_e,-6.843947630841285e-11
R_EX_3gmp_e,-6.52562448522076e-11
R_EX_3hcinnm_e,-6.389200279954821e-11
R_EX_3hpp_e,5.345555109670386e-10
R_EX_3hpppn_e,-6.434675015043467e-11
R_EX_hom__L_e,1.1368683772161603e-10
R_EX_hxa_e,2.4215296434704214e-10
R_EX_hxan_e,-7.617018127348274e-11
R_EX_idon__L_e,-8.913048077374697e-11
R_EX_3ump_e,-6.843947630841285e-11
R_EX_4abut_e,7.412381819449365e-11
R_EX_4hoxpacd_e,-8.458300726488233e-11
R_EX_5dglcn_e,-8.913048077374697e-11
R_EX_5mtr_e,0.0019557597631774115
R_EX_LalaDglu_e,-5.002220859751105e-11
R_EX_ile__L_e,-4.229150363244116e-11
R_EX_imp_e,-5.002220859751105e-11
R_EX_indole_e,-7.935341272968799e-11
R_EX_inost_e,-9.777068044058979e-11
R_EX_ins_e,-8.208189683500677e-11
R_EX_isetac_e,-4.547473508864641e-11
R_EX_k_e,-0.05385009998121859
R_EX_LalaDgluMdap_e,-7.480593922082335e-11
R_EX_LalaDgluMdapDala_e,-7.980816008057445e-11
R_EX_LalaLglu_e,-5.002220859751105e-11
R_EX_kdo2lipid4_e,-8.29913915367797e-11
R_EX_ac_e,-13.58400000000006
R_EX_crn_e,-7.16227077646181e-11
R_EX_acac_e,-6.002665031701326e-11
R_EX_acald_e,9.206360118696466e-10
R_EX_lac__D_e,5.722313289879821e-09
R_EX_lac__L_e,4.5793058234266937e-10
R_EX_crn__D_e,-6.684786058031023e-11
R_EX_lcts_e,-4.320099833421409e-11
R_EX_acgal_e,-9.049472282640636e-11
R_EX_acgal1p_e,-6.230038707144558e-11
R_EX_acgam_e,-7.16227077646181e-11
R_EX_leu__L_e,7.73070496506989e-12
R_EX_csn_e,-5.002220859751105e-11
R_EX_acgam1p_e,-5.843503458891064e-11
R_EX_acmana_e,-5.002220859751105e-11
R_EX_acmum_e,-2.751221472863108e-11
R_EX_lipa_e,-3.9108272176235914e-11
R_EX_cu_e,-7.79891706770286e-11
R_EX_lipa_cold_e,-7.776179700158536e-11
R_EX_acnam_e,-4.4792614062316716e-11
R_EX_acolipa_e,-5.752553988713771e-11
R_EX_cu2_e,-0.00019546004750736756
R_EX_acser_e,1.211901690112427e-10
R_EX_ade_e,-7.844391802791506e-11
R_EX_adn_e,-8.344613888766617e-11
R_EX_adocbl_e,-2.5011104298755527e-11
R_EX_ag_e,-8.003553375601768e-11
R_EX_lipoate_e,-4.4792614062316716e-11
R_EX_lys__L_e,-4.388311936054379e-11
R_EX_lyx__L_e,-4.729372449219227e-11
R_EX_mal__D_e,-4.547473508864641e-11
R_EX_agm_e,-5.547917680814862e-11
R_EX_akg_e,2.041815605480224e-10
R_EX_cyan_e,-5.411493475548923e-11
R_EX_ala_B_e,-5.002220859751105e-11
R_EX_ala__D_e,2.0031620806548744e-10
R_EX_ala__L_e,2.0031620806548744e-10
R_EX_alaala_e,5.6843418860808015e-12
R_EX_all__D_e,-4.547473508864641e-11
R_EX_alltn_e,-6.343725544866174e-11
R_EX_amp_e,-5.002220859751105e-11
R_EX_anhgm_e,-8.071765478234738e-11
R_EX_arab__L_e,-6.662048690486699e-11
R_EX_mal__L_e,5.711626727133989e-10
R_EX_malt_e,-1.8189894035458565e-11
R_EX_malthx_e,-3.5925040720030665e-11
R_EX_maltpt_e,-3.0468072509393096e-11
R_EX_malttr_e,-2.660272002685815e-11
R_EX_maltttr_e,-3.0468072509393096e-11
R_EX_man_e,-5.184119800105691e-11
R_EX_cynt_e,-4.547473508864641e-11
R_EX_man6p_e,-5.206857167650014e-11
R_EX_manglyc_e,-4.547473508864641e-11
R_EX_melib_e,-6.002665031701326e-11
R_EX_cys__D_e,-4.547473508864641e-11
R_EX_meoh_e,5.801157385576516e-07
R_EX_met__D_e,-5.707079253625125e-11
R_EX_arbt_e,-2.8421709430404007e-11
R_EX_arbtn_e,-7.503331289626658e-11
R_EX_arbtn_fe3_e,-7.503331289626658e-11
R_EX_met__L_e,-5.1159076974727213e-11
R_EX_cys__L_e,-6.207301339600235e-11
R_EX_metsox_R__L_e,-5.002220859751105e-11
R_EX_metsox_S__L_e,-5.002220859751105e-11
R_EX_mg2_e,-0.0023933699990266177
R_EX_mincyc_e,-6.775735528208315e-11
R_EX_minohp_e,-2.4783730623312294e-11
R_EX_mmet_e,-4.547473508864641e-11
R_EX_arg__L_e,-6.116351869422942e-11
R_EX_ascb__L_e,-4.843059286940843e-11
R_EX_asn__L_e,5.6843418860808015e-12
R_EX_aso3_e,-9.43600753089413e-11
R_EX_asp__L_e,1.3005774235352874e-10
R_EX_btn_e,-5.002220859751105e-11
R_EX_but_e,-8.094502845779061e-11
R_EX_mn2_e,-0.0001908199999434146
R_EX_mnl_e,-5.002220859751105e-11
R_EX_mobd_e,-3.973000002588378e-05
R_EX_mso3_e,-4.524736141320318e-11
R_EX_n2o_e,-7.73070496506989e-11
R_EX_na1_e,-7.503331289626658e-11
R_EX_nac_e,-5.002220859751105e-11
R_EX_nh4_e,-3.0468209065854808
R_EX_butso3_e,-4.433786671143025e-11
R_EX_ca2_e,-0.001436079999393769
R_EX_cbi_e,-2.4101609596982598e-11
R_EX_cytd_e,-7.298694981727749e-11
R_EX_cbl1_e,-6.467016874012188e-05
R_EX_cd2_e,-7.503331289626658e-11
R_EX_cgly_e,-7.253220246639103e-11
R_EX_ni2_e,-8.903000002646877e-05
R_EX_nmn_e,-4.001776687800884e-11
R_EX_no_e,-4.092726157978177e-11
R_EX_no2_e,-8.185452315956354e-11
R_EX_no3_e,-2.3419488570652902e-11
R_EX_novbcn_e,-6.684786058031023e-11
R_EX_o16a4colipa_e,-9.57243173616007e-11
R_EX_o2_e,-11.67078543317416
R_EX_o2s_e,-8.890310709830374e-11
R_EX_ocdca_e,-3.3651303965598345e-11
R_EX_ocdcea_e,-3.342393029015511e-11
R_EX_octa_e,-5.093170329928398e-11
R_EX_orn_e,-3.433342499192804e-11
R_EX_orot_e,-5.0249582272954285e-11
R_EX_pacald_e,-7.503331289626658e-11
R_EX_peamn_e,-4.661160346586257e-11
R_EX_phe__L_e,-7.298694981727749e-11
R_EX_pheme_e,-7.435119186993688e-11
R_EX_chol_e,-6.389200279954821e-11
R_EX_chtbs_e,-4.615685611497611e-11
R_EX_cit_e,2.687556843739003e-10
R_EX_cl_e,-0.0014360799996211426
R_EX_pi_e,-0.26887233948764333
R_EX_dad_2_e,-6.843947630841285e-11
R_EX_pnto__R_e,-5.002220859751105e-11
R_EX_ppa_e,-5.002220859751105e-11
R_EX_damp_e,-4.229150363244116e-11
R_EX_ppal_e,-6.02540239924565e-11
R_EX_dca_e,-5.070432962384075e-11
R_EX_pppn_e,-5.911715561524034e-11
R_EX_ppt_e,-4.001776687800884e-11
R_EX_dcmp_e,-4.229150363244116e-11
R_EX_pro__L_e,-1.5006662579253316e-11
R_EX_dcyt_e,-6.843947630841285e-11
R_EX_progly_e,-4.547473508864641e-11
R_EX_psclys_e,-5.002220859751105e-11
R_EX_ddca_e,-3.3651303965598345e-11
R_EX_pser__L_e,-5.002220859751105e-11
R_EX_ptrc_e,-3.728928277269006e-11
R_EX_dgmp_e,-4.206412995699793e-11
R_EX_dgsn_e,-6.843947630841285e-11
R_EX_val__L_e,3.342393029015511e-11
R_EX_xan_e,-7.503331289626658e-11
R_EX_dha_e,3.410605131648481e-11
R_EX_xmp_e,-5.002220859751105e-11
R_EX_dimp_e,-4.206412995699793e-11
R_EX_din_e,-6.843947630841285e-11
R_EX_xtsn_e,-8.162714948412031e-11
R_EX_pydam_e,-5.002220859751105e-11
R_EX_xyl__D_e,-3.8198777474462986e-11
R_EX_xylu__L_e,-5.525180313270539e-11
R_EX_zn2_e,-9.395999995831517e-05
R_12DGR120tipp,4.990852175978944e-10
R_12DGR140tipp,4.990852175978944e-10
R_12DGR141tipp,4.763478500535712e-10
R_12DGR160tipp,4.113189788768068e-10
R_12DGR161tipp,3.95857568946667e-10
R_12DGR180tipp,4.611138137988746e-10
R_EX_pydx_e,-5.002220859751105e-11
R_EX_pydxn_e,-5.002220859751105e-11
R_EX_pyr_e,7.53516360418871e-10
R_EX_quin_e,-4.0472514228895307e-11
R_EX_r5p_e,-4.229150363244116e-11
R_EX_rfamp_e,-6.684786058031023e-11
R_EX_rib__D_e,-6.843947630841285e-11
R_EX_rmn_e,-4.6838977141305804e-11
R_EX_sbt__D_e,-5.002220859751105e-11
R_EX_sel_e,-4.661160346586257e-11
R_EX_ser__D_e,-5.002220859751105e-11
R_EX_ser__L_e,4.956746124662459e-11
R_EX_skm_e,-5.002220859751105e-11
R_12DGR181tipp,3.9608494262211025e-10
R_12PPDRtex,-1.0622898116707802e-09
R_12PPDRtpp,-1.0631993063725531e-09
R_EX_dms_e,-9.777068044058979e-11
R_12PPDStex,-2.3646862246096134e-10
R_12PPDStpp,-2.3919710656628013e-10
R_14GLUCANabcpp,-5.7980287238024175e-11
R_EX_slnt_e,-5.4569682106375694e-11
R_EX_so2_e,-8.890310709830374e-11
R_EX_so3_e,-7.935341272968799e-11
R_EX_dmso_e,-4.433786671143025e-11
R_EX_so4_e,-0.07307507018526849
R_EX_spmd_e,-8.685674401931465e-11
R_EX_succ_e,8.719780453247949e-10
R_14GLUCANtexi,-6.184563972055912e-11
R_23CAMPtex,-1.4551915228366852e-11
R_23CCMPtex,-1.4551915228366852e-11
R_EX_sucr_e,-4.547473508864641e-11
R_EX_sulfac_e,-4.547473508864641e-11
R_23CGMPtex,-1.8189894035458565e-11
R_EX_tartr__D_e,-5.002220859751105e-11
R_23CUMPtex,-1.4551915228366852e-11
R_EX_dopa_e,-4.888534022029489e-11
R_23DAPPAt2pp,-6.366462912410498e-11
R_23DAPPAtex,-7.275957614183426e-12
R_23PDE2pp,-7.369749255303759e-11
R_23PDE4pp,-7.369749255303759e-11
R_EX_tartr__L_e,-5.979927664157003e-11
R_EX_taur_e,-4.501998773775995e-11
R_EX_tcynt_e,-7.935341272968799e-11
R_23PDE7pp,-7.369749255303759e-11
R_23PDE9pp,-7.602807272633072e-11
R_EX_doxrbcn_e,-6.775735528208315e-11
R_26DAHtex,0.0
R_2AGPA120tipp,3.5774405660049524e-10
R_EX_thm_e,-4.547473508864641e-11
R_EX_thr__L_e,-1.0913936421275139e-11
R_EX_dtmp_e,-5.002220859751105e-11
R_EX_thrp_e,-5.002220859751105e-11
R_2AGPA140tipp,3.5780090001935605e-10
R_2AGPA141tipp,3.90087961932295e-10
R_EX_thym_e,-1.0913936421275139e-11
R_EX_dump_e,-4.206412995699793e-11
R_EX_thymd_e,-7.435119186993688e-11
R_2AGPA160tipp,2.0580159798555542e-10
R_2AGPA161tipp,2.0583001969498582e-10
R_EX_tma_e,-9.526957001071423e-11
R_EX_duri_e,-6.843947630841285e-11
R_EX_tmao_e,-3.8198777474462986e-11
R_EX_tre_e,-2.97859514830634e-11
R_EX_trp__L_e,-8.071765478234738e-11
R_2AGPA180tipp,4.135074505029479e-10
R_2AGPA181tipp,2.0591528482327703e-10
R_2AGPE120tipp,3.929585545847658e-10
R_2AGPE140tipp,3.929585545847658e-10
R_2AGPE141tipp,4.1168846109940205e-10
R_2AGPE160tipp,2.445688096486265e-10
R_EX_tsul_e,-4.229150363244116e-11
R_EX_eca4colipa_e,1.864464138634503e-11
R_EX_ttdca_e,-3.319655661471188e-11
R_2AGPE161tipp,2.5207214093825314e-10
R_2AGPE180tipp,4.263256414560601e-10
R_2AGPE181tipp,2.5207214093825314e-10
R_2AGPEAT120,2.604565452202223e-10
R_EX_ttdcea_e,-3.342393029015511e-11
R_EX_enlipa_e,-6.389200279954821e-11
R_2AGPEAT140,2.604281235107919e-10
R_2AGPEAT141,2.737863269430818e-10
R_2AGPEAT160,2.9677948987227865e-10
R_EX_ttrcyc_e,-6.775735528208315e-11
R_EX_enter_e,-9.276845958083868e-11
R_2AGPEAT161,3.0391333893931005e-10
R_EX_etha_e,1.502939994679764e-10
R_2AGPEAT180,2.856666014849907e-10
R_2AGPEAT181,3.0391333893931005e-10
R_EX_tungs_e,-4.501998773775995e-11
R_EX_tym_e,-4.888534022029489e-11
R_2AGPG120tipp,4.1882231016643345e-10
R_EX_ethso3_e,-4.547473508864641e-11
R_2AGPG140tipp,4.1885073187586386e-10
R_2AGPG141tipp,4.5142201088310685e-10
R_2AGPG160tipp,2.5647750589996576e-10
R_2AGPG161tipp,2.63668198385858e-10
R_EX_tyr__L_e,-7.23048287909478e-11
R_EX_tyrp_e,-5.002220859751105e-11
R_EX_uacgam_e,-4.5929482439532876e-11
R_EX_udpacgal_e,-4.729372449219227e-11
R_EX_udpg_e,-4.615685611497611e-11
R_2AGPG180tipp,4.759783678309759e-10
R_2AGPG181tipp,2.636966200952884e-10
R_2AGPGAT120,1.9625190361693967e-10
R_EX_udpgal_e,-4.6838977141305804e-11
R_EX_etoh_e,0.21824487907474577
R_EX_udpglcur_e,-4.661160346586257e-11
R_2AGPGAT140,1.9628032532637008e-10
R_2AGPGAT141,2.0165202840871643e-10
R_2AGPGAT160,2.6926727514364757e-10
R_2AGPGAT161,2.7563373805605806e-10
R_EX_ump_e,-1.2573764252010733e-10
R_2AGPGAT180,2.0756374397024047e-10
R_EX_f6p_e,-5.161382432561368e-11
R_2AGPGAT181,2.7563373805605806e-10
R_EX_ura_e,-3.5925040720030665e-11
R_2DGULRGx,-3.717559593496844e-11
R_EX_urea_e,3.544755600159988e-10
R_2DGULRGy,-3.717559593496844e-11
R_EX_fald_e,-9.799805411603302e-11
R_2DGULRx,-3.717559593496844e-11
R_2DGULRy,-3.717559593496844e-11
R_EX_uri_e,-6.684786058031023e-11
R_2MAHMP,2.8069280233467e-10
R_34dhpactex,6.912159733474255e-11
R_EX_fe2_e,-0.004502830910951161
R_3AMACHYD,5.34477351266105e-10
R_3AMPtex,3.637978807091713e-11
R_3CMPtex,3.637978807091713e-11
R_3GMPtex,2.9103830456733704e-11
R_EX_fe3_e,9.142695489572361e-10
R_3HAD100,1.1896190699189901e-09
R_EX_fe3dcit_e,-2.5011104298755527e-11
R_3HAD120,1.5497789718210697e-09
R_5DOAN,6.699024197587278e-05
R_EX_fe3dhbzs_e,-2.3874235921539366e-11
R_5MTRtex,-0.0019557597624952905
R_5MTRtpp,0.0019557597631774115
R_3HAD121,8.549250196665525e-10
R_3HAD140,6.220943760126829e-10
R_A5PISO,0.007091368483088445
R_EX_fe3hox_e,-7.503331289626658e-11
R_AACPS1,0.0023637924946342537
R_AACPS2,3.6593519325833768e-09
R_3HAD141,8.585629984736443e-10
R_EX_fe3hox_un_e,-7.480593922082335e-11
R_AACPS3,0.035177580620256776
R_AACPS4,0.027360920304317915
R_AACPS5,0.014101539225066517
