,Reaction_ID,forward,reverse
R_EX_cm_e,R_EX_cm_e,1400.1456895002316,1400.1456895002993
R_EX_cmp_e,R_EX_cmp_e,1400.145689500241,1400.145689500291
R_EX_co2_e,R_EX_co2_e,1405.1979323221933,1395.1116114912409
R_EX_cobalt2_e,R_EX_cobalt2_e,1400.1456860202654,1400.1456929802655
R_DM_4crsol_c,R_DM_4crsol_c,1400.1457218353062,1400.1456571652245
R_DM_5drib_c,R_DM_5drib_c,1400.1457229953867,1400.1456560051445
R_DM_aacald_c,R_DM_aacald_c,1400.1456895002193,1400.1456895003123
R_DM_amob_c,R_DM_amob_c,1400.1456897903242,1400.1456892102076
R_DM_mththf_c,R_DM_mththf_c,1400.1458838000863,1400.145495200471
R_EX_colipa_e,R_EX_colipa_e,1400.1456895002161,1400.1456895003137
R_DM_oxam_c,R_DM_oxam_c,1400.1456895003491,1400.1456895001818
R_EX_glc__D_e,R_EX_glc__D_e,1400.1456895002282,1400.1456895003025
R_EX_glcn_e,R_EX_glcn_e,1400.1456895002207,1400.1456895003098
R_BIOMASS_Ec_iJO1366_WT_53p95M,R_BIOMASS_Ec_iJO1366_WT_53p95M,1400.2906970084123,1400.0006970084123
R_EX_glcr_e,R_EX_glcr_e,1400.145689500235,1400.1456895002962
R_EX_colipap_e,R_EX_colipap_e,1400.1456895002193,1400.1456895003118
R_EX_glcur_e,R_EX_glcur_e,1400.1456895002264,1400.1456895003041
R_EX_glcur1p_e,R_EX_glcur1p_e,1400.1456895002361,1400.1456895002957
R_BIOMASS_Ec_iJO1366_core_53p95M,R_BIOMASS_Ec_iJO1366_core_53p95M,1400.145689500217,1400.1456895003134
R_EX_12ppd__R_e,R_EX_12ppd__R_e,1400.145689500797,1400.1456894997339
R_EX_gln__L_e,R_EX_gln__L_e,1400.1456895002448,1400.1456895002852
R_EX_cpgn_e,R_EX_cpgn_e,1400.1456895002277,1400.1456895003025
R_EX_glu__L_e,R_EX_glu__L_e,1400.1456895003073,1400.1456895002236
R_EX_gly_e,R_EX_gly_e,1400.1456895003605,1400.1456895001702
R_EX_glyald_e,R_EX_glyald_e,1400.1456895002823,1400.1456895002482
R_EX_glyb_e,R_EX_glyb_e,1400.14568950023,1400.1456895003005
R_EX_glyc_e,R_EX_glyc_e,1400.1456895002925,1400.1456895002377
R_EX_12ppd__S_e,R_EX_12ppd__S_e,1400.1456895003848,1400.1456895001456
R_EX_14glucan_e,R_EX_14glucan_e,1400.1456895002557,1400.1456895002748
R_EX_cpgn_un_e,R_EX_cpgn_un_e,1400.145689500228,1400.145689500303
R_EX_15dap_e,R_EX_15dap_e,1400.145689500304,1400.1456895002275
R_EX_glyc__R_e,R_EX_glyc__R_e,1400.145689500489,1400.1456895000417
R_EX_glyc2p_e,R_EX_glyc2p_e,1400.145689500247,1400.145689500283
R_EX_23camp_e,R_EX_23camp_e,1400.1456895002439,1400.1456895002862
R_EX_23ccmp_e,R_EX_23ccmp_e,1400.145689500244,1400.1456895002862
R_EX_23cgmp_e,R_EX_23cgmp_e,1400.1456895002448,1400.1456895002862
R_EX_23cump_e,R_EX_23cump_e,1400.1456895002439,1400.1456895002862
R_EX_23dappa_e,R_EX_23dappa_e,1400.1456895002427,1400.1456895002882
R_EX_26dap__M_e,R_EX_26dap__M_e,1400.1456895002402,1400.145689500291
R_EX_glyc3p_e,R_EX_glyc3p_e,1400.1456895002655,1400.1456895002652
R_EX_glyclt_e,R_EX_glyclt_e,1400.14581884746,1400.1455601530831
R_EX_gmp_e,R_EX_gmp_e,1400.1456895002427,1400.145689500289
R_EX_gsn_e,R_EX_gsn_e,1400.1456895002227,1400.145689500308
R_EX_gthox_e,R_EX_gthox_e,1400.145689500225,1400.1456895003055
R_EX_gthrd_e,R_EX_gthrd_e,1400.145689500226,1400.1456895003046
R_EX_gtp_e,R_EX_gtp_e,1400.1456895002418,1400.1456895002887
R_EX_gua_e,R_EX_gua_e,1400.1456895002257,1400.145689500305
R_EX_h_e,R_EX_h_e,1397.0364451564935,1403.261853778319
R_EX_h2_e,R_EX_h2_e,1400.1456895002354,1400.1456895002955
