,Lagrange_coef
10fthf_c,-0.7136328495006422
12dgr120_c,-0.21742347394242525
12dgr140_c,-0.2497256764697197
12dgr141_c,-0.26398295431139857
12dgr160_c,-0.29707444926262594
12dgr161_c,-0.3166243593121568
12dgr180_c,-0.30515036692713765
12dgr181_c,-0.34858949270252004
12ppd__R_c,-0.0018933464009915904
12ppd__S_c,-0.007257112461612105
13dpg_c,-0.051930599298409104
14dhncoa_c,-0.9930518314876181
14glucan_c,-5490.183598811738
15dap_c,-0.0677958597786996
1ddecg3p_c,-0.13632796179888165
1hdec9eg3p_c,-0.1890626081638323
1hdecg3p_c,-0.1792965486260179
1odec11eg3p_c,-0.2050496244421414
1odecg3p_c,-0.1805478135149851
1pyr5c_c,-0.10273466648557335
5dh4dglc_c,-2042.8845638209414
2tdec7eg3p_c,-0.15947229360643825
5drib_c,-3.8629991207059496e-08
2tdecg3p_c,-0.15247562417474714
1tdec7eg3p_c,-0.15983085848359618
1tdecg3p_c,-0.15247993383590905
2tpr3dpcoa_c,5553.219253621993
5fthf_c,-0.7134944009844669
23dappa_c,-3076.4024481192932
5mta_c,-0.35324781231498253
34hpp_c,-0.15685037396765464
23ddhb_c,-0.12193888451038931
35cgmp_c,-0.42350618318629174
5mthf_c,-0.7062203378405199
23dhacoa_c,-836.9369997447031
5mtr_c,-0.002190591952803184
3amac_c,-0.07557374798254665
23dhb_c,-0.13222068734962164
3c2hmp_c,-0.042682959278825316
5prdmbz_c,-7650.969649610924
23dhba_c,-0.5519722441357799
6hmhpt_c,-0.3976339916904921
3c3hmp_c,-0.04252644491736072
23dhbzs_c,-0.1987958166999933
3c4mop_c,-0.05297656024338422
6hmhptpp_c,-0.4568361865249246
23dhdp_c,-0.12223116600980155
3dhguln_c,-5681.663554335403
23dhmb_c,-0.014662942840585747
3dhgulnp_c,-2386.099506821483
6pgc_c,-0.040357070565456295
23dhmp_c,-0.07316412318392011
6pgl_c,-0.047986010692750936
3dhq_c,-0.06371967705519521
3dhsk_c,-0.0811636126722361
23doguln_c,-9827.696105967232
8aonn_c,-0.19035493148270732
25aics_c,-0.3624608890863203
ACP_c,95.69339480870089
3fe4s_c,-0.47846695231901504
25dkglcn_c,-10176.832791359893
3haACP_c,95.654100763073
LalaDglu_c,-0.12684494021147397
25drapp_c,-0.4002893450165425
LalaDgluMdap_c,-0.28350240958943074
3hadpcoa_c,-836.9195860875353
