,0
R_EX_cm_e,-6.798472895752639e-11
R_EX_cmp_e,-5.002220859751105e-11
R_EX_co2_e,5.120195183222677
R_EX_cobalt2_e,-1.181759989776765e-05
R_DM_4crsol_c,0.00010980528190884797
R_DM_5drib_c,0.00011374477639947145
R_DM_aacald_c,-9.299583325628191e-11
R_DM_amob_c,9.849165962805273e-07
R_DM_mththf_c,0.0006598157435746543
R_EX_colipa_e,-9.5042196335271e-11
R_DM_oxam_c,2.794422471197322e-10
R_EX_glc__D_e,-7.435119186993688e-11
R_EX_glcn_e,-8.913048077374697e-11
R_BIOMASS_Ec_iJO1366_WT_53p95M,0.4923999999998614
R_EX_glcr_e,-6.116351869422942e-11
R_EX_colipap_e,-8.549250196665525e-11
R_EX_glcur_e,-7.776179700158536e-11
R_EX_glcur1p_e,-5.979927664157003e-11
R_BIOMASS_Ec_iJO1366_core_53p95M,-9.458744898438454e-11
R_EX_12ppd__R_e,4.7016328608151525e-09
R_EX_gln__L_e,-4.001776687800884e-11
R_EX_cpgn_e,-7.503331289626658e-11
R_EX_glu__L_e,6.093614501878619e-11
R_EX_gly_e,2.887645678129047e-10
R_EX_glyald_e,7.842118066037074e-10
R_EX_glyb_e,-7.048583938740194e-11
R_EX_glyc_e,0.0031582513154262415
R_EX_12ppd__S_e,1.1527845344971865e-09
R_EX_14glucan_e,-1.887201506178826e-11
R_EX_cpgn_un_e,-7.503331289626658e-11
R_EX_15dap_e,1.5916157281026244e-10
R_EX_glyc__R_e,1.0702478903112933e-09
R_EX_glyc2p_e,-3.5697667044587433e-11
R_EX_23camp_e,-4.206412995699793e-11
R_EX_23ccmp_e,-4.206412995699793e-11
R_EX_23cgmp_e,-4.1382008930668235e-11
R_EX_23cump_e,-4.206412995699793e-11
R_EX_23dappa_e,-4.547473508864641e-11
R_EX_26dap__M_e,-5.093170329928398e-11
R_EX_glyc3p_e,1.6893864085432142e-10
R_EX_glyclt_e,0.000439215888718536
R_EX_gmp_e,-4.638422979041934e-11
R_EX_gsn_e,-8.526512829121202e-11
R_EX_gthox_e,-8.026290743146092e-11
R_EX_gthrd_e,-6.889422365929931e-11
R_EX_gtp_e,-4.6838977141305804e-11
R_EX_gua_e,-7.321432349272072e-11
R_EX_h_e,17.732712336601935
R_EX_h2_e,-6.002665031701326e-11
