,Lagrange_coef
10fthf_c,-0.599780836243997
12dgr120_c,-0.39573302938102006
12dgr140_c,-0.4559747923662456
12dgr141_c,-0.4558009999195159
12dgr160_c,-0.5279257994998205
12dgr161_c,-0.5317287425593256
12dgr180_c,-0.5697810614631118
12dgr181_c,-0.5919082613631246
12ppd__R_c,-0.008856503259544866
12ppd__S_c,-0.03147375320266306
13dpg_c,-0.05618957527896814
14dhncoa_c,-0.9139023358943444
14glucan_c,-6308.481662045745
15dap_c,-0.07755635633383261
1ddecg3p_c,-0.23147531408791996
1hdec9eg3p_c,-0.30195887800112853
1hdecg3p_c,-0.30006122365126386
1odec11eg3p_c,-0.33205121086595357
1odecg3p_c,-0.3187590798030501
1pyr5c_c,-0.09681628844022558
5dh4dglc_c,-2059.5090901810668
2tdec7eg3p_c,-0.2651393961210687
5drib_c,-2.0080112581551845e-07
2tdecg3p_c,-0.26531624931277675
1tdec7eg3p_c,-0.2616695686673266
1tdecg3p_c,-0.2615965452033143
2tpr3dpcoa_c,5169.667215768633
5fthf_c,-0.599717693584583
23dappa_c,-3042.499081610074
5mta_c,-0.2411886750199884
34hpp_c,-0.17185137701738057
23ddhb_c,-0.1378808872593105
35cgmp_c,-0.33461416327894133
5mthf_c,-0.6051630307445157
23dhacoa_c,-706.3136541074455
5mtr_c,-0.0019341540315464135
3amac_c,-0.05691393226287602
23dhb_c,-0.13994544743961715
3c2hmp_c,-0.07414121109293596
5prdmbz_c,-6728.855543914542
23dhba_c,-0.47644667393201223
6hmhpt_c,-0.30336424098849474
3c3hmp_c,-0.07407361801187179
23dhbzs_c,-0.19880076232826244
3c4mop_c,-0.07621021548255102
6hmhptpp_c,-0.3472642286890642
23dhdp_c,-0.11322378094490236
3dhguln_c,-5652.548112407523
23dhmb_c,-0.046298278066865116
3dhgulnp_c,-2423.3311853311575
6pgc_c,-0.0722354431691705
23dhmp_c,-0.10215537502228676
6pgl_c,-0.07852076195563643
3dhq_c,-0.09367686516029246
3dhsk_c,-0.10344359888817932
23doguln_c,-9702.765383244337
8aonn_c,-0.26273128845743726
25aics_c,-0.3109366036300611
ACP_c,89.85000896897617
3fe4s_c,-0.4139211110142196
25dkglcn_c,-10153.140748135991
3haACP_c,89.79393591577634
LalaDglu_c,-0.12657415860436963
25drapp_c,-0.3188324759621703
LalaDgluMdap_c,-0.2768926225250549
3hadpcoa_c,-706.3039068461088
26dap_LL_c,-0.12548825944640143
3hbcoa_c,-0.7275496938156609
LalaDgluMdapDala_c,-0.3467383751487646
LalaLglu_c,-0.1265741586044803
26dap__M_c,-0.1255107027282952
N1aspmd_c,4642.729894693086
3hcddec5eACP_c,89.65404849837273
3hcinnm_c,-7078.779522369009
2agpe120_c,-0.27849329981715487
3hcmrs7eACP_c,89.62955241378245
Nmtrp_c,-7108.146152926786
Sfglutth_c,-2388.339511288993
2agpe140_c,-0.3086141593784297
aacald_c,-2242.2991939009053
3hcpalm9eACP_c,89.60166921646746
2agpe141_c,-0.30853072327871284
3hcvac11eACP_c,89.57015417046257
3hdcoa_c,-0.8179464244849755
aacoa_c,-0.7296108565323529
2agpe160_c,-0.3701351542589403
aact_c,-0.04669286652720761
ac_c,-0.0061218751919021736
3hddcoa_c,-0.848078667549116
3hddecACP_c,89.66451057595022
3hdecACP_c,89.68916210082858
3hhcoa_c,-0.7576819374088527
2agpe161_c,-0.3719400490004062
3hhdcoa_c,-0.9083341782262832
3hhexACP_c,89.75893372428892
acACP_c,89.82569135574579
2agpe180_c,-0.3655076416124811
acac_c,-4553.1835549259
3hmrsACP_c,89.62579482168844
2agpe181_c,-0.402017960384434
3hocoa_c,-0.7878141810019776
acald_c,-0.022253269461311443
2agpg120_c,-0.2842637358595828
acanth_c,4764.502215720074
3hoctACP_c,89.72392629793427
2agpg140_c,-0.3143833550659529
3hoctaACP_c,89.57070357783898
accoa_c,-0.7052850765831413
2agpg141_c,-0.31379176877827675
3hodcoa_c,-0.9384376884652653
2agpg160_c,-0.37279643888775404
3hpalmACP_c,89.59977375333928
acetol_c,-0.023989499496075314
acg5p_c,-0.11225194178069602
2agpg161_c,-0.3746013171363019
acg5sa_c,-0.11135099356844554
3hpp_c,-0.02261830997405074
3hpppn_c,-6698.927388508564
2agpg180_c,-0.3704631498352489
acgam_c,-0.1022153863896577
acgam1p_c,-0.13074030794091224
3htdcoa_c,-0.8782094145018264
2agpg181_c,-0.4046792661056056
3ig3p_c,-0.27541019586978416
acgam6p_c,-0.12132209584763762
2ahbut_c,-0.10097573030511894
acglc__D_c,-0.08262991781822708
3mob_c,-0.05613455827632393
2amsa_c,-0.03801628633952015
3mop_c,-0.11193221764509244
acglu_c,-0.09199571769067887
2aobut_c,-0.04897909906259555
acmalt_c,-2166.7724884694685
3ocddec5eACP_c,89.6507901396639
2cpr5p_c,-0.2664244695257302
3ocmrs7eACP_c,89.62630006680206
acmana_c,-2381.904179236922
2dda7p_c,-0.09571520014052425
acmanap_c,-0.12132209584790327
3ocpalm9eACP_c,89.60010146474909
