,0
R_EX_cm_e,-6.798472895752639e-11
R_EX_cmp_e,-5.002220859751105e-11
R_EX_co2_e,2.9326464553482765
R_EX_cobalt2_e,-4.3200000163778896e-06
R_DM_4crsol_c,4.01400818645925e-05
R_DM_5drib_c,4.158029696554877e-05
R_DM_aacald_c,-9.299583325628191e-11
R_DM_amob_c,3.6011670090374537e-07
R_DM_mththf_c,0.00024119967110891594
R_EX_colipa_e,-9.686118573881686e-11
R_DM_oxam_c,3.9744918467476964e-10
R_EX_glc__D_e,-7.321432349272072e-11
R_EX_glcn_e,-8.913048077374697e-11
R_BIOMASS_Ec_iJO1366_WT_53p95M,0.18000000000006366
R_EX_glcr_e,-6.139089236967266e-11
R_EX_colipap_e,-9.00399754755199e-11
R_EX_glcur_e,-7.776179700158536e-11
R_EX_glcur1p_e,-6.002665031701326e-11
R_BIOMASS_Ec_iJO1366_core_53p95M,-9.413270163349807e-11
R_EX_12ppd__R_e,9.029008651850745e-10
R_EX_gln__L_e,-4.0472514228895307e-11
R_EX_cpgn_e,-7.503331289626658e-11
R_EX_glu__L_e,4.5929482439532876e-11
R_EX_gly_e,2.999058779096231e-10
R_EX_glyald_e,1.90084392670542e-10
R_EX_glyb_e,-7.048583938740194e-11
R_EX_glyc_e,2.105480234604329e-10
R_EX_12ppd__S_e,1.894022716442123e-10
R_EX_14glucan_e,-1.887201506178826e-11
R_EX_cpgn_un_e,-7.503331289626658e-11
R_EX_15dap_e,1.3437784218695015e-10
R_EX_glyc__R_e,3.240074875066057e-10
R_EX_glyc2p_e,-3.5925040720030665e-11
R_EX_23camp_e,-4.229150363244116e-11
R_EX_23ccmp_e,-4.229150363244116e-11
R_EX_23cgmp_e,-4.1382008930668235e-11
R_EX_23cump_e,-4.229150363244116e-11
R_EX_23dappa_e,-4.547473508864641e-11
R_EX_26dap__M_e,-5.1159076974727213e-11
R_EX_glyc3p_e,7.116796041373163e-11
R_EX_glyclt_e,1.1750671546906233e-09
R_EX_gmp_e,-4.638422979041934e-11
R_EX_gsn_e,-8.526512829121202e-11
R_EX_gthox_e,-8.049028110690415e-11
R_EX_gthrd_e,-6.639311322942376e-11
R_EX_gtp_e,-4.661160346586257e-11
R_EX_gua_e,-6.116351869422942e-11
R_EX_h_e,3.1174188031400263
