,Reaction_ID,forward,reverse
R_EX_cm_e,R_EX_cm_e,1165.8003848066235,1165.8003848066915
R_EX_cmp_e,R_EX_cmp_e,1165.8003848066323,1165.8003848066824
R_EX_co2_e,R_EX_co2_e,1167.2676301917552,1164.334983736407
R_EX_cobalt2_e,R_EX_cobalt2_e,1165.8003826466577,1165.8003869666577
R_DM_4crsol_c,R_DM_4crsol_c,1165.8004048766986,1165.8003647366168
R_DM_5drib_c,R_DM_5drib_c,1165.8004055968063,1165.8003640165093
R_DM_aacald_c,R_DM_aacald_c,1165.8003848066112,1165.8003848067042
R_DM_amob_c,R_DM_amob_c,1165.8003849867155,1165.8003846265988
R_DM_mththf_c,R_DM_mththf_c,1165.8005054064995,1165.8002642068284
R_EX_colipa_e,R_EX_colipa_e,1165.8003848066091,1165.800384806706
R_DM_oxam_c,R_DM_oxam_c,1165.800384806856,1165.8003848064586
R_EX_glc__D_e,R_EX_glc__D_e,1165.800384806621,1165.8003848066942
R_EX_glcn_e,R_EX_glcn_e,1165.800384806613,1165.8003848067021
R_BIOMASS_Ec_iJO1366_WT_53p95M,R_BIOMASS_Ec_iJO1366_WT_53p95M,1165.8903882806655,1165.7103882806655
R_EX_glcr_e,R_EX_glcr_e,1165.8003848066269,1165.8003848066883
R_EX_colipap_e,R_EX_colipap_e,1165.800384806612,1165.8003848067021
R_EX_glcur_e,R_EX_glcur_e,1165.8003848066182,1165.800384806696
R_EX_glcur1p_e,R_EX_glcur1p_e,1165.8003848066278,1165.8003848066878
R_BIOMASS_Ec_iJO1366_core_53p95M,R_BIOMASS_Ec_iJO1366_core_53p95M,1165.8003848066105,1165.8003848067046
R_EX_12ppd__R_e,R_EX_12ppd__R_e,1165.8003848071087,1165.8003848062058
R_EX_gln__L_e,R_EX_gln__L_e,1165.800384806637,1165.8003848066776
R_EX_cpgn_e,R_EX_cpgn_e,1165.8003848066198,1165.8003848066949
R_EX_glu__L_e,R_EX_glu__L_e,1165.8003848066805,1165.8003848066346
R_EX_gly_e,R_EX_gly_e,1165.8003848068074,1165.8003848065075
R_EX_glyald_e,R_EX_glyald_e,1165.8003848067522,1165.800384806562
R_EX_glyb_e,R_EX_glyb_e,1165.8003848066223,1165.8003848066928
R_EX_glyc_e,R_EX_glyc_e,1165.8003848067628,1165.8003848065523
R_EX_12ppd__S_e,R_EX_12ppd__S_e,1165.8003848067517,1165.8003848065623
R_EX_14glucan_e,R_EX_14glucan_e,1165.8003848066478,1165.8003848066667
R_EX_cpgn_un_e,R_EX_cpgn_un_e,1165.80038480662,1165.800384806695
R_EX_15dap_e,R_EX_15dap_e,1165.8003848067247,1165.8003848065903
R_EX_glyc__R_e,R_EX_glyc__R_e,1165.8003848068195,1165.8003848064955
R_EX_glyc2p_e,R_EX_glyc2p_e,1165.8003848066398,1165.8003848066758
R_EX_23camp_e,R_EX_23camp_e,1165.8003848066362,1165.8003848066785
R_EX_23ccmp_e,R_EX_23ccmp_e,1165.8003848066362,1165.8003848066785
R_EX_23cgmp_e,R_EX_23cgmp_e,1165.8003848066367,1165.800384806678
R_EX_23cump_e,R_EX_23cump_e,1165.8003848066362,1165.8003848066785
R_EX_23dappa_e,R_EX_23dappa_e,1165.8003848066348,1165.8003848066803
R_EX_26dap__M_e,R_EX_26dap__M_e,1165.8003848066319,1165.800384806683
R_EX_glyc3p_e,R_EX_glyc3p_e,1165.800384806693,1165.8003848066219
R_EX_glyclt_e,R_EX_glyclt_e,1165.8003848072447,1165.8003848060696
R_EX_gmp_e,R_EX_gmp_e,1165.8003848066344,1165.8003848066808
R_EX_gsn_e,R_EX_gsn_e,1165.800384806615,1165.8003848067003
R_EX_gthox_e,R_EX_gthox_e,1165.8003848066176,1165.800384806698
R_EX_gthrd_e,R_EX_gthrd_e,1165.800384806624,1165.8003848066903
R_EX_gtp_e,R_EX_gtp_e,1165.8003848066344,1165.800384806681
R_EX_gua_e,R_EX_gua_e,1165.800384806627,1165.8003848066883
R_EX_h_e,R_EX_h_e,1167.360136227918,1164.242717424778
R_EX_h2_e,R_EX_h2_e,1165.8003848066276,1165.8003848066876
R_EX_h2o_e,R_EX_h2o_e,1169.5937245924117,1162.0193479483448
R_EX_h2o2_e,R_EX_h2o2_e,1165.8003848066016,1165.8003848067128
R_EX_h2s_e,R_EX_h2s_e,1165.8003848067287,1165.8003848065853
R_EX_hacolipa_e,R_EX_hacolipa_e,1165.800384806623,1165.8003848066926
R_EX_halipa_e,R_EX_halipa_e,1165.8003848066237,1165.8003848066915
R_EX_hdca_e,R_EX_hdca_e,1165.8003848066537,1165.8003848066624
R_EX_hdcea_e,R_EX_hdcea_e,1165.800384806641,1165.8003848066744
R_EX_hg2_e,R_EX_hg2_e,1165.8003848066123,1165.8003848067033
R_EX_his__L_e,R_EX_his__L_e,1165.8003848066328,1165.8003848066826
R_EX_2ddglcn_e,R_EX_2ddglcn_e,1165.8003848066103,1165.8003848067046
R_EX_34dhpac_e,R_EX_34dhpac_e,1165.8003848066155,1165.8003848066999
R_EX_3amp_e,R_EX_3amp_e,1165.8003848066235,1165.800384806692
R_EX_3cmp_e,R_EX_3cmp_e,1165.8003848066235,1165.800384806692
R_EX_3gmp_e,R_EX_3gmp_e,1165.8003848066246,1165.8003848066899
R_EX_3hcinnm_e,R_EX_3hcinnm_e,1165.800384806626,1165.8003848066894
R_EX_3hpp_e,R_EX_3hpp_e,1165.800384807047,1165.8003848062679
R_EX_3hpppn_e,R_EX_3hpppn_e,1165.8003848066255,1165.8003848066894
R_EX_hom__L_e,R_EX_hom__L_e,1165.800384806736,1165.8003848065784
R_EX_hxa_e,R_EX_hxa_e,1165.8003848066703,1165.8003848066446
R_EX_hxan_e,R_EX_hxan_e,1165.8003848066294,1165.800384806685
R_EX_idon__L_e,R_EX_idon__L_e,1165.800384806613,1165.8003848067021
R_EX_3ump_e,R_EX_3ump_e,1165.8003848066235,1165.800384806692
R_EX_4abut_e,R_EX_4abut_e,1165.8003848066849,1165.8003848066305
