,Reaction_ID,forward,reverse
R_EX_cm_e,R_EX_cm_e,1381.3096796364707,1381.309679636539
R_EX_cmp_e,R_EX_cmp_e,1381.3096796364794,1381.3096796365296
R_EX_co2_e,R_EX_co2_e,1384.0781862047231,1378.546710781904
R_EX_cobalt2_e,R_EX_cobalt2_e,1381.309671836505,1381.3096874365049
R_DM_4crsol_c,R_DM_4crsol_c,1381.3097521115476,1381.309607161466
R_DM_5drib_c,R_DM_5drib_c,1381.3097547116558,1381.3096045613568
R_DM_aacald_c,R_DM_aacald_c,1381.3096796364584,1381.3096796365514
R_DM_amob_c,R_DM_amob_c,1381.3096802865632,1381.3096789864464
R_DM_mththf_c,R_DM_mththf_c,1381.310115136409,1381.3092441367382
R_EX_colipa_e,R_EX_colipa_e,1381.309679636456,1381.3096796365528
R_DM_oxam_c,R_DM_oxam_c,1381.309679636594,1381.309679636416
R_EX_glc__D_e,R_EX_glc__D_e,1376.491113609788,1386.145113609788
R_EX_glcn_e,R_EX_glcn_e,1381.3096796366249,1381.309679636385
R_BIOMASS_Ec_iJO1366_WT_53p95M,R_BIOMASS_Ec_iJO1366_WT_53p95M,1381.6347178701467,1380.9847178701468
R_EX_glcr_e,R_EX_glcr_e,1381.3096796364744,1381.3096796365362
R_EX_colipap_e,R_EX_colipap_e,1381.3096796364598,1381.3096796365498
R_EX_glcur_e,R_EX_glcur_e,1381.3096796364657,1381.3096796365435
R_EX_glcur1p_e,R_EX_glcur1p_e,1381.3096796364744,1381.3096796365342
R_BIOMASS_Ec_iJO1366_core_53p95M,R_BIOMASS_Ec_iJO1366_core_53p95M,1381.3096796364564,1381.3096796365528
R_EX_12ppd__R_e,R_EX_12ppd__R_e,1381.3096796376924,1381.309679635317
R_EX_gln__L_e,R_EX_gln__L_e,1381.309679636484,1381.3096796365246
R_EX_cpgn_e,R_EX_cpgn_e,1381.3096796364673,1381.3096796365423
R_EX_glu__L_e,R_EX_glu__L_e,1381.3096796365091,1381.309679636501
R_EX_gly_e,R_EX_gly_e,1381.3096796365865,1381.3096796364227
R_EX_glyald_e,R_EX_glyald_e,1381.309679636704,1381.3096796363056
R_EX_glyb_e,R_EX_glyb_e,1381.3096796364696,1381.30967963654
R_EX_glyc_e,R_EX_glyc_e,1381.3096796375482,1381.3096796354612
R_EX_12ppd__S_e,R_EX_12ppd__S_e,1381.309679636811,1381.309679636198
R_EX_14glucan_e,R_EX_14glucan_e,1381.309679636495,1381.3096796365137
R_EX_cpgn_un_e,R_EX_cpgn_un_e,1381.3096796364678,1381.3096796365428
R_EX_15dap_e,R_EX_15dap_e,1381.3096796365467,1381.3096796364628
R_EX_glyc__R_e,R_EX_glyc__R_e,1381.309679636833,1381.3096796361767
R_EX_glyc2p_e,R_EX_glyc2p_e,1381.3096796364866,1381.3096796365223
R_EX_23camp_e,R_EX_23camp_e,1381.309679636484,1381.309679636526
R_EX_23ccmp_e,R_EX_23ccmp_e,1381.3096796364837,1381.3096796365257
R_EX_23cgmp_e,R_EX_23cgmp_e,1381.3096796364844,1381.3096796365257
R_EX_23cump_e,R_EX_23cump_e,1381.309679636484,1381.3096796365262
R_EX_23dappa_e,R_EX_23dappa_e,1381.3096796364816,1381.309679636527
R_EX_26dap__M_e,R_EX_26dap__M_e,1381.309679636479,1381.3096796365298
R_EX_glyc3p_e,R_EX_glyc3p_e,1381.309679636538,1381.3096796364707
R_EX_glyclt_e,R_EX_glyclt_e,1381.3099695331373,1381.3093897399333
R_EX_gmp_e,R_EX_gmp_e,1381.3096796364819,1381.3096796365282
R_EX_gsn_e,R_EX_gsn_e,1381.3096796364623,1381.3096796365476
R_EX_gthox_e,R_EX_gthox_e,1381.3096796364646,1381.309679636545
R_EX_gthrd_e,R_EX_gthrd_e,1381.3096796364657,1381.309679636544
R_EX_gtp_e,R_EX_gtp_e,1381.3096796364816,1381.3096796365282
R_EX_gua_e,R_EX_gua_e,1381.3096796364637,1381.3096796365448
R_EX_h_e,R_EX_h_e,1392.7367640874465,1369.9763517822262
R_EX_h2_e,R_EX_h2_e,1381.3096796364744,1381.3096796365344
R_EX_h2o_e,R_EX_h2o_e,1392.3834966104778,1370.3239342481775
R_EX_h2o2_e,R_EX_h2o2_e,1381.3096796364493,1381.3096796365605
R_EX_h2s_e,R_EX_h2s_e,1381.3096796365387,1381.309679636471
R_EX_hacolipa_e,R_EX_hacolipa_e,1381.3096796364696,1381.3096796365392
R_EX_halipa_e,R_EX_halipa_e,1381.3096796364707,1381.3096796365385
R_EX_hdca_e,R_EX_hdca_e,1381.3096796365005,1381.3096796365091
R_EX_hdcea_e,R_EX_hdcea_e,1381.3096796364878,1381.309679636521
R_EX_hg2_e,R_EX_hg2_e,1381.3096796364596,1381.3096796365505
R_EX_his__L_e,R_EX_his__L_e,1381.3096796364687,1381.3096796365403
R_EX_2ddglcn_e,R_EX_2ddglcn_e,1381.3096796364575,1381.309679636552
R_EX_34dhpac_e,R_EX_34dhpac_e,1381.309679636462,1381.3096796365464
R_EX_3amp_e,R_EX_3amp_e,1381.3096796364707,1381.3096796365392
R_EX_3cmp_e,R_EX_3cmp_e,1381.3096796364705,1381.309679636539
R_EX_3gmp_e,R_EX_3gmp_e,1381.309679636472,1381.3096796365373
R_EX_3hcinnm_e,R_EX_3hcinnm_e,1381.3096796364725,1381.3096796365362
R_EX_3hpp_e,R_EX_3hpp_e,1381.309679636783,1381.3096796362267
R_EX_3hpppn_e,R_EX_3hpppn_e,1381.3096796364725,1381.3096796365367
R_EX_hom__L_e,R_EX_hom__L_e,1381.3096796365533,1381.3096796364562
R_EX_hxa_e,R_EX_hxa_e,1381.3096796365364,1381.3096796364734
R_EX_hxan_e,R_EX_hxan_e,1381.3096796364657,1381.3096796365437
R_EX_idon__L_e,R_EX_idon__L_e,1381.3096796366801,1381.3096796363295
R_EX_3ump_e,R_EX_3ump_e,1381.3096796364707,1381.3096796365392
R_EX_4abut_e,R_EX_4abut_e,1381.309679636519,1381.3096796364907
R_EX_4hoxpacd_e,R_EX_4hoxpacd_e,1381.3096796364625,1381.309679636547
R_EX_5dglcn_e,R_EX_5dglcn_e,1381.3096796365876,1381.3096796364223
R_EX_5mtr_e,R_EX_5mtr_e,1381.3118714381267,1381.30748783836
R_EX_LalaDglu_e,R_EX_LalaDglu_e,1381.3096796364796,1381.3096796365298
R_EX_ile__L_e,R_EX_ile__L_e,1381.3096796364841,1381.3096796365248
R_EX_imp_e,R_EX_imp_e,1381.3096796364796,1381.3096796365296
R_EX_indole_e,R_EX_indole_e,1381.3096796364684,1381.3096796365412
