,Lagrange_coef
10fthf_c,-1.476158408285062
12dgr120_c,-0.7069165337605815
12dgr140_c,-0.8164310995976298
12dgr141_c,-0.8265756079681089
12dgr160_c,-0.9589699355857129
12dgr161_c,-0.9792043922282346
12dgr180_c,-1.013181604878106
12dgr181_c,-1.0880654572249757
12ppd__R_c,-0.01094883735435105
12ppd__S_c,-0.034571421393552106
13dpg_c,-0.12208968357803664
14dhncoa_c,-2.067098202346594
14glucan_c,-5214.639100998268
15dap_c,-0.1301391025882437
1ddecg3p_c,-0.4211703108111272
1hdec9eg3p_c,-0.5638130519859351
1hdecg3p_c,-0.553763319305199
1odec11eg3p_c,-0.61824879994072
1odecg3p_c,-0.5752300189200784
1pyr5c_c,-0.21966987515270184
5dh4dglc_c,-1886.2109653890461
2tdec7eg3p_c,-0.4808802969400673
5drib_c,-1.96627345536286e-08
2tdecg3p_c,-0.47606118535636865
1tdec7eg3p_c,-0.48147199962823933
1tdecg3p_c,-0.4759286825027772
2tpr3dpcoa_c,4818.236516932641
5fthf_c,-1.4760565925394602
23dappa_c,-2796.9697426354824
5mta_c,-0.6540284909439138
34hpp_c,-0.3687148307454428
23ddhb_c,-0.29470168189315243
35cgmp_c,-0.8482587863958272
5mthf_c,-1.4670361587270186
23dhacoa_c,-793.6133003111465
5mtr_c,-0.004835062256142783
3amac_c,-0.1534241007497523
23dhb_c,-0.3050769932161194
3c2hmp_c,-0.1290519841969354
5prdmbz_c,-7048.718695290899
23dhba_c,-1.1405424421749457
6hmhpt_c,-0.787530995928563
3c3hmp_c,-0.12887369030253987
23dhbzs_c,-0.4501556585435337
3c4mop_c,-0.1394411889292632
6hmhptpp_c,-0.8991078941622661
23dhdp_c,-0.25691724627619944
3dhguln_c,-5230.081157708896
23dhmb_c,-0.06577485098865861
3dhgulnp_c,-2221.255766441956
6pgc_c,-0.1297629311488599
23dhmp_c,-0.17417618456182374
6pgl_c,-0.15699613125088716
3dhq_c,-0.18603612885583662
3dhsk_c,-0.21612271783038606
23doguln_c,-8973.602590881483
8aonn_c,-0.47667128081361776
25aics_c,-0.7663813471543521
ACP_c,79.87889753204867
3fe4s_c,-0.9022743423416312
25dkglcn_c,-7308.75603435867
3haACP_c,79.77860697368202
LalaDglu_c,-0.28742451288596793
25drapp_c,-0.8107846973995442
LalaDgluMdap_c,-0.6023241271462078
3hadpcoa_c,-793.5832732975796
26dap_LL_c,-0.25216206748764575
3hbcoa_c,-1.6308867643347966
LalaDgluMdapDala_c,-0.7449068578044679
LalaLglu_c,-0.2874245128860459
26dap__M_c,-0.25221043254375436
N1aspmd_c,4444.65076429779
3hcddec5eACP_c,79.51020327365084
3hcinnm_c,-6482.711743328424
2agpe120_c,-0.5077540796259817
3hcmrs7eACP_c,79.46722655761903
Nmtrp_c,-6399.358202211268
Sfglutth_c,-2178.5992511129257
2agpe140_c,-0.5625126364860875
aacald_c,-2097.104179408388
3hcpalm9eACP_c,79.41656622692727
2agpe141_c,-0.5679724570146025
3hcvac11eACP_c,79.35824350176252
3hdcoa_c,-1.7954224429097119
aacoa_c,-1.6412077682532855
2agpe160_c,-0.6901340612777171
aact_c,-0.08776782672687355
ac_c,-0.003516442007587613
3hddcoa_c,-1.8502676639992899
3hddecACP_c,79.53616683866696
3hdecACP_c,79.58144742064182
3hhcoa_c,-1.6857319911897999
2agpe161_c,-0.6994409856014524
3hhdcoa_c,-1.95984734444127
3hhexACP_c,79.7124085027755
acACP_c,79.83408207668106
2agpe180_c,-0.6614153703263369
acac_c,-4157.422376446705
3hmrsACP_c,79.46578001420032
2agpe181_c,-0.753843862397448
3hocoa_c,-1.7405772180446621
acald_c,-0.03441832348233442
2agpg120_c,-0.500566730920984
acanth_c,4472.2102904252215
3hoctACP_c,79.64618516541789
2agpg140_c,-0.5553232662124103
3hoctaACP_c,79.36764920277555
accoa_c,-1.596250579427496
2agpg141_c,-0.5599122574815981
3hodcoa_c,-2.0143530450149894
2agpg160_c,-0.6830067997587895
3hpalmACP_c,79.418541847684
acetol_c,-0.03604762975979113
acg5p_c,-0.2500056590531573
2agpg161_c,-0.692319760398869
acg5sa_c,-0.23439259396066958
3hpp_c,-0.04759902388769368
3hpppn_c,-6114.368677873142
2agpg180_c,-0.6525375589465625
acgam_c,-0.20820099199871173
acgam1p_c,-0.2736418720491238
3htdcoa_c,-1.9050858469632819
2agpg181_c,-0.7467230885888243
3ig3p_c,-0.6210813552930112
acgam6p_c,-0.2567654122902058
2ahbut_c,-0.18461580767180752
acglc__D_c,-0.13430454431481792
3mob_c,-0.09592581003314635
2amsa_c,-0.08621272087100074
3mop_c,-0.20424438582229004
acglu_c,-0.20330271403696595
2aobut_c,-0.09925619995703039
acmalt_c,-1798.6282982725472
3ocddec5eACP_c,79.49133398645768
2cpr5p_c,-0.5999813872578469
3ocmrs7eACP_c,79.44838150598508
acmana_c,-2132.0652025696995
2dda7p_c,-0.19111044989974207
acmanap_c,-0.25676541229072253
3ocpalm9eACP_c,79.40152838890317
2ddecg3p_c,-0.42130361518175996
3ocvac11eACP_c,79.34181578589629
acmum6p_c,-0.3349562871372843
2ddg6p_c,-0.1542622007053131
acnam_c,-4414.2941370951185
3odcoa_c,-1.8057434473443668
3oddcoa_c,-1.860588668434379
2ddglcn_c,-1621.973908374013
3oddecACP_c,79.52571799024086
acon_C_c,-0.14408722235044535
acon_T_c,-0.14408722235042806
2dh3dgal_c,-2116.557508392533
aconm_c,4486.289021660115
3odecACP_c,79.57099857221571
2dh3dgal6p_c,-0.1484149247487241
3ohcoa_c,-1.6960529951083119
acorn_c,-0.2587324166873465
2dhguln_c,-4490.430097126102
3ohdcoa_c,-1.9701767649444457
2dhp_c,-0.1173160208060902
3ohexACP_c,79.70195965434942
2dmmq8_c,-2.300742503527527
3omrsACP_c,79.45533223590309
acser_c,-0.12074929900532634
2dmmql8_c,-2.2767688842286913
actACP_c,79.76815812525592
3oocoa_c,-1.7508982219631661
2dr1p_c,-0.16099454128894525
3ooctACP_c,79.6357363169918
actp_c,-0.05014635358186835
2dr5p_c,-0.16099454128905144
3ooctdACP_c,79.3572003543494
ade_c,-0.6191669868671928
2fe1s_c,-0.2334612190172296
3ohodcoa_c,-2.0247195760016035
2fe2s_c,-0.4386874559185882
3opalmACP_c,79.40809299925786
adn_c,-0.7468186063351602
adocbi_c,-1798.5952529675683
3ophb_c,-2.106651249377255
3otdcoa_c,-1.9154138647881485
2h3oppan_c,-0.054061661777860606
3oxdhscoa_c,-1728.9577931967222
adocbip_c,296.9498094660895
adocbl_c,-0.8232203934122715
2hdec9eg3p_c,-0.5512099400271337
3pg_c,-0.07597931485460147
2hdecg3p_c,-0.5412605053001383
3php_c,-0.08640789063152814
adp_c,-0.8583948938242987
2ippm_c,-0.15898985081662018
3psme_c,-0.37235570257235434
2mahmp_c,-0.6288388777675367
